Data,Populacao
1872,9930478
1873,10178868
1874,10427189
1875,10675370
1876,10923342
1877,11171035
1878,11418379
1879,11665305
1880,11911742
1881,12157621
1882,12402873
1883,12647427
1884,12891214
1885,13134163
1886,13376206
1887,13617273
1888,13857293
1889,14096197
1890,14333915
1891,14571186
1892,14811978
1893,15061071
1894,15323241
1895,15603266
1896,15905923
1897,16235991
1898,16598247
1899,16997469
1900,17438434
1901,17924452
1902,18452959
1903,19019923
1904,19621314
1905,20253099
1906,20911246
1907,21591723
1908,22290500
1909,23003544
1910,23726824
1911,24456308
1912,25187964
1913,25917760
1914,26641665
1915,27355647
1916,28055675
1917,28737716
1918,29397739
1919,30031713
1920,30635605
1921,31206765
1922,31748067
1923,32263765
1924,32758115
1925,33235371
1926,33699789
1927,34155623
1928,34607128
1929,35058559
1930,35514170
1931,35978218
1932,36454956
1933,36948640
1934,37463525
1935,38003864
1936,38573914
1937,39177930
1938,39820165
1939,40504875
1940,41236315
1941,42018627
1942,42855504
1943,43750525
1944,44707269
1945,45729317
1946,46820248
1947,47983642
1948,49223078
1949,50542137
1950,51944397
1951,53432179
1952,55002760
1953,56652161
1954,58376399
1955,60171493
1956,62033461
1957,63958323
1958,65942098
1959,67980803
1960,70070457
1961,72207321
1962,74388621
1963,76611824
1964,78874399
1965,81173813
1966,83507534
1967,85873030
1968,88267769
1969,90689218
1970,93134846
1971,95602767
1972,98093685
1973,100608951
1974,103149916
1975,105717932
1976,108314349
1977,110940519
1978,113597792
1979,116287519
1980,119011052
1981,121766164
1982,124536317
1983,127301395
1984,130041284
1985,132735867
1986,135365028
1987,137908653
1988,140346626
1989,142658831
1990,144825152
1991,146825475
1992,148667180
1993,150467636
1994,152371708
1995,154524262
1996,157070163
1997,160087317
1998,163385796
1999,166708710
2000,169799170
2001,172460470
2002,174736628
2003,176731844
2004,178550319
2005,180296251
2006,182073842
2007,183987291
2008,186110095
2009,188392937
2010,190755799
2011,192379287
2012,193946886
