distances, years
571084, 2006
251990, 2008
175697, 2014
585084, 0
749606, 2006
489931, 1995
0, 1998
76834, 1976
65974, 1979
0, 1985
0, 1998
0, 1987
10895, 1997
10895, 0
1232315, 1989
136115, 2007
0, 1997
356572, 2000
0, 2004
0, 2003
611316, 2011
288505, 1973
0, 2012
3196302, 0
0, 1975
0, 2004
0, 2004
0, 2002
176820, 2008
0, 2010
209096, 1998
367435, 1999
0, 2002
0, 2008
106792, 0
0, 1968
489931, 0
0, 1969
502750, 1970
14145, 1971
0, 1971
14145, 1997
502750, 0
300137, 1986
592031, 2002
592031, 2002
220850, 1990
0, 1998
99951, 0
596701, 2009
106792, 2008
544723, 2000
3086331, 0
0, 1980
984214, 2012
984214, 1990
598717, 1997
283979, 2007
499314, 0
601798, 1999
379549, 2007
219728, 2008
219728, 2010
224653, 2014
485697, 1997
592031, 2003
0, 2006
0, 2012
0, 0
0, 1986
0, 1994
106792, 2006
106792, 2006
0, 0
0, 1983
77510, 0
77510, 2004
0, 2007
0, 1998
251990, 2001
0, 2003
984214, 2012
1217981, 0
875282, 1985
1317012, 1998
0, 2001
115208, 1976
639306, 1981
489931, 1989
0, 1997
0, 1975
376685, 1993
0, 1987
544941, 1988
592031, 1989
0, 1995
406165, 0
251990, 2007
0, 2009
0, 2012
0, 1981
376685, 1985
0, 1988
376685, 1998
31428, 0
20959, 1991
66459, 1996
0, 2013
0, 1978
2807411, 1981
2807411, 2001
0, 2008
0, 0
0, 1980
0, 1981
251990, 1990
339340, 1999
749606, 1979
0, 1980
749606, 1987
0, 1990
96594, 1981
563706, 1983
0, 1984
376685, 1992
0, 0
2807411, 1980
133588, 1992
563706, 1996
489931, 1999
0, 2006
896148, 0
0, 1986
0, 1996
489931, 2002
406141, 1964
0, 1982
77510, 0
232366, 1991
232366, 1996
232366, 1995
0, 2000
0, 0
0, 1980
835316, 1982
835316, 1998
0, 2010
0, 0
0, 1996
489931, 1997
0, 2000
0, 1986
2824677, 1991
104547, 2003
0, 2013
376685, 2002
0, 2006
543246, 2011
0, 2014
637573, 0
70560, 1983
0, 1997
0, 2000
575841, 2004
146922, 0
358592, 1975
918275, 1976
632508, 1978
749606, 1989
749606, 1995
376685, 1977
0, 1979
376685, 2001
0, 1992
50671, 1999
758727, 1994
0, 1996
730204, 0
2807411, 1982
127525, 1992
0, 1992
91180, 1990
0, 1993
0, 2011
91180, 0
1737785, 1977
961481, 1979
0, 1978
0, 1977
489931, 1983
489931, 1994
0, 2002
531587, 2002
376685, 2007
376685, 2005
376685, 0
0, 1991
0, 1999
125066, 1976
215797, 1978
543246, 1986
489931, 1998
0, 1992
106792, 1984
251990, 0
0, 1971
1934090, 1987
489931, 1992
0, 0
2406346, 1994
241648, 1999
241648, 2002
489931, 1988
489931, 2002
0, 1976
984214, 1985
984214, 2000
0, 2005
0, 0
0, 1975
563706, 1982
376685, 1986
251799, 0
0, 1987
2826807, 1994
2826807, 2002
1875096, 2013
1875096, 0
0, 1990
0, 1975
984214, 1989
0, 1989
590253, 1998
590253, 0
91180, 1987
0, 1990
0, 1995
146922, 2003
3194212, 1975
376685, 1979
543246, 2002
798487, 0
0, 2000
1317012, 2005
1317012, 2008
0, 1977
0, 1984
2910008, 1993
624596, 1999
2289915, 0
0, 1994
501591, 1999
48960, 1976
1125776, 1987
749606, 1993
8046, 0
376685, 1983
563706, 1987
563706, 2009
571084, 0
93492, 1970
158134, 1979
0, 1988
290187, 0
311015, 1986
376685, 1996
543246, 1991
0, 1993
895338, 0
236939, 1995
571084, 1999
401883, 1987
0, 1988
175697, 2001
