distances, years
175697, 2006
0, 1991
9307391, 1978
10895, 1985
611316, 2001
0, 1999
9420586, 1981
8713478, 2008
0, 2000
7877781, 1976
14145, 1970
0, 1987
598717, 1985
224653, 2008
0, 2004
0, 2004
0, 2002
984214, 2001
0, 1999
0, 1987
0, 1983
0, 2006
376685, 1986
0, 2008
0, 1999
339340, 1988
8877102, 1986
0, 1989
376685, 1982
9953716, 1979
0, 1997
489931, 1993
0, 1983
0, 1991
0, 1997
0, 1998
0, 2000
0, 2009
9893913, 1995
0, 2004
749606, 1989
0, 2000
0, 1993
8877102, 1978
0, 1995
0, 2001
0, 1994
0, 1987
0, 2003
0, 1996
489931, 1985
0, 1994
0, 1994
0, 1987
0, 2000
489931, 1987
0, 1998
1875096, 2000
0, 2000
590253, 1985
0, 1988
0, 1999
0, 2007
624596, 1989
0, 1995
0, 1999
0, 1996
0, 1979
0, 1989
0, 1997
0, 1993
0, 2012
0, 1975
0, 1993
0, 2005
0, 1993
0, 1996
489931, 1992
0, 2000
0, 2008
0, 1999
0, 1996
2698703, 1988
0, 2005
590253, 1999
853893, 1991
251990, 1994
0, 2002
0, 2005
376685, 1999
749606, 1995
489931, 1983
0, 1994
0, 1996
0, 1993
0, 1999
0, 2005
0, 2002
376685, 1985
0, 1991
543246, 1998
2987318, 2006
0, 2000
0, 2000
251990, 1997
349769, 2005
376685, 1988
0, 1994
0, 2002
0, 1984
0, 2004
0, 2000
0, 2000
0, 1994
0, 2001
146922, 1997
77510, 1998
376685, 1974
544723, 1998
0, 2006
1212039, 1994
0, 2004
0, 1990
1317012, 1986
321648, 1987
0, 1995
749606, 1995
0, 2002
489931, 1981
1546512, 1987
0, 1995
1934090, 2008
367435, 2005
489931, 1980
0, 1996
563706, 1999
386601, 1999
966430, 2000
10252559, 2008
0, 1996
376685, 1995
0, 2002
0, 1997
543246, 1985
251990, 1998
251990, 1998
379549, 1997
984214, 1999
376685, 1991
0, 1997
13488334, 2001
0, 1996
0, 2003
0, 1995
251990, 1994
283979, 2004
0, 1994
0, 1998
0, 2006
0, 2001
0, 1995
0, 2006
563706, 2007
376685, 1987
0, 1994
0, 1997
0, 1991
1317012, 1999
0, 1995
446240, 1997
0, 2006
0, 2001
0, 2008
0, 1996
0, 2004
0, 1974
0, 2008
0, 1998
0, 1997
0, 2002
0, 1986
0, 2000
0, 2002
0, 1998
0, 2006
563706, 1994
0, 1987
0, 2002
0, 1999
0, 2006
0, 1986
0, 1989
2826807, 2005
0, 2001
0, 1997
0, 1997
0, 1997
0, 2004
0, 1991
0, 1998
0, 2006
0, 1978
0, 2006
0, 1995
0, 1998
0, 1993
0, 2008
2608299, 1976
0, 1999
0, 2004
0, 2008
0, 2006
0, 2001
0, 2005
0, 1991
0, 2007
8726339, 1995
0, 1994
0, 2007
376685, 1992
0, 1995
0, 2003
0, 1998
0, 2001
144829, 2006
0, 2007
0, 2006
0, 1985
0, 2005
0, 2005
489931, 1987
0, 1999
0, 1999
0, 1996
367435, 2005
0, 1997
251990, 1993
0, 2002
0, 1999
376685, 2003
0, 2000
0, 2001
0, 1999
251990, 1997
0, 1998
0, 2002
0, 1995
0, 2008
0, 2000
0, 1994
0, 2007
9996694, 1988
0, 2008
2698703, 2005
0, 2001
0, 1995
0, 2000
0, 1994
0, 2006
2220368, 1989
0, 1994
0, 1998
2698703, 1979
0, 2003
0, 1998
0, 1990
0, 2003
0, 2006
0, 1990
376685, 2000
543246, 1988
8547661, 1990
2698703, 1987
0, 2006
0, 1999
749606, 1989
489931, 2007
749606, 1969
563706, 2001
0, 2005
0, 2002
379549, 1996
0, 1996
0, 2002
0, 2006
