year, count
1940, 1
1941, 0
1942, 3
1943, 3
1944, 4
1945, 3
1946, 4
1947, 7
1948, 1
1949, 12
1950, 7
1951, 15
1952, 14
1953, 16
1954, 18
1955, 28
1956, 32
1957, 31
1958, 44
1959, 52
1960, 67
1961, 71
1962, 100
1963, 111
1964, 122
1965, 166
1966, 166
1967, 195
1968, 251
1969, 298
1970, 377
1971, 402
1972, 470
1973, 620
1974, 731
1975, 894
1976, 1025
1977, 1284
1978, 1353
1979, 1468
1980, 1608
1981, 1540
1982, 1729
1983, 1735
1984, 1742
1985, 1877
1986, 1922
1987, 2110
1988, 2376
1989, 2796
1990, 3084
1991, 3622
1992, 4016
1993, 4354
1994, 4628
1995, 5375
1996, 6022
1997, 6726
1998, 7050
1999, 7943
2000, 8949
2001, 8990
2002, 9611
2003, 9571
2004, 8869
2005, 9122
2006, 8726
2007, 8590
2008, 8052
2009, 6959
2010, 4440
2011, 1185
2012, 462
