count, freq
93317, 1
48251, 1
31085, 1
25722, 1
23564, 1
19195, 1
14620, 1
13262, 1
12612, 1
10557, 1
9677, 1
14, 1
8062, 1
8040, 1
17, 1
7461, 1
7012, 1
6380, 1
22, 1
5638, 1
4676, 1
4658, 1
4488, 1
27, 1
4389, 1
3968, 1
3600, 1
3246, 1
3176, 1
37, 1
3148, 1
39, 1
40, 1
3069, 1
42, 1
2899, 1
2582, 1
2381, 1
2072, 1
250, 1
49, 1
1672, 1
1566, 1
1496, 1
53, 1
1353, 1
1347, 1
1269, 1
1194, 1
1161, 1
1136, 1
60, 1
1106, 1
1100, 1
902, 1
64, 1
65, 1
66, 1
871, 1
863, 1
69, 1
70, 1
858, 1
72, 1
73, 1
818, 1
757, 1
701, 1
78, 1
696, 1
623, 1
621, 1
608, 1
538, 1
445, 1
432, 1
427, 1
417, 1
411, 1
403, 1
390, 1
93, 1
384, 1
379, 1
96, 1
97, 1
374, 1
100, 1
101, 1
102, 1
103, 1
104, 1
368, 1
107, 1
358, 1
113, 1
114, 1
352, 1
118, 1
346, 1
121, 1
122, 1
340, 1
127, 1
333, 1
129, 1
324, 1
132, 1
133, 1
134, 1
314, 1
305, 1
294, 1
293, 1
290, 1
147, 1
148, 1
150, 1
289, 1
288, 1
283, 1
278, 1
163, 1
165, 1
166, 1
167, 1
174, 1
176, 1
180, 1
181, 1
186, 1
188, 1
191, 1
192, 1
194, 1
199, 1
200, 1
202, 1
206, 1
209, 1
210, 1
276, 1
213, 1
218, 1
222, 1
263, 1
226, 1
228, 1
231, 1
239, 1
240, 1
258, 1
249, 1
1799, 1
246, 2
261, 2
10, 2
269, 2
212, 2
160, 2
155, 2
154, 2
152, 2
145, 2
144, 2
15, 2
138, 2
19, 2
131, 2
128, 2
123, 2
120, 2
116, 2
111, 2
30, 2
98, 2
71, 2
95, 2
32, 2
91, 2
36, 2
89, 2
88, 2
422, 2
38, 2
41, 2
434, 2
436, 2
46, 2
58, 2
59, 2
61, 2
67, 2
68, 2
77, 2
375, 2
74, 3
76, 3
79, 3
94, 3
224, 3
62, 3
81, 3
82, 3
83, 3
142, 3
33, 3
106, 3
18, 3
24, 3
90, 3
26, 3
20, 3
47, 3
85, 3
44, 3
23, 3
136, 3
50, 4
51, 4
16, 4
56, 4
6, 4
34, 4
87, 5
25, 5
86, 5
43, 5
48, 5
80, 5
9, 5
12, 5
57, 5
63, 5
52, 6
54, 6
7, 6
8, 6
55, 9
5, 15
4, 20
3, 27
2, 32
1, 68
