Source,Target,Kind,Type,Id,Label,Weight
94,1,all,Directed,58559,,73
1,15,all,Directed,58560,,779
15,116,all,Directed,58561,,38
116,41,all,Directed,58562,,1
13,1,all,Directed,58563,,508
1,5,all,Directed,58564,,917
5,5,all,Directed,58565,,83198
1349,121,all,Directed,58566,,9
121,43,all,Directed,58567,,41
43,238,all,Directed,58568,,5
238,121,all,Directed,58569,,6
20,20,all,Directed,58570,,4128
20,13,all,Directed,58571,,3538
13,20,all,Directed,58572,,4364
28,180,all,Directed,58573,,2
180,13,all,Directed,58574,,232
13,13,all,Directed,58575,,53159
4299,52,all,Directed,58576,,2
52,52,all,Directed,58577,,4019
52,168,all,Directed,58578,,43
376,54,all,Directed,58579,,25
54,221,all,Directed,58580,,2
221,54,all,Directed,58581,,1
54,54,all,Directed,58582,,14753
54,193,all,Directed,58583,,10
1,1,all,Directed,58584,,9718
1,107,all,Directed,58585,,12
107,36,all,Directed,58586,,49
36,169,all,Directed,58587,,15
169,1,all,Directed,58588,,7
213,213,all,Directed,58589,,46
213,1,all,Directed,58590,,174
1,138,all,Directed,58591,,1
443,139,all,Directed,58592,,12
139,1,all,Directed,58593,,58
1,202,all,Directed,58594,,153
60,60,all,Directed,58595,,24768
60,281,all,Directed,58596,,6
281,101,all,Directed,58597,,1
101,5,all,Directed,58598,,18
5,1,all,Directed,58599,,915
1,59,all,Directed,58600,,68
59,5,all,Directed,58601,,1752
5,59,all,Directed,58602,,3388
59,1,all,Directed,58603,,59
126,42,all,Directed,58604,,11
42,1,all,Directed,58605,,166
1,42,all,Directed,58606,,117
42,60,all,Directed,58607,,928
60,126,all,Directed,58608,,125
5,202,all,Directed,58609,,40
202,1,all,Directed,58610,,217
1,10,all,Directed,58611,,71
10,296,all,Directed,58612,,1
50,50,all,Directed,58613,,21157
50,1,all,Directed,58614,,160
1,50,all,Directed,58615,,155
50,25,all,Directed,58616,,274
25,5,all,Directed,58617,,4892
5,50,all,Directed,58618,,1008
2662,1,all,Directed,58619,,1
