Source,Target,Kind,Type,Id,Label,Weight
94,94,birth,Directed,0,,9
1349,1349,birth,Directed,1,,9
20,20,birth,Directed,2,,664
28,28,birth,Directed,3,,2
4299,4299,birth,Directed,4,,2
376,376,birth,Directed,5,,16
1,1,birth,Directed,6,,1081
213,213,birth,Directed,7,,25
443,443,birth,Directed,8,,12
60,60,birth,Directed,9,,4776
126,126,birth,Directed,10,,6
5,5,birth,Directed,11,,13
50,50,birth,Directed,12,,4830
2662,2662,birth,Directed,13,,1
302,302,birth,Directed,14,,1
15,15,birth,Directed,15,,2794
5,5,birth,Directed,16,,232
677,677,birth,Directed,17,,1
980,980,birth,Directed,18,,2
1901,1901,birth,Directed,19,,1
111,111,birth,Directed,20,,1250
13,13,birth,Directed,21,,78
325,325,birth,Directed,22,,71
248,248,birth,Directed,23,,50
1091,1091,birth,Directed,24,,1
258,258,birth,Directed,25,,69
80,80,birth,Directed,26,,830
5,5,birth,Directed,27,,12651
17,17,birth,Directed,28,,647
60,60,birth,Directed,29,,102
3700,3700,birth,Directed,30,,9
51,51,birth,Directed,31,,599
635,635,birth,Directed,32,,6
1,1,birth,Directed,33,,18
52,52,birth,Directed,34,,1070
1153,1153,birth,Directed,35,,18
228,228,birth,Directed,36,,117
75,75,birth,Directed,37,,2
772,772,birth,Directed,38,,3
168,168,birth,Directed,39,,190
202,202,birth,Directed,40,,86
49,49,birth,Directed,41,,2327
108,108,birth,Directed,42,,1
28,28,birth,Directed,43,,1565
16,16,birth,Directed,44,,666
347,347,birth,Directed,45,,50
27,27,birth,Directed,46,,24
27,27,birth,Directed,47,,2035
312,312,birth,Directed,48,,19
1128,1128,birth,Directed,49,,10
131,131,birth,Directed,50,,1
30,30,birth,Directed,51,,127
1314,1314,birth,Directed,52,,1
1540,1540,birth,Directed,53,,1
52,52,birth,Directed,54,,56
1,1,birth,Directed,55,,35
257,257,birth,Directed,56,,18
254,254,birth,Directed,57,,3
934,934,birth,Directed,58,,1
11,11,birth,Directed,59,,115
56,56,birth,Directed,60,,33
232,232,birth,Directed,61,,56
745,745,birth,Directed,62,,3
400,400,birth,Directed,63,,12
13,13,birth,Directed,64,,24
22,22,birth,Directed,65,,286
242,242,birth,Directed,66,,112
1752,1752,birth,Directed,67,,6
39,39,birth,Directed,68,,850
829,829,birth,Directed,69,,3
1221,1221,birth,Directed,70,,1
5,5,birth,Directed,71,,125
4533,4533,birth,Directed,72,,6
10,10,birth,Directed,73,,694
1752,1752,birth,Directed,74,,1
50,50,birth,Directed,75,,208
14,14,birth,Directed,76,,6
3457,3457,birth,Directed,77,,18
386,386,birth,Directed,78,,1
1450,1450,birth,Directed,79,,10
1204,1204,birth,Directed,80,,1
300,300,birth,Directed,81,,2
248,248,birth,Directed,82,,4
1326,1326,birth,Directed,83,,2
1729,1729,birth,Directed,84,,1
5,5,birth,Directed,85,,6
14,14,birth,Directed,86,,85
1314,1314,birth,Directed,87,,1
1363,1363,birth,Directed,88,,44
1559,1559,birth,Directed,89,,2
13,13,birth,Directed,90,,580
1394,1394,birth,Directed,91,,6
42,42,birth,Directed,92,,101
159,159,birth,Directed,93,,85
93,93,birth,Directed,94,,248
1692,1692,birth,Directed,95,,1
2794,2794,birth,Directed,96,,2
202,202,birth,Directed,97,,4
1008,1008,birth,Directed,98,,4
33,33,birth,Directed,99,,224
894,894,birth,Directed,100,,111
42,42,birth,Directed,101,,1162
116,116,birth,Directed,102,,6
685,685,birth,Directed,103,,8
656,656,birth,Directed,104,,2
163,163,birth,Directed,105,,317
1465,1465,birth,Directed,106,,1
1466,1466,birth,Directed,107,,3
259,259,birth,Directed,108,,55
380,380,birth,Directed,109,,11
123,123,birth,Directed,110,,9
5,5,birth,Directed,111,,18
349,349,birth,Directed,112,,27
168,168,birth,Directed,113,,252
349,349,birth,Directed,114,,1
826,826,birth,Directed,115,,1
805,805,birth,Directed,116,,7
1089,1089,birth,Directed,117,,24
213,213,birth,Directed,118,,19
826,826,birth,Directed,119,,10
9,9,birth,Directed,120,,1034
17,17,birth,Directed,121,,4
462,462,birth,Directed,122,,21
148,148,birth,Directed,123,,90
25,25,birth,Directed,124,,439
213,213,birth,Directed,125,,140
139,139,birth,Directed,126,,8
685,685,birth,Directed,127,,16
1030,1030,birth,Directed,128,,1
442,442,birth,Directed,129,,36
1358,1358,birth,Directed,130,,2
119,119,birth,Directed,131,,48
675,675,birth,Directed,132,,30
15,15,birth,Directed,133,,1
979,979,birth,Directed,134,,40
23,23,birth,Directed,135,,8
376,376,birth,Directed,136,,125
771,771,birth,Directed,137,,1
232,232,birth,Directed,138,,11
121,121,birth,Directed,139,,213
404,404,birth,Directed,140,,1
685,685,birth,Directed,141,,66
90,90,birth,Directed,142,,3
91,91,birth,Directed,143,,6
821,821,birth,Directed,144,,13
15,15,birth,Directed,145,,58
147,147,birth,Directed,146,,393
90,90,birth,Directed,147,,3154
139,139,birth,Directed,148,,28
1402,1402,birth,Directed,149,,1
1039,1039,birth,Directed,150,,2
4947,4947,birth,Directed,151,,1
54,54,birth,Directed,152,,127
1139,1139,birth,Directed,153,,24
1012,1012,birth,Directed,154,,13
675,675,birth,Directed,155,,5
1141,1141,birth,Directed,156,,11
289,289,birth,Directed,157,,1
1089,1089,birth,Directed,158,,7
924,924,birth,Directed,159,,20
1442,1442,birth,Directed,160,,6
1802,1802,birth,Directed,161,,5
211,211,birth,Directed,162,,41
321,321,birth,Directed,163,,15
60,60,birth,Directed,164,,51
2605,2605,birth,Directed,165,,1
796,796,birth,Directed,166,,9
90,90,birth,Directed,167,,133
1842,1842,birth,Directed,168,,1
1595,1595,birth,Directed,169,,14
1,1,birth,Directed,170,,5
15,15,birth,Directed,171,,35
70,70,birth,Directed,172,,62
50,50,birth,Directed,173,,8
213,213,birth,Directed,174,,9
13,13,birth,Directed,175,,12824
