Source,Target,Kind,Type,Id,Label,Weight
94,1,all,Directed,59149,,8.54400374531753
1,15,all,Directed,59150,,27.910571473905726
15,116,all,Directed,59151,,6.164414002968976
116,41,all,Directed,59152,,1.0
13,1,all,Directed,59153,,22.538855339169288
1,5,all,Directed,59154,,30.28200785945344
5,5,all,Directed,59155,,288.4406351400579
1349,121,all,Directed,59156,,3.0
121,43,all,Directed,59157,,6.4031242374328485
43,238,all,Directed,59158,,2.23606797749979
238,121,all,Directed,59159,,2.449489742783178
20,20,all,Directed,59160,,64.24951361683604
20,13,all,Directed,59161,,59.481089431852205
13,20,all,Directed,59162,,66.06057825965497
28,180,all,Directed,59163,,1.4142135623730951
180,13,all,Directed,59164,,15.231546211727817
13,13,all,Directed,59165,,230.56235599073844
4299,52,all,Directed,59166,,1.4142135623730951
52,52,all,Directed,59167,,63.39558344238185
52,168,all,Directed,59168,,6.557438524302
376,54,all,Directed,59169,,5.0
54,221,all,Directed,59170,,1.4142135623730951
221,54,all,Directed,59171,,1.0
54,54,all,Directed,59172,,121.46192819151193
54,193,all,Directed,59173,,3.1622776601683795
1,1,all,Directed,59174,,98.57991681879226
1,107,all,Directed,59175,,3.4641016151377544
107,36,all,Directed,59176,,7.0
36,169,all,Directed,59177,,3.872983346207417
169,1,all,Directed,59178,,2.6457513110645907
213,213,all,Directed,59179,,6.782329983125268
213,1,all,Directed,59180,,13.19090595827292
1,138,all,Directed,59181,,1.0
443,139,all,Directed,59182,,3.4641016151377544
139,1,all,Directed,59183,,7.615773105863909
1,202,all,Directed,59184,,12.36931687685298
60,60,all,Directed,59185,,157.378524583248
60,281,all,Directed,59186,,2.449489742783178
281,101,all,Directed,59187,,1.0
101,5,all,Directed,59188,,4.242640687119285
5,1,all,Directed,59189,,30.24896692450835
1,59,all,Directed,59190,,8.246211251235321
59,5,all,Directed,59191,,41.8568990729127
5,59,all,Directed,59192,,58.20652884342099
59,1,all,Directed,59193,,7.681145747868608
126,42,all,Directed,59194,,3.3166247903554
42,1,all,Directed,59195,,12.884098726725126
1,42,all,Directed,59196,,10.816653826391969
42,60,all,Directed,59197,,30.463092423455635
60,126,all,Directed,59198,,11.180339887498949
5,202,all,Directed,59199,,6.324555320336759
202,1,all,Directed,59200,,14.730919862656235
1,10,all,Directed,59201,,8.426149773176359
10,296,all,Directed,59202,,1.0
50,50,all,Directed,59203,,145.45446022724775
50,1,all,Directed,59204,,12.649110640673518
1,50,all,Directed,59205,,12.449899597988733
50,25,all,Directed,59206,,16.55294535724685
25,5,all,Directed,59207,,69.94283380018284
5,50,all,Directed,59208,,31.74901573277509
2662,1,all,Directed,59209,,1.0
1,70,all,Directed,59210,,5.477225575051661
70,15,all,Directed,59211,,10.14889156509222
15,70,all,Directed,59212,,11.180339887498949
70,51,all,Directed,59213,,5.0990195135927845
302,1,all,Directed,59214,,2.0
42,42,all,Directed,59215,,59.79130371550699
1,116,all,Directed,59216,,14.45683229480096
116,1,all,Directed,59217,,15.748015748023622
15,15,all,Directed,59218,,114.02631275280281
15,1,all,Directed,59219,,29.631064780058107
50,156,all,Directed,59220,,6.164414002968976
5,9,all,Directed,59221,,32.64965543462902
9,1,all,Directed,59222,,12.569805089976535
677,254,all,Directed,59223,,1.0
254,1,all,Directed,59224,,2.449489742783178
60,1,all,Directed,59225,,29.664793948382652
980,42,all,Directed,59226,,1.4142135623730951
1,119,all,Directed,59227,,9.1104335791443
1,60,all,Directed,59228,,24.413111231467404
60,43,all,Directed,59229,,27.03701166919155
1901,211,all,Directed,59230,,1.0
211,1,all,Directed,59231,,6.6332495807108
111,111,all,Directed,59232,,69.44782214007866
111,1,all,Directed,59233,,6.855654600401044
1,111,all,Directed,59234,,7.54983443527075
15,5,all,Directed,59235,,40.0
1,85,all,Directed,59236,,5.916079783099616
85,1,all,Directed,59237,,5.830951894845301
325,28,all,Directed,59238,,8.602325267042627
28,1,all,Directed,59239,,21.470910553583888
1,169,all,Directed,59240,,2.0
169,115,all,Directed,59241,,1.4142135623730951
115,111,all,Directed,59242,,1.7320508075688772
248,28,all,Directed,59243,,10.295630140987
5,248,all,Directed,59244,,2.6457513110645907
1091,1,all,Directed,59245,,1.0
258,13,all,Directed,59246,,15.556349186104045
13,258,all,Directed,59247,,19.390719429665317
80,80,all,Directed,59248,,43.266615305567875
80,1,all,Directed,59249,,5.5677643628300215
1,80,all,Directed,59250,,3.3166247903554
17,17,all,Directed,59251,,46.98936049788292
17,75,all,Directed,59252,,6.244997998398398
75,54,all,Directed,59253,,26.870057685088806
1,36,all,Directed,59254,,17.635192088548397
36,36,all,Directed,59255,,143.3980474065111
36,213,all,Directed,59256,,2.23606797749979
3700,90,all,Directed,59257,,3.0
90,320,all,Directed,59258,,1.4142135623730951
320,1,all,Directed,59259,,2.23606797749979
1,320,all,Directed,59260,,2.449489742783178
51,51,all,Directed,59261,,55.41660400998964
51,1,all,Directed,59262,,12.767145334803704
1,347,all,Directed,59263,,8.12403840463596
635,28,all,Directed,59264,,2.449489742783178
28,350,all,Directed,59265,,1.4142135623730951
350,1,all,Directed,59266,,2.449489742783178
1,13,all,Directed,59267,,19.79898987322333
52,144,all,Directed,59268,,12.609520212918492
144,36,all,Directed,59269,,3.3166247903554
36,52,all,Directed,59270,,14.45683229480096
85,111,all,Directed,59271,,4.242640687119285
1153,1,all,Directed,59272,,4.242640687119285
228,1,all,Directed,59273,,17.69180601295413
