Source,Target,Kind,Type,Id,Label,Weight
94,1,all,Directed,59149,,73
1,15,all,Directed,59150,,779
15,116,all,Directed,59151,,38
116,41,all,Directed,59152,,1
13,1,all,Directed,59153,,508
1,5,all,Directed,59154,,917
5,5,all,Directed,59155,,83198
1349,121,all,Directed,59156,,9
121,43,all,Directed,59157,,41
43,238,all,Directed,59158,,5
238,121,all,Directed,59159,,6
20,20,all,Directed,59160,,4128
20,13,all,Directed,59161,,3538
13,20,all,Directed,59162,,4364
28,180,all,Directed,59163,,2
180,13,all,Directed,59164,,232
13,13,all,Directed,59165,,53159
4299,52,all,Directed,59166,,2
52,52,all,Directed,59167,,4019
52,168,all,Directed,59168,,43
376,54,all,Directed,59169,,25
54,221,all,Directed,59170,,2
221,54,all,Directed,59171,,1
54,54,all,Directed,59172,,14753
54,193,all,Directed,59173,,10
1,1,all,Directed,59174,,9718
1,107,all,Directed,59175,,12
107,36,all,Directed,59176,,49
36,169,all,Directed,59177,,15
169,1,all,Directed,59178,,7
213,213,all,Directed,59179,,46
213,1,all,Directed,59180,,174
1,138,all,Directed,59181,,1
443,139,all,Directed,59182,,12
139,1,all,Directed,59183,,58
1,202,all,Directed,59184,,153
60,60,all,Directed,59185,,24768
60,281,all,Directed,59186,,6
281,101,all,Directed,59187,,1
101,5,all,Directed,59188,,18
5,1,all,Directed,59189,,915
1,59,all,Directed,59190,,68
59,5,all,Directed,59191,,1752
5,59,all,Directed,59192,,3388
59,1,all,Directed,59193,,59
126,42,all,Directed,59194,,11
42,1,all,Directed,59195,,166
1,42,all,Directed,59196,,117
42,60,all,Directed,59197,,928
60,126,all,Directed,59198,,125
5,202,all,Directed,59199,,40
202,1,all,Directed,59200,,217
1,10,all,Directed,59201,,71
10,296,all,Directed,59202,,1
50,50,all,Directed,59203,,21157
50,1,all,Directed,59204,,160
1,50,all,Directed,59205,,155
50,25,all,Directed,59206,,274
25,5,all,Directed,59207,,4892
5,50,all,Directed,59208,,1008
2662,1,all,Directed,59209,,1
1,70,all,Directed,59210,,30
70,15,all,Directed,59211,,103
15,70,all,Directed,59212,,125
70,51,all,Directed,59213,,26
302,1,all,Directed,59214,,4
42,42,all,Directed,59215,,3575
1,116,all,Directed,59216,,209
116,1,all,Directed,59217,,248
15,15,all,Directed,59218,,13002
15,1,all,Directed,59219,,878
50,156,all,Directed,59220,,38
5,9,all,Directed,59221,,1066
9,1,all,Directed,59222,,158
677,254,all,Directed,59223,,1
254,1,all,Directed,59224,,6
60,1,all,Directed,59225,,880
980,42,all,Directed,59226,,2
1,119,all,Directed,59227,,83
1,60,all,Directed,59228,,596
60,43,all,Directed,59229,,731
1901,211,all,Directed,59230,,1
211,1,all,Directed,59231,,44
111,111,all,Directed,59232,,4823
111,1,all,Directed,59233,,47
1,111,all,Directed,59234,,57
15,5,all,Directed,59235,,1600
1,85,all,Directed,59236,,35
85,1,all,Directed,59237,,34
325,28,all,Directed,59238,,74
28,1,all,Directed,59239,,461
1,169,all,Directed,59240,,4
169,115,all,Directed,59241,,2
115,111,all,Directed,59242,,3
248,28,all,Directed,59243,,106
5,248,all,Directed,59244,,7
1091,1,all,Directed,59245,,1
258,13,all,Directed,59246,,242
13,258,all,Directed,59247,,376
80,80,all,Directed,59248,,1872
80,1,all,Directed,59249,,31
1,80,all,Directed,59250,,11
17,17,all,Directed,59251,,2208
17,75,all,Directed,59252,,39
75,54,all,Directed,59253,,722
1,36,all,Directed,59254,,311
36,36,all,Directed,59255,,20563
36,213,all,Directed,59256,,5
3700,90,all,Directed,59257,,9
90,320,all,Directed,59258,,2
320,1,all,Directed,59259,,5
1,320,all,Directed,59260,,6
51,51,all,Directed,59261,,3071
51,1,all,Directed,59262,,163
1,347,all,Directed,59263,,66
635,28,all,Directed,59264,,6
28,350,all,Directed,59265,,2
350,1,all,Directed,59266,,6
1,13,all,Directed,59267,,392
52,144,all,Directed,59268,,159
144,36,all,Directed,59269,,11
36,52,all,Directed,59270,,209
85,111,all,Directed,59271,,18
1153,1,all,Directed,59272,,18
228,1,all,Directed,59273,,313
1,228,all,Directed,59274,,162
75,166,all,Directed,59275,,6
166,1,all,Directed,59276,,6
772,1,all,Directed,59277,,3
168,25,all,Directed,59278,,720
25,36,all,Directed,59279,,1766
36,1,all,Directed,59280,,283
5,104,all,Directed,59281,,76
104,1,all,Directed,59282,,21
49,49,all,Directed,59283,,8191
49,1,all,Directed,59284,,105
108,1,all,Directed,59285,,24
1,257,all,Directed,59286,,22
257,1,all,Directed,59287,,44
1,115,all,Directed,59288,,5
115,202,all,Directed,59289,,3
28,28,all,Directed,59290,,4900
60,28,all,Directed,59291,,763
16,16,all,Directed,59292,,1391
16,1,all,Directed,59293,,23
1,16,all,Directed,59294,,20
16,18,all,Directed,59295,,14
18,16,all,Directed,59296,,13
1,25,all,Directed,59297,,178
25,1,all,Directed,59298,,188
347,347,all,Directed,59299,,78
347,1,all,Directed,59300,,162
27,60,all,Directed,59301,,101
36,9,all,Directed,59302,,367
1,9,all,Directed,59303,,170
27,27,all,Directed,59304,,5809
27,1,all,Directed,59305,,83
1,168,all,Directed,59306,,70
168,27,all,Directed,59307,,34
312,1,all,Directed,59308,,76
1128,60,all,Directed,59309,,10
60,13,all,Directed,59310,,835
1,349,all,Directed,59311,,16
1,28,all,Directed,59312,,186
1,94,all,Directed,59313,,69
131,225,all,Directed,59314,,1
225,5,all,Directed,59315,,130
5,71,all,Directed,59316,,1129
30,60,all,Directed,59317,,143
36,60,all,Directed,59318,,247
1314,94,all,Directed,59319,,1
1540,15,all,Directed,59320,,1
52,5,all,Directed,59321,,528
1,71,all,Directed,59322,,28
71,71,all,Directed,59323,,2981
71,5,all,Directed,59324,,2030
934,1,all,Directed,59325,,1
11,49,all,Directed,59326,,327
1,109,all,Directed,59327,,8
109,1,all,Directed,59328,,7
23,5,all,Directed,59329,,43
1,30,all,Directed,59330,,27
56,50,all,Directed,59331,,546
1,56,all,Directed,59332,,67
232,28,all,Directed,59333,,106
745,16,all,Directed,59334,,3
16,199,all,Directed,59335,,13
199,1,all,Directed,59336,,5
1,79,all,Directed,59337,,18
400,54,all,Directed,59338,,12
54,75,all,Directed,59339,,660
75,1,all,Directed,59340,,126
116,116,all,Directed,59341,,197
13,10,all,Directed,59342,,79
10,25,all,Directed,59343,,454
22,5,all,Directed,59344,,762
5,60,all,Directed,59345,,850
60,2,all,Directed,59346,,14
2,60,all,Directed,59347,,11
242,1,all,Directed,59348,,157
1,242,all,Directed,59349,,51
1752,60,all,Directed,59350,,6
17,13,all,Directed,59351,,157
1,17,all,Directed,59352,,66
39,39,all,Directed,59353,,2057
39,5,all,Directed,59354,,359
1,39,all,Directed,59355,,42
829,108,all,Directed,59356,,3
1221,119,all,Directed,59357,,1
119,1,all,Directed,59358,,75
28,60,all,Directed,59359,,1376
4533,60,all,Directed,59360,,6
10,10,all,Directed,59361,,2864
10,36,all,Directed,59362,,274
1752,116,all,Directed,59363,,1
116,17,all,Directed,59364,,4
17,1,all,Directed,59365,,62
50,9,all,Directed,59366,,440
14,43,all,Directed,59367,,19
43,43,all,Directed,59368,,770
43,1,all,Directed,59369,,80
3457,28,all,Directed,59370,,18
386,1,all,Directed,59371,,2
1450,1,all,Directed,59372,,10
1204,1,all,Directed,59373,,1
300,1,all,Directed,59374,,2
1,104,all,Directed,59375,,37
248,1,all,Directed,59376,,27
1326,257,all,Directed,59377,,2
1729,228,all,Directed,59378,,1
5,116,all,Directed,59379,,58
14,60,all,Directed,59380,,355
