id,oX,oY,dX,dY,trips,cO,cD
3,-27.597,-48.549,-22.903,-43.208,1,brazil,brazil
634,-25.428,-49.273,-22.903,-43.208,2,brazil,brazil
635,-25.428,-49.273,-23.548,-46.636,1,brazil,brazil
1894,-22.903,-43.208,-25.428,-49.273,2,brazil,brazil
1897,-22.903,-43.208,-23.548,-46.636,1,brazil,brazil
1902,-22.903,-43.208,-22.469,-44.447,1,brazil,brazil
1941,-22.903,-43.208,-12.971,-38.511,2,brazil,brazil
2006,-22.903,-43.208,34.05223,-118.24368,1,brazil,united states
2108,-22.903,-43.208,51.75222,-1.25596,1,brazil,united kingdom
2114,-22.903,-43.208,36.97412,-122.0308,1,brazil,united states
2120,-22.903,-43.208,42.27756,-83.74088,1,brazil,united states
2141,-22.903,-43.208,37.44188,-122.14302,1,brazil,united states
2527,-23.548,-46.636,-22.903,-43.208,2,brazil,brazil
2539,-23.548,-46.636,-22.906,-47.061,1,brazil,brazil
2551,-23.548,-46.636,-19.817,-43.956,1,brazil,brazil
2578,-23.548,-46.636,-22.411,-47.561,1,brazil,brazil
2635,-23.548,-46.636,48.85341,2.3488,2,brazil,france
2636,-23.548,-46.636,-33.03932,-71.62725,1,brazil,chile
2665,-23.548,-46.636,40.11642,-88.24338,1,brazil,united states
2740,-23.548,-46.636,-23.543,-46.311,1,brazil,brazil
2744,-23.548,-46.636,52.2,0.11667,1,brazil,united kingdom
2745,-23.548,-46.636,36.97412,-122.0308,1,brazil,united states
2747,-23.548,-46.636,40.71427,-74.00597,1,brazil,united states
2915,-23.548,-46.636,48.18333,6.45,1,brazil,france
6337,-16.679,-49.254,-19.817,-43.956,1,brazil,brazil
7576,-8.054,-34.881,-23.548,-46.636,1,brazil,brazil
7737,-8.054,-34.881,37.87159,-122.27275,1,brazil,united states
7795,-8.054,-34.881,40.71427,-74.00597,1,brazil,united states
9684,-22.906,-47.061,47.60621,-122.33207,1,brazil,united states
12624,-30.033,-51.23,-23.548,-46.636,1,brazil,brazil
12756,-30.033,-51.23,42.3751,-71.10561,1,brazil,united states
12761,-30.033,-51.23,40.11642,-88.24338,1,brazil,united states
14517,-23.463,-46.533,-23.548,-46.636,1,brazil,brazil
14527,-23.463,-46.533,51.50853,-0.12574,1,brazil,united kingdom
16454,-23.31,-51.163,-12.971,-38.511,1,brazil,brazil
17164,-19.817,-43.956,39.16533,-86.52639,1,brazil,united states
23374,43.70011,-79.4163,-19.817,-43.956,1,canada,brazil
24612,-21.764,-43.35,-22.903,-43.208,2,brazil,brazil
25969,-7.115,-34.863,-20.754,-42.882,1,brazil,brazil
26505,-3.717,-38.543,-22.903,-43.208,1,brazil,brazil
30291,-12.971,-38.511,-22.903,-43.208,1,brazil,brazil
30399,-12.971,-38.511,48.85341,2.3488,2,brazil,france
30769,-12.971,-38.511,43.26271,-2.92528,1,brazil,spain
33447,-1.456,-48.504,-23.548,-46.636,2,brazil,brazil
34078,-22.411,-47.561,-23.548,-46.636,1,brazil,brazil
36710,-34.90328,-56.18816,-33.03932,-71.62725,1,uruguay,chile
44311,-23.179,-45.887,40.11642,-88.24338,1,brazil,united states
63873,-28.388,-53.915,41.89193,12.51133,1,brazil,italy
85225,-22.744,-43.708,-3.102,-60.025,1,brazil,brazil
85283,-22.744,-43.708,-20.754,-42.882,1,brazil,brazil
122014,-34.61315,-58.37723,53.38297,-1.4659,1,argentina,united kingdom
136300,-23.543,-46.311,-23.548,-46.636,1,brazil,brazil
145134,41.66113,-91.53017,-23.548,-46.636,1,united states,brazil
156492,37.44188,-122.14302,-23.548,-46.636,1,united states,brazil
162278,42.73698,-84.48387,48.85341,2.3488,1,united states,france
198138,39.96118,-82.99879,-23.548,-46.636,1,united states,brazil
