id,oX,oY,dX,dY,trips
1,-27.597,-48.549,-25.428,-49.273,12
2,-27.597,-48.549,-26.908,-48.662,7
3,-27.597,-48.549,-22.903,-43.208,11
4,-27.597,-48.549,-23.548,-46.636,26
7,-27.597,-48.549,42.60003,-5.57032,1
8,-27.597,-48.549,-22.883,-43.104,1
10,-27.597,-48.549,-16.679,-49.254,1
11,-27.597,-48.549,-22.018,-47.891,3
12,-27.597,-48.549,-8.054,-34.881,2
15,-27.597,-48.549,-22.906,-47.061,11
20,-27.597,-48.549,-30.033,-51.23,25
23,-27.597,-48.549,-23.463,-46.533,2
24,-27.597,-48.549,-31.772,-52.343,6
25,-27.597,-48.549,-28.467,-49.007,5
26,-27.597,-48.549,-23.31,-51.163,3
27,-27.597,-48.549,-19.817,-43.956,1
28,-27.597,-48.549,-22.315,-49.061,14
30,-27.597,-48.549,-23.425,-51.939,1
31,-27.597,-48.549,-15.78,-47.93,4
34,-27.597,-48.549,-5.795,-35.209,1
35,-27.597,-48.549,40.4165,-3.70256,1
38,-27.597,-48.549,-21.754,-41.324,1
40,-27.597,-48.549,-3.102,-60.025,1
41,-27.597,-48.549,-7.115,-34.863,2
47,-27.597,-48.549,41.14961,-8.61099,1
48,-27.597,-48.549,-12.971,-38.511,2
56,-27.597,-48.549,-21.178,-47.81,1
61,-27.597,-48.549,-20.319,-40.338,1
68,-27.597,-48.549,-32.035,-52.099,1
73,-27.597,-48.549,-27.46794,153.02809,1
77,-27.597,-48.549,-27.615,-48.628,1
78,-27.597,-48.549,38.71667,-9.13333,2
79,-27.597,-48.549,53.79648,-1.54785,1
89,-27.597,-48.549,35.6895,139.69171,1
91,-27.597,-48.549,-21.245,-45,2
92,-27.597,-48.549,-29.918,-51.184,2
97,-27.597,-48.549,-20.443,-54.646,1
98,-27.597,-48.549,-20.754,-42.882,1
107,-27.597,-48.549,37.38283,-5.97317,2
108,-27.597,-48.549,-22.505,-43.179,1
111,-27.597,-48.549,48.85341,2.3488,2
114,-27.597,-48.549,41.38879,2.15899,2
118,-27.597,-48.549,43.4668,-80.51639,1
166,-27.597,-48.549,-20.539,-47.401,1
192,-27.597,-48.549,-20.82,-49.379,1
200,-27.597,-48.549,44.93333,4.9,1
227,-27.597,-48.549,42.27756,-83.74088,1
230,-27.597,-48.549,41.66113,-91.53017,1
238,-27.597,-48.549,55.86515,-4.25763,1
257,-27.597,-48.549,42.73698,-84.48387,1
271,-27.597,-48.549,-33.86785,151.20732,1
291,-27.597,-48.549,37.89155,-4.77275,1
297,-27.597,-48.549,48.78333,2.46667,1
305,-27.597,-48.549,40.42972,-3.67975,1
631,-25.428,-49.273,-27.597,-48.549,52
634,-25.428,-49.273,-22.903,-43.208,34
635,-25.428,-49.273,-23.548,-46.636,64
637,-25.428,-49.273,-29.76,-51.147,1
639,-25.428,-49.273,-22.883,-43.104,4
641,-25.428,-49.273,-16.679,-49.254,3
642,-25.428,-49.273,-22.018,-47.891,5
643,-25.428,-49.273,-8.054,-34.881,4
644,-25.428,-49.273,42.04114,-87.69006,1
645,-25.428,-49.273,51.50853,-0.12574,1
646,-25.428,-49.273,-22.906,-47.061,24
651,-25.428,-49.273,-30.033,-51.23,27
654,-25.428,-49.273,-23.463,-46.533,4
655,-25.428,-49.273,-31.772,-52.343,1
658,-25.428,-49.273,-19.817,-43.956,6
659,-25.428,-49.273,-22.315,-49.061,23
660,-25.428,-49.273,-25.395,-51.458,1
661,-25.428,-49.273,-23.425,-51.939,4
662,-25.428,-49.273,-15.78,-47.93,3
665,-25.428,-49.273,-5.795,-35.209,2
666,-25.428,-49.273,40.4165,-3.70256,1
667,-25.428,-49.273,-29.684,-53.807,4
668,-25.428,-49.273,43.70011,-79.4163,1
671,-25.428,-49.273,-3.102,-60.025,1
673,-25.428,-49.273,-3.717,-38.543,3
679,-25.428,-49.273,-12.971,-38.511,4
680,-25.428,-49.273,-26.177,-50.39,1
682,-25.428,-49.273,-18.919,-48.277,1
684,-25.428,-49.273,-1.456,-48.504,1
686,-25.428,-49.273,-24.956,-53.455,2
687,-25.428,-49.273,-21.178,-47.81,1
688,-25.428,-49.273,50.87959,4.70093,1
692,-25.428,-49.273,-20.319,-40.338,2
693,-25.428,-49.273,-9.666,-35.735,1
698,-25.428,-49.273,-25.095,-50.162,4
700,-25.428,-49.273,-15.596,-56.097,1
709,-25.428,-49.273,38.71667,-9.13333,1
713,-25.428,-49.273,52.9536,-1.15047,1
720,-25.428,-49.273,35.6895,139.69171,1
722,-25.428,-49.273,-21.245,-45,1
727,-25.428,-49.273,-23.694,-46.565,1
728,-25.428,-49.273,-20.443,-54.646,2
729,-25.428,-49.273,-20.754,-42.882,3
739,-25.428,-49.273,-22.505,-43.179,2
742,-25.428,-49.273,48.85341,2.3488,1
745,-25.428,-49.273,41.38879,2.15899,1
762,-25.428,-49.273,53.48095,-2.23743,1
766,-25.428,-49.273,-22.744,-43.708,2
767,-25.428,-49.273,42.3751,-71.10561,1
768,-25.428,-49.273,49.41794,2.82606,3
772,-25.428,-49.273,40.11642,-88.24338,1
787,-25.428,-49.273,35.7721,-78.63861,1
789,-25.428,-49.273,-5.089,-42.802,2
798,-25.428,-49.273,-21.255,-48.322,1
813,-25.428,-49.273,-22.725,-47.649,1
819,-25.428,-49.273,-21.794,-48.176,1
821,-25.428,-49.273,39.73915,-104.9847,1
822,-25.428,-49.273,-22.952,-46.542,1
824,-25.428,-49.273,-34.61315,-58.37723,1
836,-25.428,-49.273,39.47649,-6.37224,1
856,-25.428,-49.273,41.49109,2.14079,1
864,-25.428,-49.273,41.30815,-72.92816,1
877,-25.428,-49.273,44.49381,11.33875,1
880,-25.428,-49.273,45.74846,4.84671,1
888,-25.428,-49.273,42.73698,-84.48387,1
903,-25.428,-49.273,-22.786,-43.312,1
909,-25.428,-49.273,42.88052,-8.54569,1
910,-25.428,-49.273,-23.551,-51.461,1
920,-25.428,-49.273,37.18817,-3.60667,1
936,-25.428,-49.273,40.42972,-3.67975,1
962,-25.428,-49.273,-22.759,-43.451,1
979,-25.428,-49.273,52.6386,-1.13169,1
981,-25.428,-49.273,47.9959,7.85222,1
1262,-26.908,-48.662,-27.597,-48.549,11
1263,-26.908,-48.662,-25.428,-49.273,2
1265,-26.908,-48.662,-22.903,-43.208,1
1266,-26.908,-48.662,-23.548,-46.636,1
1269,-26.908,-48.662,42.60003,-5.57032,1
1277,-26.908,-48.662,-22.906,-47.061,1
1279,-26.908,-48.662,-27.816,-50.326,2
1282,-26.908,-48.662,-30.033,-51.23,4
1286,-26.908,-48.662,-31.772,-52.343,1
1287,-26.908,-48.662,-28.467,-49.007,3
1293,-26.908,-48.662,-15.78,-47.93,1
1303,-26.908,-48.662,-7.115,-34.863,2
1326,-26.908,-48.662,-26.919,-49.066,2
1455,-26.908,-48.662,-34.61315,-58.37723,1
1893,-22.903,-43.208,-27.597,-48.549,16
1894,-22.903,-43.208,-25.428,-49.273,66
1897,-22.903,-43.208,-23.548,-46.636,127
1898,-22.903,-43.208,-29.168,-51.179,1
1899,-22.903,-43.208,-29.76,-51.147,2
1901,-22.903,-43.208,-22.883,-43.104,64
1904,-22.903,-43.208,-22.018,-47.891,4
1905,-22.903,-43.208,-8.054,-34.881,6
1907,-22.903,-43.208,51.50853,-0.12574,2
1908,-22.903,-43.208,-22.906,-47.061,37
1913,-22.903,-43.208,-30.033,-51.23,20
1916,-22.903,-43.208,-23.463,-46.533,17
1917,-22.903,-43.208,-31.772,-52.343,1
1919,-22.903,-43.208,-23.31,-51.163,1
1920,-22.903,-43.208,-19.817,-43.956,17
1921,-22.903,-43.208,-22.315,-49.061,8
1924,-22.903,-43.208,-15.78,-47.93,23
1927,-22.903,-43.208,-5.795,-35.209,3
