Source,Target,Kind,Type,Id,Label,Weight
94,1,birth,Directed,0,,3.1622776601683795
1349,121,birth,Directed,1,,3.0
20,20,birth,Directed,2,,26.645825188948457
28,180,birth,Directed,3,,1.4142135623730951
4299,52,birth,Directed,4,,1.4142135623730951
376,54,birth,Directed,5,,4.358898943540674
1,1,birth,Directed,6,,32.0624390837628
213,213,birth,Directed,7,,5.196152422706632
443,139,birth,Directed,8,,3.4641016151377544
60,60,birth,Directed,9,,70.21395872616783
126,42,birth,Directed,10,,2.449489742783178
5,202,birth,Directed,11,,3.605551275463989
50,50,birth,Directed,12,,68.74590896918885
2662,1,birth,Directed,13,,1.0
302,1,birth,Directed,14,,1.0
15,15,birth,Directed,15,,50.368641037852115
5,9,birth,Directed,16,,11.74734012447073
677,254,birth,Directed,17,,1.0
980,42,birth,Directed,18,,1.4142135623730951
15,1,birth,Directed,19,,9.273618495495704
1901,211,birth,Directed,20,,1.0
111,111,birth,Directed,21,,33.80828300875393
13,1,birth,Directed,22,,9.591663046625438
325,28,birth,Directed,23,,8.426149773176359
248,28,birth,Directed,24,,7.14142842854285
1091,1,birth,Directed,25,,1.0
258,13,birth,Directed,26,,8.246211251235321
80,80,birth,Directed,27,,28.5657137141714
5,5,birth,Directed,28,,118.62967588255478
17,17,birth,Directed,29,,26.0
60,1,birth,Directed,30,,10.677078252031311
3700,90,birth,Directed,31,,3.0
51,51,birth,Directed,32,,24.63736998950984
635,28,birth,Directed,33,,2.449489742783178
1,60,birth,Directed,34,,4.69041575982343
52,52,birth,Directed,35,,32.848135411313685
1153,1,birth,Directed,36,,4.242640687119285
228,1,birth,Directed,37,,10.770329614269007
75,166,birth,Directed,38,,1.4142135623730951
772,1,birth,Directed,39,,1.7320508075688772
168,25,birth,Directed,40,,14.142135623730951
202,1,birth,Directed,41,,9.486832980505138
49,49,birth,Directed,42,,48.08326112068523
108,1,birth,Directed,43,,1.0
28,28,birth,Directed,44,,33.34666400106613
16,16,birth,Directed,45,,25.553864678361276
347,347,birth,Directed,46,,7.280109889280518
27,60,birth,Directed,47,,3.4641016151377544
27,27,birth,Directed,48,,45.5411901469428
312,1,birth,Directed,49,,4.58257569495584
1128,60,birth,Directed,50,,3.1622776601683795
