Source,Target,Kind,Type,Id,Label,Weight
94,1,birth,Directed,0,,10
1349,121,birth,Directed,1,,9
20,20,birth,Directed,2,,710
28,180,birth,Directed,3,,2
4299,52,birth,Directed,4,,2
376,54,birth,Directed,5,,19
1,1,birth,Directed,6,,1028
213,213,birth,Directed,7,,27
443,139,birth,Directed,8,,12
60,60,birth,Directed,9,,4930
126,42,birth,Directed,10,,6
5,202,birth,Directed,11,,13
50,50,birth,Directed,12,,4726
2662,1,birth,Directed,13,,1
302,1,birth,Directed,14,,1
15,15,birth,Directed,15,,2537
5,9,birth,Directed,16,,138
677,254,birth,Directed,17,,1
980,42,birth,Directed,18,,2
15,1,birth,Directed,19,,86
1901,211,birth,Directed,20,,1
111,111,birth,Directed,21,,1143
13,1,birth,Directed,22,,92
325,28,birth,Directed,23,,71
248,28,birth,Directed,24,,51
1091,1,birth,Directed,25,,1
258,13,birth,Directed,26,,68
80,80,birth,Directed,27,,816
5,5,birth,Directed,28,,14073
17,17,birth,Directed,29,,676
60,1,birth,Directed,30,,114
3700,90,birth,Directed,31,,9
51,51,birth,Directed,32,,607
635,28,birth,Directed,33,,6
1,60,birth,Directed,34,,22
52,52,birth,Directed,35,,1079
1153,1,birth,Directed,36,,18
228,1,birth,Directed,37,,116
75,166,birth,Directed,38,,2
772,1,birth,Directed,39,,3
168,25,birth,Directed,40,,200
202,1,birth,Directed,41,,90
49,49,birth,Directed,42,,2312
108,1,birth,Directed,43,,1
28,28,birth,Directed,44,,1112
16,16,birth,Directed,45,,653
347,347,birth,Directed,46,,53
27,60,birth,Directed,47,,12
27,27,birth,Directed,48,,2074
312,1,birth,Directed,49,,21
1128,60,birth,Directed,50,,10
131,225,birth,Directed,51,,1
30,60,birth,Directed,52,,90
1314,94,birth,Directed,53,,1
1540,15,birth,Directed,54,,1
52,5,birth,Directed,55,,65
1,15,birth,Directed,56,,36
257,1,birth,Directed,57,,18
254,1,birth,Directed,58,,3
934,1,birth,Directed,59,,1
11,49,birth,Directed,60,,118
56,50,birth,Directed,61,,30
232,28,birth,Directed,62,,57
745,16,birth,Directed,63,,3
400,54,birth,Directed,64,,12
1,116,birth,Directed,65,,46
13,10,birth,Directed,66,,22
22,5,birth,Directed,67,,347
242,1,birth,Directed,68,,117
1752,60,birth,Directed,69,,6
39,39,birth,Directed,70,,629
829,108,birth,Directed,71,,3
1221,119,birth,Directed,72,,1
5,1,birth,Directed,73,,137
4533,60,birth,Directed,74,,6
10,10,birth,Directed,75,,702
1752,116,birth,Directed,76,,1
50,9,birth,Directed,77,,93
14,43,birth,Directed,78,,6
3457,28,birth,Directed,79,,18
386,1,birth,Directed,80,,1
1450,1,birth,Directed,81,,10
1204,1,birth,Directed,82,,1
300,1,birth,Directed,83,,2
248,1,birth,Directed,84,,4
1326,257,birth,Directed,85,,2
1729,228,birth,Directed,86,,1
5,116,birth,Directed,87,,7
14,60,birth,Directed,88,,91
1314,248,birth,Directed,89,,1
1363,94,birth,Directed,90,,44
1559,1,birth,Directed,91,,2
13,9,birth,Directed,92,,426
1394,163,birth,Directed,93,,6
42,14,birth,Directed,94,,87
159,5,birth,Directed,95,,93
93,93,birth,Directed,96,,247
1692,49,birth,Directed,97,,1
2794,347,birth,Directed,98,,2
202,228,birth,Directed,99,,4
1008,139,birth,Directed,100,,4
33,33,birth,Directed,101,,221
894,18,birth,Directed,102,,111
42,42,birth,Directed,103,,1068
116,5,birth,Directed,104,,6
685,116,birth,Directed,105,,8
