Source,Target,Kind,Type,Id,Label,Weight
1,15,degree,Directed,41167,,18.708286933869708
15,116,degree,Directed,41168,,4.47213595499958
13,1,degree,Directed,41169,,17.146428199482248
1,5,degree,Directed,41170,,29.34280150224242
5,5,degree,Directed,41171,,236.5544334820212
121,43,degree,Directed,41172,,4.795831523312719
43,238,degree,Directed,41173,,2.23606797749979
20,20,degree,Directed,41174,,53.4696175411794
20,13,degree,Directed,41175,,49.64876634922564
180,13,degree,Directed,41176,,14.035668847618199
13,13,degree,Directed,41177,,180.5519315875629
52,52,degree,Directed,41178,,48.72371086031933
52,168,degree,Directed,41179,,5.656854249492381
54,221,degree,Directed,41180,,1.4142135623730951
221,54,degree,Directed,41181,,1.0
54,54,degree,Directed,41182,,94.05317644821997
1,1,degree,Directed,41183,,84.92349498224858
1,107,degree,Directed,41184,,3.4641016151377544
107,36,degree,Directed,41185,,3.872983346207417
36,169,degree,Directed,41186,,3.872983346207417
213,213,degree,Directed,41187,,4.123105625617661
213,1,degree,Directed,41188,,5.196152422706632
1,138,degree,Directed,41189,,1.0
139,1,degree,Directed,41190,,5.916079783099616
60,281,degree,Directed,41191,,2.449489742783178
281,101,degree,Directed,41192,,1.0
101,5,degree,Directed,41193,,3.1622776601683795
1,59,degree,Directed,41194,,7.937253933193772
59,5,degree,Directed,41195,,34.45286635390443
5,59,degree,Directed,41196,,42.555845661906424
42,1,degree,Directed,41197,,11.045361017187261
1,42,degree,Directed,41198,,8.0
42,60,degree,Directed,41199,,27.892651361962706
60,60,degree,Directed,41200,,129.1975231960737
202,1,degree,Directed,41201,,11.224972160321824
1,10,degree,Directed,41202,,5.385164807134504
50,1,degree,Directed,41203,,11.135528725660043
1,50,degree,Directed,41204,,10.344080432788601
50,25,degree,Directed,41205,,15.198684153570664
25,5,degree,Directed,41206,,63.97655820689325
1,70,degree,Directed,41207,,1.4142135623730951
70,15,degree,Directed,41208,,8.246211251235321
15,70,degree,Directed,41209,,4.69041575982343
70,51,degree,Directed,41210,,4.242640687119285
42,42,degree,Directed,41211,,46.17358552246078
1,202,degree,Directed,41212,,6.082762530298219
1,116,degree,Directed,41213,,7.416198487095663
116,1,degree,Directed,41214,,13.711309200802088
15,1,degree,Directed,41215,,26.60826939130014
9,1,degree,Directed,41216,,11.0
254,1,degree,Directed,41217,,1.7320508075688772
60,1,degree,Directed,41218,,23.130067012440755
1,60,degree,Directed,41219,,22.44994432064365
211,1,degree,Directed,41220,,1.4142135623730951
111,1,degree,Directed,41221,,6.324555320336759
1,111,degree,Directed,41222,,5.196152422706632
111,111,degree,Directed,41223,,53.87021440462252
15,5,degree,Directed,41224,,38.31448812133603
1,85,degree,Directed,41225,,5.916079783099616
28,1,degree,Directed,41226,,19.924858845171276
1,169,degree,Directed,41227,,2.0
169,115,degree,Directed,41228,,1.4142135623730951
13,258,degree,Directed,41229,,11.61895003862225
258,13,degree,Directed,41230,,11.74734012447073
80,1,degree,Directed,41231,,5.196152422706632
1,80,degree,Directed,41232,,1.7320508075688772
80,80,degree,Directed,41233,,30.199337741083
5,1,degree,Directed,41234,,19.364916731037084
17,75,degree,Directed,41235,,5.656854249492381
75,54,degree,Directed,41236,,23.280893453645632
1,36,degree,Directed,41237,,17.406895185529212
36,36,degree,Directed,41238,,126.53853168106544
90,320,degree,Directed,41239,,1.4142135623730951
320,1,degree,Directed,41240,,1.4142135623730951
1,320,degree,Directed,41241,,2.449489742783178
51,1,degree,Directed,41242,,11.958260743101398
28,350,degree,Directed,41243,,1.4142135623730951
350,1,degree,Directed,41244,,2.449489742783178
1,13,degree,Directed,41245,,18.2208671582886
52,144,degree,Directed,41246,,5.0990195135927845
144,36,degree,Directed,41247,,2.6457513110645907
166,1,degree,Directed,41248,,2.23606797749979
25,36,degree,Directed,41249,,40.06245124802026
36,1,degree,Directed,41250,,11.74734012447073
5,104,degree,Directed,41251,,8.366600265340756
49,1,degree,Directed,41252,,8.94427190999916
1,257,degree,Directed,41253,,3.605551275463989
257,1,degree,Directed,41254,,5.0990195135927845
1,115,degree,Directed,41255,,2.23606797749979
16,1,degree,Directed,41256,,4.795831523312719
1,16,degree,Directed,41257,,1.4142135623730951
16,18,degree,Directed,41258,,3.605551275463989
1,25,degree,Directed,41259,,12.328828005937952
347,347,degree,Directed,41260,,4.795831523312719
347,1,degree,Directed,41261,,8.660254037844387
1,9,degree,Directed,41262,,10.099504938362077
27,27,degree,Directed,41263,,54.67174773134658
27,1,degree,Directed,41264,,8.660254037844387
1,168,degree,Directed,41265,,8.12403840463596
60,13,degree,Directed,41266,,25.059928172283335
1,28,degree,Directed,41267,,7.615773105863909
225,5,degree,Directed,41268,,5.477225575051661
94,1,degree,Directed,41269,,7.937253933193772
15,15,degree,Directed,41270,,90.70832376358854
1,71,degree,Directed,41271,,5.196152422706632
71,71,degree,Directed,41272,,47.738873049120045
1,109,degree,Directed,41273,,2.8284271247461903
23,5,degree,Directed,41274,,4.898979485566356
50,50,degree,Directed,41275,,116.64475984801032
16,199,degree,Directed,41276,,3.4641016151377544
199,1,degree,Directed,41277,,2.0
54,75,degree,Directed,41278,,18.867962264113206
75,1,degree,Directed,41279,,11.0
116,116,degree,Directed,41280,,10.862780491200215
10,25,degree,Directed,41281,,20.346989949375804
25,1,degree,Directed,41282,,10.583005244258363
5,60,degree,Directed,41283,,22.315913604421397
60,2,degree,Directed,41284,,3.7416573867739413
17,13,degree,Directed,41285,,10.488088481701515
39,5,degree,Directed,41286,,18.16590212458495
108,1,degree,Directed,41287,,4.58257569495584
119,1,degree,Directed,41288,,4.898979485566356
28,60,degree,Directed,41289,,35.53871128783372
10,36,degree,Directed,41290,,15.7797338380595
116,17,degree,Directed,41291,,2.0
17,1,degree,Directed,41292,,7.54983443527075
43,43,degree,Directed,41293,,24.228082879171435
43,1,degree,Directed,41294,,8.18535277187245
228,1,degree,Directed,41295,,13.96424004376894
248,80,degree,Directed,41296,,1.0
80,10,degree,Directed,41297,,1.7320508075688772
10,1,degree,Directed,41298,,10.44030650891055
94,94,degree,Directed,41299,,15.684387141358123
49,13,degree,Directed,41300,,19.924858845171276
13,49,degree,Directed,41301,,14.2828568570857
49,3,degree,Directed,41302,,2.8284271247461903
163,163,degree,Directed,41303,,15.716233645501712
163,1,degree,Directed,41304,,7.483314773547883
60,43,degree,Directed,41305,,17.349351572897472
43,13,degree,Directed,41306,,5.744562646538029
14,1,degree,Directed,41307,,11.916375287812984
1,3,degree,Directed,41308,,4.47213595499958
93,93,degree,Directed,41309,,26.28687885618983
93,1,degree,Directed,41310,,7.280109889280518
347,139,degree,Directed,41311,,1.4142135623730951
9,123,degree,Directed,41312,,6.164414002968976
123,5,degree,Directed,41313,,19.313207915827967
139,139,degree,Directed,41314,,8.0
139,28,degree,Directed,41315,,5.477225575051661
33,33,degree,Directed,41316,,15.132745950421556
