Source,Target,Kind,Type,Id,Label,Weight
1,15,degree,Directed,41167,,350
15,116,degree,Directed,41168,,20
13,1,degree,Directed,41169,,294
1,5,degree,Directed,41170,,861
5,5,degree,Directed,41171,,55958
121,43,degree,Directed,41172,,23
43,238,degree,Directed,41173,,5
20,20,degree,Directed,41174,,2859
20,13,degree,Directed,41175,,2465
180,13,degree,Directed,41176,,197
13,13,degree,Directed,41177,,32599
52,52,degree,Directed,41178,,2374
52,168,degree,Directed,41179,,32
54,221,degree,Directed,41180,,2
221,54,degree,Directed,41181,,1
54,54,degree,Directed,41182,,8846
1,1,degree,Directed,41183,,7212
1,107,degree,Directed,41184,,12
107,36,degree,Directed,41185,,15
36,169,degree,Directed,41186,,15
213,213,degree,Directed,41187,,17
213,1,degree,Directed,41188,,27
1,138,degree,Directed,41189,,1
139,1,degree,Directed,41190,,35
60,281,degree,Directed,41191,,6
281,101,degree,Directed,41192,,1
101,5,degree,Directed,41193,,10
1,59,degree,Directed,41194,,63
59,5,degree,Directed,41195,,1187
5,59,degree,Directed,41196,,1811
42,1,degree,Directed,41197,,122
1,42,degree,Directed,41198,,64
42,60,degree,Directed,41199,,778
60,60,degree,Directed,41200,,16692
202,1,degree,Directed,41201,,126
1,10,degree,Directed,41202,,29
50,1,degree,Directed,41203,,124
1,50,degree,Directed,41204,,107
50,25,degree,Directed,41205,,231
25,5,degree,Directed,41206,,4093
1,70,degree,Directed,41207,,2
70,15,degree,Directed,41208,,68
15,70,degree,Directed,41209,,22
70,51,degree,Directed,41210,,18
42,42,degree,Directed,41211,,2132
1,202,degree,Directed,41212,,37
1,116,degree,Directed,41213,,55
116,1,degree,Directed,41214,,188
15,1,degree,Directed,41215,,708
9,1,degree,Directed,41216,,121
254,1,degree,Directed,41217,,3
60,1,degree,Directed,41218,,535
1,60,degree,Directed,41219,,504
211,1,degree,Directed,41220,,2
111,1,degree,Directed,41221,,40
1,111,degree,Directed,41222,,27
111,111,degree,Directed,41223,,2902
15,5,degree,Directed,41224,,1468
1,85,degree,Directed,41225,,35
28,1,degree,Directed,41226,,397
1,169,degree,Directed,41227,,4
169,115,degree,Directed,41228,,2
13,258,degree,Directed,41229,,135
258,13,degree,Directed,41230,,138
80,1,degree,Directed,41231,,27
1,80,degree,Directed,41232,,3
80,80,degree,Directed,41233,,912
5,1,degree,Directed,41234,,375
17,75,degree,Directed,41235,,32
75,54,degree,Directed,41236,,542
1,36,degree,Directed,41237,,303
36,36,degree,Directed,41238,,16012
90,320,degree,Directed,41239,,2
320,1,degree,Directed,41240,,2
1,320,degree,Directed,41241,,6
51,1,degree,Directed,41242,,143
28,350,degree,Directed,41243,,2
350,1,degree,Directed,41244,,6
1,13,degree,Directed,41245,,332
52,144,degree,Directed,41246,,26
144,36,degree,Directed,41247,,7
166,1,degree,Directed,41248,,5
25,36,degree,Directed,41249,,1605
36,1,degree,Directed,41250,,138
5,104,degree,Directed,41251,,70
49,1,degree,Directed,41252,,80
1,257,degree,Directed,41253,,13
257,1,degree,Directed,41254,,26
1,115,degree,Directed,41255,,5
16,1,degree,Directed,41256,,23
1,16,degree,Directed,41257,,2
16,18,degree,Directed,41258,,13
1,25,degree,Directed,41259,,152
347,347,degree,Directed,41260,,23
347,1,degree,Directed,41261,,75
1,9,degree,Directed,41262,,102
27,27,degree,Directed,41263,,2989
27,1,degree,Directed,41264,,75
1,168,degree,Directed,41265,,66
60,13,degree,Directed,41266,,628
1,28,degree,Directed,41267,,58
225,5,degree,Directed,41268,,30
94,1,degree,Directed,41269,,63
15,15,degree,Directed,41270,,8228
1,71,degree,Directed,41271,,27
71,71,degree,Directed,41272,,2279
1,109,degree,Directed,41273,,8
23,5,degree,Directed,41274,,24
50,50,degree,Directed,41275,,13606
16,199,degree,Directed,41276,,12
199,1,degree,Directed,41277,,4
54,75,degree,Directed,41278,,356
75,1,degree,Directed,41279,,121
116,116,degree,Directed,41280,,118
10,25,degree,Directed,41281,,414
25,1,degree,Directed,41282,,112
5,60,degree,Directed,41283,,498
60,2,degree,Directed,41284,,14
17,13,degree,Directed,41285,,110
39,5,degree,Directed,41286,,330
108,1,degree,Directed,41287,,21
119,1,degree,Directed,41288,,24
28,60,degree,Directed,41289,,1263
10,36,degree,Directed,41290,,249
116,17,degree,Directed,41291,,4
17,1,degree,Directed,41292,,57
43,43,degree,Directed,41293,,587
43,1,degree,Directed,41294,,67
228,1,degree,Directed,41295,,195
248,80,degree,Directed,41296,,1
80,10,degree,Directed,41297,,3
10,1,degree,Directed,41298,,109
94,94,degree,Directed,41299,,246
49,13,degree,Directed,41300,,397
13,49,degree,Directed,41301,,204
49,3,degree,Directed,41302,,8
163,163,degree,Directed,41303,,247
163,1,degree,Directed,41304,,56
60,43,degree,Directed,41305,,301
43,13,degree,Directed,41306,,33
14,1,degree,Directed,41307,,142
1,3,degree,Directed,41308,,20
93,93,degree,Directed,41309,,691
93,1,degree,Directed,41310,,53
347,139,degree,Directed,41311,,2
9,123,degree,Directed,41312,,38
123,5,degree,Directed,41313,,373
139,139,degree,Directed,41314,,64
139,28,degree,Directed,41315,,30
33,33,degree,Directed,41316,,229
33,1,degree,Directed,41317,,63
18,18,degree,Directed,41318,,1879
18,1,degree,Directed,41319,,46
42,14,degree,Directed,41320,,103
1,184,degree,Directed,41321,,1
184,1,degree,Directed,41322,,3
116,15,degree,Directed,41323,,35
228,36,degree,Directed,41324,,31
163,15,degree,Directed,41325,,256
70,1,degree,Directed,41326,,16
15,9,degree,Directed,41327,,120
1,284,degree,Directed,41328,,7
164,1,degree,Directed,41329,,9
60,15,degree,Directed,41330,,259
5,168,degree,Directed,41331,,822
168,25,degree,Directed,41332,,352
5,3,degree,Directed,41333,,52
28,28,degree,Directed,41334,,3339
257,257,degree,Directed,41335,,10
9,5,degree,Directed,41336,,801
5,9,degree,Directed,41337,,478
60,248,degree,Directed,41338,,28
248,1,degree,Directed,41339,,23
1,248,degree,Directed,41340,,5
148,148,degree,Directed,41341,,56
148,1,degree,Directed,41342,,4
114,1,degree,Directed,41343,,2
121,1,degree,Directed,41344,,23
349,125,degree,Directed,41345,,1
125,1,degree,Directed,41346,,10
1,229,degree,Directed,41347,,5
15,28,degree,Directed,41348,,50
28,15,degree,Directed,41349,,133
16,16,degree,Directed,41350,,638
309,1,degree,Directed,41351,,3
156,1,degree,Directed,41352,,14
90,90,degree,Directed,41353,,6075
90,54,degree,Directed,41354,,312
54,1,degree,Directed,41355,,85
1,129,degree,Directed,41356,,3
54,277,degree,Directed,41357,,2
277,1,degree,Directed,41358,,1
193,193,degree,Directed,41359,,96
193,3,degree,Directed,41360,,1
242,242,degree,Directed,41361,,52
242,1,degree,Directed,41362,,40
10,10,degree,Directed,41363,,1863
10,5,degree,Directed,41364,,763
14,14,degree,Directed,41365,,736
17,17,degree,Directed,41366,,1168
17,15,degree,Directed,41367,,59
342,342,degree,Directed,41368,,21
342,1,degree,Directed,41369,,8
1,355,degree,Directed,41370,,2
87,1,degree,Directed,41371,,2
52,1,degree,Directed,41372,,36
5,15,degree,Directed,41373,,430
47,116,degree,Directed,41374,,1
28,107,degree,Directed,41375,,3
107,1,degree,Directed,41376,,5
90,116,degree,Directed,41377,,3
116,75,degree,Directed,41378,,3
70,163,degree,Directed,41379,,10
27,75,degree,Directed,41380,,46
75,5,degree,Directed,41381,,477
1,213,degree,Directed,41382,,7
75,75,degree,Directed,41383,,3344
15,10,degree,Directed,41384,,116
94,60,degree,Directed,41385,,37
1,237,degree,Directed,41386,,2
237,1,degree,Directed,41387,,3
7,5,degree,Directed,41388,,273
163,28,degree,Directed,41389,,4
29,1,degree,Directed,41390,,18
94,70,degree,Directed,41391,,6
30,30,degree,Directed,41392,,41
30,1,degree,Directed,41393,,5
442,1,degree,Directed,41394,,4
8,1,degree,Directed,41395,,2
1,108,degree,Directed,41396,,7
162,13,degree,Directed,41397,,30
13,3,degree,Directed,41398,,23
60,5,degree,Directed,41399,,1283
102,13,degree,Directed,41400,,46
228,51,degree,Directed,41401,,3
193,1,degree,Directed,41402,,21
56,60,degree,Directed,41403,,62
1,104,degree,Directed,41404,,34
393,54,degree,Directed,41405,,17
54,5,degree,Directed,41406,,930
167,60,degree,Directed,41407,,2
232,1,degree,Directed,41408,,42
90,1,degree,Directed,41409,,95
50,13,degree,Directed,41410,,892
257,312,degree,Directed,41411,,5
312,1,degree,Directed,41412,,55
14,60,degree,Directed,41413,,260
1,228,degree,Directed,41414,,36
228,229,degree,Directed,41415,,1
229,1,degree,Directed,41416,,1
1,93,degree,Directed,41417,,5
51,41,degree,Directed,41418,,12
41,117,degree,Directed,41419,,1
117,1,degree,Directed,41420,,3
52,50,degree,Directed,41421,,112
7,39,degree,Directed,41422,,14
39,1,degree,Directed,41423,,29
93,13,degree,Directed,41424,,71
1,130,degree,Directed,41425,,4
15,312,degree,Directed,41426,,5
312,60,degree,Directed,41427,,27
4,4,degree,Directed,41428,,8
163,43,degree,Directed,41429,,2
1,133,degree,Directed,41430,,11
228,213,degree,Directed,41431,,1
132,56,degree,Directed,41432,,2
56,1,degree,Directed,41433,,40
28,232,degree,Directed,41434,,27
