Source,Target,Kind,Type,Id,Label,Weight,From,Destination,year
15,116,degree,Directed,3,,1,curitiba,itajai,2014
5,5,degree,Directed,7,,824,sao paulo,sao paulo,1998
43,238,degree,Directed,10,,2,sao leopoldo,leon,2001
20,13,degree,Directed,15,,9,niteroi,rio de janeiro,1997
52,168,degree,Directed,23,,5,goiania,sao carlos,2011
54,54,degree,Directed,27,,372,recife,recife,2012
36,169,degree,Directed,33,,1,campinas,reading,1995
1,138,degree,Directed,39,,1,florianopolis,chicago,2014
1,1,degree,Directed,43,,223,florianopolis,florianopolis,2008
101,5,degree,Directed,48,,1,albany,sao paulo,1976
5,59,degree,Directed,54,,12,sao paulo,guarulhos,1997
60,60,degree,Directed,60,,113,porto alegre,porto alegre,1998
50,25,degree,Directed,69,,5,belo horizonte,bauru,1997
70,51,degree,Directed,76,,2,guarapuava,maringa,2014
42,42,degree,Directed,80,,89,pelotas,pelotas,2012
1,1,degree,Directed,86,,255,florianopolis,florianopolis,2010
1,1,degree,Directed,92,,220,florianopolis,florianopolis,2007
1,50,degree,Directed,96,,7,florianopolis,belo horizonte,2012
5,5,degree,Directed,106,,741,sao paulo,sao paulo,1997
1,1,degree,Directed,117,,296,florianopolis,florianopolis,2012
1,60,degree,Directed,121,,4,florianopolis,porto alegre,1998
1,1,degree,Directed,126,,301,florianopolis,florianopolis,2013
111,111,degree,Directed,130,,74,natal,natal,2008
15,5,degree,Directed,135,,20,curitiba,sao paulo,1999
1,85,degree,Directed,140,,4,florianopolis,madrid,1999
1,1,degree,Directed,145,,258,florianopolis,florianopolis,2009
1,60,degree,Directed,149,,1,florianopolis,porto alegre,1992
1,169,degree,Directed,154,,1,florianopolis,reading,1991
5,5,degree,Directed,160,,1442,sao paulo,sao paulo,2006
1,5,degree,Directed,165,,23,florianopolis,sao paulo,2002
1,1,degree,Directed,169,,33,florianopolis,florianopolis,1996
13,13,degree,Directed,174,,450,rio de janeiro,rio de janeiro,2000
80,80,degree,Directed,179,,15,juiz de fora,juiz de fora,2010
1,1,degree,Directed,184,,254,florianopolis,florianopolis,2004
54,54,degree,Directed,188,,396,recife,recife,2013
36,36,degree,Directed,192,,393,campinas,campinas,2014
1,320,degree,Directed,198,,1,florianopolis,nanterre,2002
13,1,degree,Directed,208,,4,rio de janeiro,florianopolis,1995
36,36,degree,Directed,218,,186,campinas,campinas,1996
1,85,degree,Directed,223,,2,florianopolis,madrid,1989
1,1,degree,Directed,228,,143,florianopolis,florianopolis,2001
1,1,degree,Directed,232,,272,florianopolis,florianopolis,2011
5,5,degree,Directed,245,,1182,sao paulo,sao paulo,2002
1,5,degree,Directed,260,,15,florianopolis,sao paulo,1998
1,1,degree,Directed,266,,159,florianopolis,florianopolis,2002
5,1,degree,Directed,282,,11,sao paulo,florianopolis,2002
1,1,degree,Directed,288,,250,florianopolis,florianopolis,2005
16,18,degree,Directed,297,,3,sao luis,uberlandia,2013
1,25,degree,Directed,305,,5,florianopolis,bauru,1998
1,1,degree,Directed,310,,68,florianopolis,florianopolis,1999
1,168,degree,Directed,330,,2,florianopolis,sao carlos,1999
1,1,degree,Directed,335,,235,florianopolis,florianopolis,2003
1,1,degree,Directed,339,,235,florianopolis,florianopolis,2006
5,5,degree,Directed,354,,278,sao paulo,sao paulo,1988
36,36,degree,Directed,359,,113,campinas,campinas,1993
5,5,degree,Directed,375,,1434,sao paulo,sao paulo,2008
1,1,degree,Directed,378,,5,florianopolis,florianopolis,1975
5,5,degree,Directed,383,,886,sao paulo,sao paulo,1999
71,71,degree,Directed,387,,83,ribeirao preto,ribeirao preto,2011
5,1,degree,Directed,397,,11,sao paulo,florianopolis,2006
75,1,degree,Directed,418,,6,joao pessoa,florianopolis,2005
1,1,degree,Directed,423,,240,florianopolis,florianopolis,2014
25,1,degree,Directed,426,,3,bauru,florianopolis,2007
5,60,degree,Directed,430,,4,sao paulo,porto alegre,1999
15,1,degree,Directed,436,,17,curitiba,florianopolis,2005
60,1,degree,Directed,446,,9,porto alegre,florianopolis,2006
13,1,degree,Directed,450,,14,rio de janeiro,florianopolis,2006
1,1,degree,Directed,458,,87,florianopolis,florianopolis,2000
60,1,degree,Directed,482,,12,porto alegre,florianopolis,2000
1,1,degree,Directed,487,,42,florianopolis,florianopolis,1998
36,1,degree,Directed,490,,6,campinas,florianopolis,2009
17,1,degree,Directed,494,,8,manaus,florianopolis,2014
15,1,degree,Directed,505,,18,curitiba,florianopolis,2003
43,1,degree,Directed,509,,2,sao leopoldo,florianopolis,2014
60,1,degree,Directed,512,,10,porto alegre,florianopolis,1999
347,1,degree,Directed,548,,2,joinville,florianopolis,2012
116,1,degree,Directed,552,,3,itajai,florianopolis,2013
60,1,degree,Directed,555,,14,porto alegre,florianopolis,2007
10,1,degree,Directed,560,,1,londrina,florianopolis,2009
13,49,degree,Directed,570,,5,rio de janeiro,salvador,2004
9,1,degree,Directed,582,,2,brasilia,florianopolis,1999
163,1,degree,Directed,585,,2,ponta grossa,florianopolis,2001
5,1,degree,Directed,600,,4,sao paulo,florianopolis,1998
93,1,degree,Directed,605,,1,cuiaba,florianopolis,2005
49,1,degree,Directed,612,,1,salvador,florianopolis,2014
139,1,degree,Directed,615,,4,erechim,florianopolis,2014
5,1,degree,Directed,620,,7,sao paulo,florianopolis,2003
28,1,degree,Directed,629,,6,santa maria,florianopolis,2007
33,1,degree,Directed,634,,1,passo fundo,florianopolis,2011
18,1,degree,Directed,638,,2,uberlandia,florianopolis,2008
184,1,degree,Directed,643,,1,stuttgart,florianopolis,2013
60,1,degree,Directed,650,,12,porto alegre,florianopolis,2004
36,1,degree,Directed,664,,6,campinas,florianopolis,2002
70,1,degree,Directed,675,,1,guarapuava,florianopolis,2003
50,1,degree,Directed,681,,4,belo horizonte,florianopolis,2007
1,284,degree,Directed,694,,1,florianopolis,brisbane,2014
15,1,degree,Directed,714,,20,curitiba,florianopolis,2004
25,5,degree,Directed,719,,49,bauru,sao paulo,1997
28,1,degree,Directed,748,,5,santa maria,florianopolis,2014
60,1,degree,Directed,753,,19,porto alegre,florianopolis,2005
9,1,degree,Directed,772,,2,brasilia,florianopolis,2008
248,1,degree,Directed,779,,2,santa cruz do sul,florianopolis,2004
1,1,degree,Directed,804,,33,florianopolis,florianopolis,1995
28,1,degree,Directed,842,,11,santa maria,florianopolis,2000
16,1,degree,Directed,875,,2,sao luis,florianopolis,2012
54,1,degree,Directed,934,,1,recife,florianopolis,1995
1,1,degree,Directed,960,,30,florianopolis,florianopolis,1997
277,1,degree,Directed,971,,1,stillwater,florianopolis,2013
242,1,degree,Directed,1001,,5,criciuma,florianopolis,2013
139,1,degree,Directed,1040,,2,erechim,florianopolis,2010
60,1,degree,Directed,1064,,8,porto alegre,florianopolis,2010
15,1,degree,Directed,1077,,16,curitiba,florianopolis,2008
213,1,birth,Directed,1088,,1,lages,florianopolis,2000
107,1,degree,Directed,1112,,1,london,florianopolis,1998
75,1,degree,Directed,1120,,1,joao pessoa,florianopolis,2009
75,5,degree,Directed,1148,,12,joao pessoa,sao paulo,2000
75,1,degree,Directed,1161,,15,joao pessoa,florianopolis,2001
60,1,degree,Directed,1188,,17,porto alegre,florianopolis,2014
36,1,degree,Directed,1192,,4,campinas,florianopolis,2003
237,1,degree,Directed,1196,,1,west lafayette,florianopolis,2013
75,1,degree,Directed,1200,,4,joao pessoa,florianopolis,2006
13,1,degree,Directed,1211,,6,rio de janeiro,florianopolis,2002
5,1,degree,Directed,1215,,7,sao paulo,florianopolis,2013
28,1,degree,Directed,1224,,8,santa maria,florianopolis,2009
70,1,degree,Directed,1237,,1,guarapuava,florianopolis,2012
15,1,degree,Directed,1259,,13,curitiba,florianopolis,2013
5,1,degree,Directed,1275,,19,sao paulo,florianopolis,2004
13,1,degree,Directed,1294,,4,rio de janeiro,florianopolis,1997
54,1,degree,Directed,1298,,5,recife,florianopolis,2008
28,1,degree,Directed,1312,,9,santa maria,florianopolis,2002
51,1,degree,Directed,1330,,3,maringa,florianopolis,2001
15,1,degree,Directed,1352,,10,curitiba,florianopolis,2014
1821,1,birth,Directed,1365,,1,maraba,florianopolis,2010
60,1,degree,Directed,1369,,12,porto alegre,florianopolis,2011
60,1,degree,Directed,1373,,9,porto alegre,florianopolis,2002
1,1,degree,Directed,1385,,26,florianopolis,florianopolis,1994
54,5,degree,Directed,1403,,32,recife,sao paulo,2000
5,1,birth,Directed,1421,,1,sao paulo,florianopolis,2001
90,1,degree,Directed,1452,,5,fortaleza,florianopolis,2008
229,1,degree,Directed,1475,,1,leeds,florianopolis,2004
13,1,degree,Directed,1477,,12,rio de janeiro,florianopolis,2003
15,1,degree,Directed,1482,,17,curitiba,florianopolis,2006
93,1,degree,Directed,1486,,1,cuiaba,florianopolis,2011
117,1,degree,Directed,1491,,1,presidente prudente,florianopolis,2006
50,1,degree,Directed,1499,,4,belo horizonte,florianopolis,2008
39,1,degree,Directed,1503,,2,vitoria,florianopolis,2014
42,1,degree,Directed,1520,,3,pelotas,florianopolis,2014
1,1,degree,Directed,1529,,11,florianopolis,florianopolis,1993
28,1,degree,Directed,1532,,7,santa maria,florianopolis,2001
4,4,degree,Directed,1540,,1,ottawa,ottawa,2000
43,1,degree,Directed,1581,,1,sao leopoldo,florianopolis,2010
