id,oX,oY,dX,dY,trips
2,-25.428,-49.273,-23.548,-46.636,1
10,-25.428,-49.273,-22.906,-47.061,1
25,-25.428,-49.273,48.89198,2.20675,1
108,-25.428,-49.273,44.97997,-93.26384,1
116,-25.428,-49.273,38.89511,-77.03637,1
143,-25.428,-49.273,42.73698,-84.48387,1
904,-23.548,-46.636,-22.903,-43.208,4
906,-23.548,-46.636,-22.018,-47.891,2
908,-23.548,-46.636,-22.906,-47.061,7
913,-23.548,-46.636,-23.463,-46.533,2
914,-23.548,-46.636,-30.033,-51.23,1
916,-23.548,-46.636,-22.315,-49.061,3
923,-23.548,-46.636,48.89198,2.20675,1
926,-23.548,-46.636,-21.178,-47.81,2
943,-23.548,-46.636,51.50853,-0.12574,5
944,-23.548,-46.636,40.42587,-86.90807,1
946,-23.548,-46.636,53.79648,-1.54785,1
950,-23.548,-46.636,-20.754,-42.882,1
954,-23.548,-46.636,48.85341,2.3488,1
958,-23.548,-46.636,43.61092,3.87723,1
972,-23.548,-46.636,53.48095,-2.23743,1
973,-23.548,-46.636,52.52437,13.41053,1
977,-23.548,-46.636,-23.179,-45.887,2
1007,-23.548,-46.636,43.07305,-89.40123,1
1040,-23.548,-46.636,43.70011,-79.4163,1
1047,-23.548,-46.636,40.48622,-74.45182,1
1057,-23.548,-46.636,41.52519,-88.0834,1
1060,-23.548,-46.636,52.2,0.11667,2
1074,-23.548,-46.636,36.97412,-122.0308,1
1083,-23.548,-46.636,53.38297,-1.4659,1
1089,-23.548,-46.636,51.75222,-1.25596,1
1121,-23.548,-46.636,41.30815,-72.92816,1
1128,-23.548,-46.636,50.90395,-1.40428,2
1129,-23.548,-46.636,52.37052,9.73322,1
2137,42.60003,-5.57032,43.36029,-5.84476,1
2247,-22.883,-43.104,-23.548,-46.636,3
2251,-22.883,-43.104,-22.903,-43.208,1
2316,-22.883,-43.104,38.71667,-9.13333,1
2530,-22.883,-43.104,47.38333,0.68333,1
2696,-22.903,-43.208,-23.548,-46.636,11
2704,-22.903,-43.208,-22.906,-47.061,2
2709,-22.903,-43.208,-23.463,-46.533,1
2710,-22.903,-43.208,-30.033,-51.23,1
2712,-22.903,-43.208,-22.315,-49.061,1
2739,-22.903,-43.208,51.50853,-0.12574,3
2750,-22.903,-43.208,48.85341,2.3488,2
2769,-22.903,-43.208,52.52437,13.41053,1
2773,-22.903,-43.208,-23.179,-45.887,1
2782,-22.903,-43.208,43.60426,1.44367,1
2786,-22.903,-43.208,29.65163,-82.32483,1
2792,-22.903,-43.208,37.87159,-122.27275,1
2803,-22.903,-43.208,43.07305,-89.40123,1
2821,-22.903,-43.208,39.73915,-104.9847,1
2853,-22.903,-43.208,41.52519,-88.0834,1
2856,-22.903,-43.208,52.2,0.11667,2
2870,-22.903,-43.208,36.97412,-122.0308,1
2878,-22.903,-43.208,37.44188,-122.14302,1
2885,-22.903,-43.208,51.75222,-1.25596,1
2898,-22.903,-43.208,52.40656,-1.51217,1
2914,-22.903,-43.208,44.93333,4.9,1
2932,-22.903,-43.208,36.16589,-86.78444,1
2964,-22.903,-43.208,48.78333,2.46667,1
2974,-22.903,-43.208,55.95206,-3.19648,1
2978,-22.903,-43.208,52.13459,-0.46632,1
2997,-22.903,-43.208,37.22957,-80.41394,1
3594,-22.018,-47.891,-23.548,-46.636,1
3598,-22.018,-47.891,-22.903,-43.208,1
3615,-22.018,-47.891,40.4165,-3.70256,1
4043,-8.054,-34.881,-23.548,-46.636,4
4047,-8.054,-34.881,-22.903,-43.208,2
4051,-8.054,-34.881,-22.906,-47.061,1
4075,-8.054,-34.881,-15.78,-47.93,1
4086,-8.054,-34.881,51.50853,-0.12574,2
