Source,Target,Kind,Type,Id,Label,Weight
116,41,work,Directed,29843,,1.0
238,121,work,Directed,29844,,2.23606797749979
13,20,work,Directed,29845,,32.526911934581186
54,193,work,Directed,29846,,2.6457513110645907
169,1,work,Directed,29847,,2.23606797749979
1,202,work,Directed,29848,,9.899494936611665
5,1,work,Directed,29849,,20.074859899884732
59,1,work,Directed,29850,,6.6332495807108
60,126,work,Directed,29851,,10.862780491200215
10,296,work,Directed,29852,,1.0
5,50,work,Directed,29853,,21.6794833886788
42,42,work,Directed,29854,,19.364916731037084
1,1,work,Directed,29855,,38.44476557348217
50,156,work,Directed,29856,,4.898979485566356
1,119,work,Directed,29857,,8.717797887081348
60,43,work,Directed,29858,,14.38749456993816
111,111,work,Directed,29859,,27.892651361962706
85,1,work,Directed,29860,,4.898979485566356
60,60,work,Directed,29861,,56.089214649520635
115,111,work,Directed,29862,,1.7320508075688772
5,248,work,Directed,29863,,2.0
1,116,work,Directed,29864,,10.392304845413264
80,80,work,Directed,29865,,12.0
36,213,work,Directed,29866,,2.23606797749979
1,347,work,Directed,29867,,7.211102550927978
36,52,work,Directed,29868,,12.767145334803704
85,111,work,Directed,29869,,3.872983346207417
1,228,work,Directed,29870,,10.816653826391969
1,60,work,Directed,29871,,8.366600265340756
104,1,work,Directed,29872,,3.872983346207417
1,15,work,Directed,29873,,19.82422760159901
5,5,work,Directed,29874,,114.74754899343166
115,202,work,Directed,29875,,1.4142135623730951
60,28,work,Directed,29876,,20.566963801203133
18,16,work,Directed,29877,,3.3166247903554
25,1,work,Directed,29878,,8.426149773176359
36,9,work,Directed,29879,,13.892443989449804
168,27,work,Directed,29880,,5.0
1,349,work,Directed,29881,,3.605551275463989
1,94,work,Directed,29882,,7.681145747868608
5,71,work,Directed,29883,,12.12435565298214
36,60,work,Directed,29884,,9.643650760992955
71,5,work,Directed,29885,,20.445048300260872
109,1,work,Directed,29886,,2.0
1,30,work,Directed,29887,,5.196152422706632
1,56,work,Directed,29888,,4.123105625617661
1,70,work,Directed,29889,,5.291502622129181
1,79,work,Directed,29890,,4.123105625617661
1,16,work,Directed,29891,,4.242640687119285
1,9,work,Directed,29892,,7.745966692414834
2,60,work,Directed,29893,,2.23606797749979
1,242,work,Directed,29894,,6.082762530298219
1,17,work,Directed,29895,,6.557438524302
1,39,work,Directed,29896,,5.830951894845301
1,28,work,Directed,29897,,11.090536506409418
36,1,work,Directed,29898,,11.40175425099138
1,42,work,Directed,29899,,6.708203932499369
1,104,work,Directed,29900,,1.4142135623730951
1,10,work,Directed,29901,,6.244997998398398
3,49,work,Directed,29902,,2.6457513110645907
1,20,work,Directed,29903,,3.3166247903554
1,163,work,Directed,29904,,6.164414002968976
3,1,work,Directed,29905,,4.0
1,93,work,Directed,29906,,5.477225575051661
1,33,work,Directed,29907,,4.69041575982343
1,43,work,Directed,29908,,3.872983346207417
1,50,work,Directed,29909,,6.6332495807108
1,75,work,Directed,29910,,7.483314773547883
284,9,work,Directed,29911,,2.0
3,25,work,Directed,29912,,3.3166247903554
1,90,work,Directed,29913,,6.855654600401044
15,1,work,Directed,29914,,9.16515138991168
248,30,work,Directed,29915,,1.4142135623730951
1,148,work,Directed,29916,,3.3166247903554
1,289,work,Directed,29917,,4.795831523312719
1,69,work,Directed,29918,,1.0
229,202,work,Directed,29919,,1.4142135623730951
1,143,work,Directed,29920,,4.0
1,54,work,Directed,29921,,6.164414002968976
1,312,work,Directed,29922,,5.291502622129181
129,51,work,Directed,29923,,1.7320508075688772
1,193,work,Directed,29924,,3.4641016151377544
1,250,work,Directed,29925,,3.3166247903554
1,49,work,Directed,29926,,6.782329983125268
1,126,work,Directed,29927,,4.123105625617661
355,16,work,Directed,29928,,1.0
1,467,work,Directed,29929,,3.872983346207417
1,18,work,Directed,29930,,4.123105625617661
1,52,work,Directed,29931,,5.291502622129181
3,27,work,Directed,29932,,1.7320508075688772
1,80,work,Directed,29933,,2.8284271247461903
1,51,work,Directed,29934,,7.14142842854285
1,13,work,Directed,29935,,6.855654600401044
108,108,work,Directed,29936,,12.68857754044952
1,102,work,Directed,29937,,4.898979485566356
1,325,work,Directed,29938,,1.7320508075688772
1,25,work,Directed,29939,,4.69041575982343
1,27,work,Directed,29940,,6.324555320336759
1,232,work,Directed,29941,,3.0
3,54,work,Directed,29942,,3.4641016151377544
1,121,work,Directed,29943,,4.58257569495584
1,261,work,Directed,29944,,1.4142135623730951
1,14,work,Directed,29945,,7.280109889280518
1,41,work,Directed,29946,,2.449489742783178
130,93,work,Directed,29947,,2.0
1,248,work,Directed,29948,,4.358898943540674
4,4,work,Directed,29949,,3.0
15,15,work,Directed,29950,,47.29693436154187
133,1,work,Directed,29951,,2.449489742783178
1,479,work,Directed,29952,,1.7320508075688772
446,27,work,Directed,29953,,1.0
90,1821,work,Directed,29954,,1.4142135623730951
13,179,work,Directed,29955,,7.54983443527075
36,119,work,Directed,29956,,4.47213595499958
125,1,work,Directed,29957,,5.5677643628300215
