Source,Target,Kind,Type,Id,Label,Weight
116,41,work,Directed,29843,,1
238,121,work,Directed,29844,,5
13,20,work,Directed,29845,,1058
54,193,work,Directed,29846,,7
169,1,work,Directed,29847,,5
1,202,work,Directed,29848,,98
5,1,work,Directed,29849,,403
59,1,work,Directed,29850,,44
60,126,work,Directed,29851,,118
10,296,work,Directed,29852,,1
5,50,work,Directed,29853,,470
42,42,work,Directed,29854,,375
1,1,work,Directed,29855,,1478
50,156,work,Directed,29856,,24
1,119,work,Directed,29857,,76
60,43,work,Directed,29858,,207
111,111,work,Directed,29859,,778
85,1,work,Directed,29860,,24
60,60,work,Directed,29861,,3146
115,111,work,Directed,29862,,3
5,248,work,Directed,29863,,4
1,116,work,Directed,29864,,108
80,80,work,Directed,29865,,144
36,213,work,Directed,29866,,5
1,347,work,Directed,29867,,52
36,52,work,Directed,29868,,163
85,111,work,Directed,29869,,15
1,228,work,Directed,29870,,117
1,60,work,Directed,29871,,70
104,1,work,Directed,29872,,15
1,15,work,Directed,29873,,393
5,5,work,Directed,29874,,13167
115,202,work,Directed,29875,,2
60,28,work,Directed,29876,,423
18,16,work,Directed,29877,,11
25,1,work,Directed,29878,,71
36,9,work,Directed,29879,,193
168,27,work,Directed,29880,,25
1,349,work,Directed,29881,,13
1,94,work,Directed,29882,,59
5,71,work,Directed,29883,,147
36,60,work,Directed,29884,,93
71,5,work,Directed,29885,,418
109,1,work,Directed,29886,,4
1,30,work,Directed,29887,,27
1,56,work,Directed,29888,,17
1,70,work,Directed,29889,,28
1,79,work,Directed,29890,,17
1,16,work,Directed,29891,,18
1,9,work,Directed,29892,,60
2,60,work,Directed,29893,,5
1,242,work,Directed,29894,,37
1,17,work,Directed,29895,,43
1,39,work,Directed,29896,,34
1,28,work,Directed,29897,,123
36,1,work,Directed,29898,,130
1,42,work,Directed,29899,,45
1,104,work,Directed,29900,,2
1,10,work,Directed,29901,,39
3,49,work,Directed,29902,,7
1,20,work,Directed,29903,,11
1,163,work,Directed,29904,,38
3,1,work,Directed,29905,,16
1,93,work,Directed,29906,,30
1,33,work,Directed,29907,,22
1,43,work,Directed,29908,,15
1,50,work,Directed,29909,,44
1,75,work,Directed,29910,,56
284,9,work,Directed,29911,,4
3,25,work,Directed,29912,,11
1,90,work,Directed,29913,,47
15,1,work,Directed,29914,,84
248,30,work,Directed,29915,,2
1,148,work,Directed,29916,,11
1,289,work,Directed,29917,,23
1,69,work,Directed,29918,,1
229,202,work,Directed,29919,,2
1,143,work,Directed,29920,,16
1,54,work,Directed,29921,,38
1,312,work,Directed,29922,,28
129,51,work,Directed,29923,,3
1,193,work,Directed,29924,,12
1,250,work,Directed,29925,,11
1,49,work,Directed,29926,,46
1,126,work,Directed,29927,,17
355,16,work,Directed,29928,,1
1,467,work,Directed,29929,,15
1,18,work,Directed,29930,,17
1,52,work,Directed,29931,,28
3,27,work,Directed,29932,,3
1,80,work,Directed,29933,,8
1,51,work,Directed,29934,,51
1,13,work,Directed,29935,,47
108,108,work,Directed,29936,,161
1,102,work,Directed,29937,,24
1,325,work,Directed,29938,,3
1,25,work,Directed,29939,,22
1,27,work,Directed,29940,,40
1,232,work,Directed,29941,,9
3,54,work,Directed,29942,,12
1,121,work,Directed,29943,,21
1,261,work,Directed,29944,,2
1,14,work,Directed,29945,,53
1,41,work,Directed,29946,,6
130,93,work,Directed,29947,,4
1,248,work,Directed,29948,,19
4,4,work,Directed,29949,,9
15,15,work,Directed,29950,,2237
133,1,work,Directed,29951,,6
1,479,work,Directed,29952,,3
446,27,work,Directed,29953,,1
90,1821,work,Directed,29954,,2
13,179,work,Directed,29955,,57
36,119,work,Directed,29956,,20
125,1,work,Directed,29957,,31
13,60,work,Directed,29958,,94
13,1,work,Directed,29959,,122
14,14,work,Directed,29960,,210
15,148,work,Directed,29961,,8
13,9,work,Directed,29962,,231
5,52,work,Directed,29963,,385
5,119,work,Directed,29964,,26
74,1,work,Directed,29965,,25
