Source,Target,Kind,Type,Id,Label,Weight
94,1,birth,Directed,1,,10
1,15,degree,Directed,2,,350
15,116,degree,Directed,3,,20
116,41,work,Directed,4,,1
13,1,degree,Directed,5,,294
1,5,degree,Directed,6,,861
5,5,degree,Directed,7,,55958
1349,121,birth,Directed,8,,9
121,43,degree,Directed,9,,23
43,238,degree,Directed,10,,5
238,121,work,Directed,11,,5
20,20,birth,Directed,12,,710
20,20,degree,Directed,13,,2859
20,13,degree,Directed,14,,2465
13,20,work,Directed,15,,1058
28,180,birth,Directed,16,,2
180,13,degree,Directed,17,,197
13,13,degree,Directed,18,,32599
4299,52,birth,Directed,19,,2
52,52,degree,Directed,20,,2374
52,168,degree,Directed,21,,32
376,54,birth,Directed,22,,19
54,221,degree,Directed,23,,2
221,54,degree,Directed,24,,1
54,54,degree,Directed,25,,8846
54,193,work,Directed,26,,7
1,1,birth,Directed,27,,1028
1,1,degree,Directed,28,,7212
1,107,degree,Directed,29,,12
107,36,degree,Directed,30,,15
36,169,degree,Directed,31,,15
169,1,work,Directed,32,,5
213,213,birth,Directed,33,,27
213,213,degree,Directed,34,,17
213,1,degree,Directed,35,,27
1,138,degree,Directed,36,,1
443,139,birth,Directed,37,,12
139,1,degree,Directed,38,,35
1,202,work,Directed,39,,98
60,60,birth,Directed,40,,4930
60,281,degree,Directed,41,,6
281,101,degree,Directed,42,,1
101,5,degree,Directed,43,,10
5,1,work,Directed,44,,403
1,59,degree,Directed,45,,63
59,5,degree,Directed,46,,1187
5,59,degree,Directed,47,,1811
59,1,work,Directed,48,,44
126,42,birth,Directed,49,,6
42,1,degree,Directed,50,,122
1,42,degree,Directed,51,,64
42,60,degree,Directed,52,,778
60,60,degree,Directed,53,,16692
60,126,work,Directed,54,,118
5,202,birth,Directed,55,,13
202,1,degree,Directed,56,,126
1,10,degree,Directed,57,,29
10,296,work,Directed,58,,1
50,50,birth,Directed,59,,4726
50,1,degree,Directed,60,,124
1,50,degree,Directed,61,,107
50,25,degree,Directed,62,,231
25,5,degree,Directed,63,,4093
5,50,work,Directed,64,,470
2662,1,birth,Directed,65,,1
1,70,degree,Directed,66,,2
70,15,degree,Directed,67,,68
15,70,degree,Directed,68,,22
70,51,degree,Directed,69,,18
302,1,birth,Directed,70,,1
42,42,degree,Directed,71,,2132
42,42,work,Directed,72,,375
1,202,degree,Directed,73,,37
1,1,work,Directed,74,,1478
1,116,degree,Directed,75,,55
116,1,degree,Directed,76,,188
15,15,birth,Directed,77,,2537
15,1,degree,Directed,78,,708
50,156,work,Directed,79,,24
5,9,birth,Directed,80,,138
9,1,degree,Directed,81,,121
677,254,birth,Directed,82,,1
254,1,degree,Directed,83,,3
60,1,degree,Directed,84,,535
980,42,birth,Directed,85,,2
1,119,work,Directed,86,,76
15,1,birth,Directed,87,,86
1,60,degree,Directed,88,,504
60,43,work,Directed,89,,207
1901,211,birth,Directed,90,,1
211,1,degree,Directed,91,,2
111,111,birth,Directed,92,,1143
111,1,degree,Directed,93,,40
1,111,degree,Directed,94,,27
111,111,degree,Directed,95,,2902
111,111,work,Directed,96,,778
15,5,degree,Directed,97,,1468
13,1,birth,Directed,98,,92
1,85,degree,Directed,99,,35
85,1,work,Directed,100,,24
325,28,birth,Directed,101,,71
28,1,degree,Directed,102,,397
60,60,work,Directed,103,,3146
1,169,degree,Directed,104,,4
169,115,degree,Directed,105,,2
115,111,work,Directed,106,,3
248,28,birth,Directed,107,,51
5,248,work,Directed,108,,4
1091,1,birth,Directed,109,,1
1,116,work,Directed,110,,108
258,13,birth,Directed,111,,68
13,258,degree,Directed,112,,135
258,13,degree,Directed,113,,138
80,80,birth,Directed,114,,816
80,1,degree,Directed,115,,27
1,80,degree,Directed,116,,3
80,80,degree,Directed,117,,912
80,80,work,Directed,118,,144
5,5,birth,Directed,119,,14073
5,1,degree,Directed,120,,375
17,17,birth,Directed,121,,676
17,75,degree,Directed,122,,32
75,54,degree,Directed,123,,542
60,1,birth,Directed,124,,114
1,36,degree,Directed,125,,303
36,36,degree,Directed,126,,16012
36,213,work,Directed,127,,5
3700,90,birth,Directed,128,,9
90,320,degree,Directed,129,,2
320,1,degree,Directed,130,,2
1,320,degree,Directed,131,,6
51,51,birth,Directed,132,,607
51,1,degree,Directed,133,,143
1,347,work,Directed,134,,52
635,28,birth,Directed,135,,6
28,350,degree,Directed,136,,2
350,1,degree,Directed,137,,6
1,13,degree,Directed,138,,332
1,60,birth,Directed,139,,22
52,52,birth,Directed,140,,1079
52,144,degree,Directed,141,,26
144,36,degree,Directed,142,,7
36,52,work,Directed,143,,163
85,111,work,Directed,144,,15
1153,1,birth,Directed,145,,18
228,1,birth,Directed,146,,116
1,228,work,Directed,147,,117
75,166,birth,Directed,148,,2
166,1,degree,Directed,149,,5
772,1,birth,Directed,150,,3
1,60,work,Directed,151,,70
168,25,birth,Directed,152,,200
25,36,degree,Directed,153,,1605
36,1,degree,Directed,154,,138
5,104,degree,Directed,155,,70
104,1,work,Directed,156,,15
202,1,birth,Directed,157,,90
1,15,work,Directed,158,,393
49,49,birth,Directed,159,,2312
49,1,degree,Directed,160,,80
5,5,work,Directed,161,,13167
108,1,birth,Directed,162,,1
1,257,degree,Directed,163,,13
257,1,degree,Directed,164,,26
1,115,degree,Directed,165,,5
115,202,work,Directed,166,,2
28,28,birth,Directed,167,,1112
60,28,work,Directed,168,,423
16,16,birth,Directed,169,,653
16,1,degree,Directed,170,,23
1,16,degree,Directed,171,,2
16,18,degree,Directed,172,,13
18,16,work,Directed,173,,11
1,25,degree,Directed,174,,152
25,1,work,Directed,175,,71
347,347,birth,Directed,176,,53
347,347,degree,Directed,177,,23
347,1,degree,Directed,178,,75
27,60,birth,Directed,179,,12
36,9,work,Directed,180,,193
1,9,degree,Directed,181,,102
27,27,birth,Directed,182,,2074
27,27,degree,Directed,183,,2989
27,1,degree,Directed,184,,75
1,168,degree,Directed,185,,66
168,27,work,Directed,186,,25
312,1,birth,Directed,187,,21
1128,60,birth,Directed,188,,10
60,13,degree,Directed,189,,628
1,349,work,Directed,190,,13
1,28,degree,Directed,191,,58
1,94,work,Directed,192,,59
131,225,birth,Directed,193,,1
225,5,degree,Directed,194,,30
5,71,work,Directed,195,,147
30,60,birth,Directed,196,,90
36,60,work,Directed,197,,93
1314,94,birth,Directed,198,,1
94,1,degree,Directed,199,,63
1540,15,birth,Directed,200,,1
15,15,degree,Directed,201,,8228
52,5,birth,Directed,202,,65
1,15,birth,Directed,203,,36
257,1,birth,Directed,204,,18
254,1,birth,Directed,205,,3
1,71,degree,Directed,206,,27
71,71,degree,Directed,207,,2279
71,5,work,Directed,208,,418
934,1,birth,Directed,209,,1
11,49,birth,Directed,210,,118
1,109,degree,Directed,211,,8
109,1,work,Directed,212,,4
23,5,degree,Directed,213,,24
1,30,work,Directed,214,,27
56,50,birth,Directed,215,,30
50,50,degree,Directed,216,,13606
1,56,work,Directed,217,,17
232,28,birth,Directed,218,,57
1,70,work,Directed,219,,28
745,16,birth,Directed,220,,3
16,199,degree,Directed,221,,12
199,1,degree,Directed,222,,4
1,79,work,Directed,223,,17
400,54,birth,Directed,224,,12
54,75,degree,Directed,225,,356
75,1,degree,Directed,226,,121
1,16,work,Directed,227,,18
1,116,birth,Directed,228,,46
116,116,degree,Directed,229,,118
13,10,birth,Directed,230,,22
10,25,degree,Directed,231,,414
25,1,degree,Directed,232,,112
1,9,work,Directed,233,,60
22,5,birth,Directed,234,,347
5,60,degree,Directed,235,,498
60,2,degree,Directed,236,,14
2,60,work,Directed,237,,5
242,1,birth,Directed,238,,117
1,242,work,Directed,239,,37
1752,60,birth,Directed,240,,6
17,13,degree,Directed,241,,110
1,17,work,Directed,242,,43
39,39,birth,Directed,243,,629
39,5,degree,Directed,244,,330
1,39,work,Directed,245,,34
829,108,birth,Directed,246,,3
108,1,degree,Directed,247,,21
1,28,work,Directed,248,,123
1221,119,birth,Directed,249,,1
119,1,degree,Directed,250,,24
5,1,birth,Directed,251,,137
28,60,degree,Directed,252,,1263
4533,60,birth,Directed,253,,6
10,10,birth,Directed,254,,702
10,36,degree,Directed,255,,249
1752,116,birth,Directed,256,,1
116,17,degree,Directed,257,,4
17,1,degree,Directed,258,,57
50,9,birth,Directed,259,,93
14,43,birth,Directed,260,,6
43,43,degree,Directed,261,,587
43,1,degree,Directed,262,,67
3457,28,birth,Directed,263,,18
386,1,birth,Directed,264,,1
1450,1,birth,Directed,265,,10
36,1,work,Directed,266,,130
1204,1,birth,Directed,267,,1
1,42,work,Directed,268,,45
300,1,birth,Directed,269,,2
1,104,work,Directed,270,,2
248,1,birth,Directed,271,,4
1326,257,birth,Directed,272,,2
1729,228,birth,Directed,273,,1
228,1,degree,Directed,274,,195
5,116,birth,Directed,275,,7
14,60,birth,Directed,276,,91
1314,248,birth,Directed,277,,1
248,80,degree,Directed,278,,1
80,10,degree,Directed,279,,3
10,1,degree,Directed,280,,109
1363,94,birth,Directed,281,,44
94,94,degree,Directed,282,,246
1,10,work,Directed,283,,39
49,13,degree,Directed,284,,397
13,49,degree,Directed,285,,204
49,3,degree,Directed,286,,8
3,49,work,Directed,287,,7
1,20,work,Directed,288,,11
1559,1,birth,Directed,289,,2
13,9,birth,Directed,290,,426
1394,163,birth,Directed,291,,6
163,163,degree,Directed,292,,247
163,1,degree,Directed,293,,56
1,163,work,Directed,294,,38
60,43,degree,Directed,295,,301
43,13,degree,Directed,296,,33
42,14,birth,Directed,297,,87
14,1,degree,Directed,298,,142
159,5,birth,Directed,299,,93
1,3,degree,Directed,300,,20
3,1,work,Directed,301,,16
93,93,birth,Directed,302,,247
93,93,degree,Directed,303,,691
93,1,degree,Directed,304,,53
1,93,work,Directed,305,,30
1692,49,birth,Directed,306,,1
2794,347,birth,Directed,307,,2
347,139,degree,Directed,308,,2
9,123,degree,Directed,309,,38
123,5,degree,Directed,310,,373
202,228,birth,Directed,311,,4
1008,139,birth,Directed,312,,4
139,139,degree,Directed,313,,64
139,28,degree,Directed,314,,30
33,33,birth,Directed,315,,221
33,33,degree,Directed,316,,229
33,1,degree,Directed,317,,63
1,33,work,Directed,318,,22
894,18,birth,Directed,319,,111
18,18,degree,Directed,320,,1879
18,1,degree,Directed,321,,46
42,42,birth,Directed,322,,1068
42,14,degree,Directed,323,,103
1,184,degree,Directed,324,,1
184,1,degree,Directed,325,,3
116,5,birth,Directed,326,,6
1,43,work,Directed,327,,15
685,116,birth,Directed,328,,8
116,15,degree,Directed,329,,35
656,228,birth,Directed,330,,2
228,36,degree,Directed,331,,31
163,163,birth,Directed,332,,315
163,15,degree,Directed,333,,256
1465,70,birth,Directed,334,,1
70,1,degree,Directed,335,,16
1466,50,birth,Directed,336,,3
1,50,work,Directed,337,,44
259,60,birth,Directed,338,,55
1,75,work,Directed,339,,56
380,116,birth,Directed,340,,11
15,9,degree,Directed,341,,120
123,1,birth,Directed,342,,9
1,284,degree,Directed,343,,7
284,9,work,Directed,344,,4
5,164,birth,Directed,345,,17
164,1,degree,Directed,346,,9
349,1,birth,Directed,347,,24
60,15,degree,Directed,348,,259
168,5,birth,Directed,349,,286
5,168,degree,Directed,350,,822
168,25,degree,Directed,351,,352
5,3,degree,Directed,352,,52
3,25,work,Directed,353,,11
349,28,birth,Directed,354,,1
826,202,birth,Directed,355,,1
805,1,birth,Directed,356,,7
1,90,work,Directed,357,,47
1089,1,birth,Directed,358,,24
28,28,degree,Directed,359,,3339
15,1,work,Directed,360,,84
213,60,birth,Directed,361,,20
826,257,birth,Directed,362,,10
257,257,degree,Directed,363,,10
9,9,birth,Directed,364,,1104
9,5,degree,Directed,365,,801
5,9,degree,Directed,366,,478
17,60,birth,Directed,367,,5
60,248,degree,Directed,368,,28
248,1,degree,Directed,369,,23
1,248,degree,Directed,370,,5
248,30,work,Directed,371,,2
462,1,birth,Directed,372,,21
148,148,birth,Directed,373,,86
148,148,degree,Directed,374,,56
148,1,degree,Directed,375,,4
1,148,work,Directed,376,,11
25,25,birth,Directed,377,,433
213,1,birth,Directed,378,,146
139,14,birth,Directed,379,,8
685,228,birth,Directed,380,,16
1030,1,birth,Directed,381,,1
1,289,work,Directed,382,,23
442,114,birth,Directed,383,,37
114,1,degree,Directed,384,,2
1,69,work,Directed,385,,1
1358,121,birth,Directed,386,,2
121,1,degree,Directed,387,,23
119,1,birth,Directed,388,,51
675,60,birth,Directed,389,,30
15,349,birth,Directed,390,,1
349,125,degree,Directed,391,,1
125,1,degree,Directed,392,,10
979,15,birth,Directed,393,,40
23,1,birth,Directed,394,,7
376,75,birth,Directed,395,,127
1,229,degree,Directed,396,,5
229,202,work,Directed,397,,2
771,1,birth,Directed,398,,1
232,15,birth,Directed,399,,11
15,28,degree,Directed,400,,50
28,15,degree,Directed,401,,133
121,60,birth,Directed,402,,218
16,16,degree,Directed,403,,638
1,143,work,Directed,404,,16
404,70,birth,Directed,405,,1
685,1,birth,Directed,406,,66
90,1,birth,Directed,407,,3
91,309,birth,Directed,408,,6
309,1,degree,Directed,409,,3
821,1,birth,Directed,410,,13
15,163,birth,Directed,411,,47
147,156,birth,Directed,412,,386
156,1,degree,Directed,413,,14
90,90,birth,Directed,414,,3058
90,90,degree,Directed,415,,6075
90,54,degree,Directed,416,,312
54,1,degree,Directed,417,,85
1,54,work,Directed,418,,38
139,33,birth,Directed,419,,29
1,312,work,Directed,420,,28
1402,347,birth,Directed,421,,1
1039,1,birth,Directed,422,,2
4947,1,birth,Directed,423,,1
1,129,degree,Directed,424,,3
129,51,work,Directed,425,,3
54,54,birth,Directed,426,,3760
54,277,degree,Directed,427,,2
277,1,degree,Directed,428,,1
1139,1,birth,Directed,429,,24
1012,60,birth,Directed,430,,13
675,1,birth,Directed,431,,5
1141,94,birth,Directed,432,,11
1,193,work,Directed,433,,12
289,193,birth,Directed,434,,1
193,193,degree,Directed,435,,96
193,3,degree,Directed,436,,1
1089,242,birth,Directed,437,,7
242,242,degree,Directed,438,,52
242,1,degree,Directed,439,,40
924,43,birth,Directed,440,,20
1,250,work,Directed,441,,11
1442,60,birth,Directed,442,,6
1802,10,birth,Directed,443,,5
10,10,degree,Directed,444,,1863
10,5,degree,Directed,445,,763
1,49,work,Directed,446,,46
211,1,birth,Directed,447,,41
321,75,birth,Directed,448,,15
60,14,birth,Directed,449,,51
14,14,degree,Directed,450,,736
1,126,work,Directed,451,,17
17,17,degree,Directed,452,,1168
17,15,degree,Directed,453,,59
2605,342,birth,Directed,454,,1
342,342,degree,Directed,455,,21
342,1,degree,Directed,456,,8
1,355,degree,Directed,457,,2
355,16,work,Directed,458,,1
87,1,degree,Directed,459,,2
796,52,birth,Directed,460,,9
52,1,degree,Directed,461,,36
90,5,birth,Directed,462,,50
5,15,degree,Directed,463,,430
1842,47,birth,Directed,464,,1
47,116,degree,Directed,465,,1
1,467,work,Directed,466,,15
1595,1,birth,Directed,467,,14
1,28,birth,Directed,468,,5
28,107,degree,Directed,469,,3
107,1,degree,Directed,470,,5
15,51,birth,Directed,471,,31
1,18,work,Directed,472,,17
90,116,degree,Directed,473,,3
116,75,degree,Directed,474,,3
70,70,birth,Directed,475,,63
70,163,degree,Directed,476,,10
1,52,work,Directed,477,,28
50,1,birth,Directed,478,,9
213,116,birth,Directed,479,,8
27,75,degree,Directed,480,,46
75,5,degree,Directed,481,,477
3,27,work,Directed,482,,3
13,13,birth,Directed,483,,13049
1,213,degree,Directed,484,,7
75,75,degree,Directed,485,,3344
15,10,degree,Directed,486,,116
697,1,birth,Directed,487,,31
1,80,work,Directed,488,,8
662,28,birth,Directed,489,,51
94,60,degree,Directed,490,,37
347,1,birth,Directed,491,,87
1,237,degree,Directed,492,,2
237,1,degree,Directed,493,,3
75,75,birth,Directed,494,,1036
1,51,work,Directed,495,,51
1961,7,birth,Directed,496,,1
7,5,degree,Directed,497,,273
2731,49,birth,Directed,498,,6
163,28,degree,Directed,499,,4
1,13,work,Directed,500,,47
33,29,birth,Directed,501,,3
29,1,degree,Directed,502,,18
589,94,birth,Directed,503,,3
94,70,degree,Directed,504,,6
30,30,degree,Directed,505,,41
30,1,degree,Directed,506,,5
442,442,birth,Directed,507,,40
442,1,degree,Directed,508,,4
1026,8,birth,Directed,509,,5
8,1,degree,Directed,510,,2
228,228,birth,Directed,511,,115
296,1,birth,Directed,512,,1
1,108,degree,Directed,513,,7
108,108,work,Directed,514,,161
28,1,birth,Directed,515,,16
1848,162,birth,Directed,516,,1
162,13,degree,Directed,517,,30
13,3,degree,Directed,518,,23
10,1,birth,Directed,519,,15
60,5,degree,Directed,520,,1283
1504,102,birth,Directed,521,,2
102,13,degree,Directed,522,,46
1,102,work,Directed,523,,24
1652,15,birth,Directed,524,,4
656,242,birth,Directed,525,,1
1725,28,birth,Directed,526,,24
228,51,degree,Directed,527,,3
42,193,birth,Directed,528,,1
193,1,degree,Directed,529,,21
326,1,birth,Directed,530,,2
1,325,work,Directed,531,,3
1,25,work,Directed,532,,22
2432,1,birth,Directed,533,,15
367,94,birth,Directed,534,,18
1821,1,birth,Directed,535,,1
1,27,work,Directed,536,,40
1118,60,birth,Directed,537,,19
68,56,birth,Directed,538,,11
56,60,degree,Directed,539,,62
1,232,work,Directed,540,,9
1617,1,birth,Directed,541,,7
1,104,degree,Directed,542,,34
393,393,birth,Directed,543,,8
393,54,degree,Directed,544,,17
54,5,degree,Directed,545,,930
3,54,work,Directed,546,,12
1917,1,birth,Directed,547,,8
2821,167,birth,Directed,548,,1
167,60,degree,Directed,549,,2
116,1,birth,Directed,550,,55
2241,232,birth,Directed,551,,10
232,1,degree,Directed,552,,42
2406,90,birth,Directed,553,,2
90,1,degree,Directed,554,,95
5542,28,birth,Directed,555,,1
1,121,work,Directed,556,,21
50,13,degree,Directed,557,,892
380,1,birth,Directed,558,,9
261,90,birth,Directed,559,,78
1,261,work,Directed,560,,2
1442,257,birth,Directed,561,,3
257,312,degree,Directed,562,,5
312,1,degree,Directed,563,,55
13,202,birth,Directed,564,,14
14,14,birth,Directed,565,,409
14,60,degree,Directed,566,,260
1,14,work,Directed,567,,53
1,228,degree,Directed,568,,36
228,229,degree,Directed,569,,1
229,1,degree,Directed,570,,1
1510,93,birth,Directed,571,,3
1,93,degree,Directed,572,,5
1950,51,birth,Directed,573,,5
51,41,degree,Directed,574,,12
41,117,degree,Directed,575,,1
117,1,degree,Directed,576,,3
1,41,work,Directed,577,,6
2519,52,birth,Directed,578,,9
52,50,degree,Directed,579,,112
50,7,birth,Directed,580,,57
7,39,degree,Directed,581,,14
39,1,degree,Directed,582,,29
1462,93,birth,Directed,583,,3
93,13,degree,Directed,584,,71
1,130,degree,Directed,585,,4
130,93,work,Directed,586,,4
1840,9,birth,Directed,587,,2
1109,15,birth,Directed,588,,31
1139,28,birth,Directed,589,,13
2578,28,birth,Directed,590,,1
1,248,work,Directed,591,,19
635,15,birth,Directed,592,,20
15,312,degree,Directed,593,,5
312,60,degree,Directed,594,,27
4,4,degree,Directed,595,,8
4,4,work,Directed,596,,9
43,1,birth,Directed,597,,5
1635,75,birth,Directed,598,,2
49,1,birth,Directed,599,,8
1849,15,birth,Directed,600,,1
254,163,birth,Directed,601,,3
1873,163,birth,Directed,602,,6
163,43,degree,Directed,603,,2
1909,25,birth,Directed,604,,2
15,15,work,Directed,605,,2237
1173,42,birth,Directed,606,,34
1,133,degree,Directed,607,,11
133,1,work,Directed,608,,6
202,202,birth,Directed,609,,36
51,228,birth,Directed,610,,1
228,213,degree,Directed,611,,1
1,479,work,Directed,612,,3
2011,132,birth,Directed,613,,1
132,56,degree,Directed,614,,2
56,1,degree,Directed,615,,40
4344,1,birth,Directed,616,,1
1008,28,birth,Directed,617,,46
28,232,degree,Directed,618,,27
3446,1,birth,Directed,619,,1
3743,1,birth,Directed,620,,1
1,51,degree,Directed,621,,31
263,305,birth,Directed,622,,1
305,1,degree,Directed,623,,1
1233,15,birth,Directed,624,,31
72,1,birth,Directed,625,,1
299,1,birth,Directed,626,,1
1,90,degree,Directed,627,,17
1,446,degree,Directed,628,,1
446,27,work,Directed,629,,1
1,72,degree,Directed,630,,38
72,1,degree,Directed,631,,13
132,52,birth,Directed,632,,1
52,9,degree,Directed,633,,479
41,51,birth,Directed,634,,39
90,1821,work,Directed,635,,2
232,1,birth,Directed,636,,12
1593,1,birth,Directed,637,,6
1,54,degree,Directed,638,,57
54,13,degree,Directed,639,,471
13,179,work,Directed,640,,57
36,119,work,Directed,641,,20
1,106,degree,Directed,642,,1
3980,1,birth,Directed,643,,4
60,125,degree,Directed,644,,57
125,1,work,Directed,645,,31
13,60,work,Directed,646,,94
13,1,work,Directed,647,,122
1,14,degree,Directed,648,,25
14,14,work,Directed,649,,210
1,242,degree,Directed,650,,12
15,148,work,Directed,651,,8
9,9,degree,Directed,652,,4872
9,13,degree,Directed,653,,515
13,9,work,Directed,654,,231
463,1,birth,Directed,655,,23
36,5,degree,Directed,656,,3096
5,52,work,Directed,657,,385
5,119,work,Directed,658,,26
5030,1,birth,Directed,659,,1
5,63,degree,Directed,660,,56
63,74,degree,Directed,661,,1
74,1,work,Directed,662,,25
1220,1,birth,Directed,663,,5
71,36,degree,Directed,664,,112
36,36,work,Directed,665,,3099
1,190,degree,Directed,666,,5
190,5,degree,Directed,667,,7
5,219,degree,Directed,668,,37
219,111,work,Directed,669,,4
1973,80,birth,Directed,670,,1
80,50,degree,Directed,671,,291
13,74,degree,Directed,672,,59
1,359,degree,Directed,673,,6
359,359,degree,Directed,674,,11
359,1,degree,Directed,675,,1
1,189,degree,Directed,676,,13
189,1,work,Directed,677,,9
1519,1,birth,Directed,678,,1
13,25,degree,Directed,679,,215
1660,1,birth,Directed,680,,10
1,181,degree,Directed,681,,3
181,13,degree,Directed,682,,4
13,116,work,Directed,683,,5
2786,1,birth,Directed,684,,5
139,1,birth,Directed,685,,21
1,246,degree,Directed,686,,3
246,13,degree,Directed,687,,1
13,13,work,Directed,688,,7511
60,9,degree,Directed,689,,197
4938,1,birth,Directed,690,,1
25,25,degree,Directed,691,,13101
25,30,work,Directed,692,,19
1326,164,birth,Directed,693,,1
359,15,work,Directed,694,,1
895,1,birth,Directed,695,,10
1,165,degree,Directed,696,,2
165,1,work,Directed,697,,1
2289,1,birth,Directed,698,,5
1,56,degree,Directed,699,,50
56,1,work,Directed,700,,22
116,116,work,Directed,701,,23
60,1,work,Directed,702,,231
1861,1,birth,Directed,703,,8
1842,1,birth,Directed,704,,7
1,272,degree,Directed,705,,2
272,1,work,Directed,706,,2
1274,168,birth,Directed,707,,1
168,168,degree,Directed,708,,3646
25,219,degree,Directed,709,,4
219,15,work,Directed,710,,6
120,1,birth,Directed,711,,4
1,63,degree,Directed,712,,9
63,1,work,Directed,713,,5
1104,1,birth,Directed,714,,1
60,163,work,Directed,715,,9
2044,1,birth,Directed,716,,2
1568,1,birth,Directed,717,,18
1,17,degree,Directed,718,,23
17,205,degree,Directed,719,,1
205,1,degree,Directed,720,,1
1,74,degree,Directed,721,,35
1,43,degree,Directed,722,,25
5,202,work,Directed,723,,21
9,202,work,Directed,724,,1
50,3,degree,Directed,725,,14
2274,1,birth,Directed,726,,1
15,79,work,Directed,727,,66
1355,1,birth,Directed,728,,4
13,60,degree,Directed,729,,368
13,15,degree,Directed,730,,1426
15,59,degree,Directed,731,,135
1,347,degree,Directed,732,,13
347,60,degree,Directed,733,,7
60,42,work,Directed,734,,384
17,1,birth,Directed,735,,2
2508,1,birth,Directed,736,,8
1,7,degree,Directed,737,,35
7,237,degree,Directed,738,,8
237,346,degree,Directed,739,,2
346,15,work,Directed,740,,7
259,1,birth,Directed,741,,1
60,49,degree,Directed,742,,103
49,125,degree,Directed,743,,30
125,60,work,Directed,744,,23
1016,1,birth,Directed,745,,8
60,151,degree,Directed,746,,6
151,1,work,Directed,747,,2
1201,1,birth,Directed,748,,10
60,119,work,Directed,749,,74
5,150,degree,Directed,750,,20
150,150,work,Directed,751,,67
5,4,degree,Directed,752,,17
4,5,work,Directed,753,,6
1,172,degree,Directed,754,,2
71,1,work,Directed,755,,16
3477,1,birth,Directed,756,,2
1,247,degree,Directed,757,,3
247,1,degree,Directed,758,,2
168,125,degree,Directed,759,,12
22,1,birth,Directed,760,,16
5,21,degree,Directed,761,,12
52,1,birth,Directed,762,,9
1,187,degree,Directed,763,,8
187,1,work,Directed,764,,7
59,202,work,Directed,765,,1
224,50,birth,Directed,766,,41
1,197,degree,Directed,767,,9
197,124,degree,Directed,768,,1
124,1,work,Directed,769,,2
2662,51,birth,Directed,770,,2
51,51,work,Directed,771,,314
1905,120,birth,Directed,772,,3
120,60,degree,Directed,773,,71
48,49,birth,Directed,774,,72
1,67,degree,Directed,775,,3
67,1,work,Directed,776,,5
60,390,work,Directed,777,,9
455,41,birth,Directed,778,,6
41,41,degree,Directed,779,,43
41,1,degree,Directed,780,,18
1476,111,birth,Directed,781,,25
