id,oX,oY,dX,dY,trips
1,-25.428,-49.273,-26.908,-48.662,1
2,-25.428,-49.273,-23.548,-46.636,35
3,-25.428,-49.273,-29.76,-51.147,1
5,-25.428,-49.273,-22.883,-43.104,2
6,-25.428,-49.273,-22.903,-43.208,18
8,-25.428,-49.273,-22.018,-47.891,1
9,-25.428,-49.273,-8.054,-34.881,9
10,-25.428,-49.273,-22.906,-47.061,11
12,-25.428,-49.273,-27.597,-48.549,15
15,-25.428,-49.273,-23.463,-46.533,3
16,-25.428,-49.273,-30.033,-51.23,7
17,-25.428,-49.273,-19.817,-43.956,6
18,-25.428,-49.273,-22.315,-49.061,5
20,-25.428,-49.273,-23.425,-51.939,3
21,-25.428,-49.273,-31.772,-52.343,2
22,-25.428,-49.273,-5.795,-35.209,1
29,-25.428,-49.273,-7.115,-34.863,1
30,-25.428,-49.273,-3.102,-60.025,2
32,-25.428,-49.273,-23.31,-51.163,3
33,-25.428,-49.273,-12.971,-38.511,1
34,-25.428,-49.273,-15.78,-47.93,5
35,-25.428,-49.273,-25.095,-50.162,1
38,-25.428,-49.273,-29.684,-53.807,1
40,-25.428,-49.273,48.78232,9.17702,1
41,-25.428,-49.273,-27.46794,153.02809,1
47,-25.428,-49.273,-3.717,-38.543,1
52,-25.428,-49.273,-20.754,-42.882,3
56,-25.428,-49.273,48.85341,2.3488,2
68,-25.428,-49.273,41.38879,2.15899,2
69,-25.428,-49.273,41.55032,-8.42005,2
70,-25.428,-49.273,-21.245,-45,1
79,-25.428,-49.273,-23.179,-45.887,3
94,-25.428,-49.273,-20.443,-54.646,1
105,-25.428,-49.273,-7.231,-35.881,1
112,-25.428,-49.273,-22.725,-47.649,1
133,-25.428,-49.273,-22.211,-49.656,1
139,-25.428,-49.273,-5.089,-42.802,1
148,-25.428,-49.273,-23.523,-46.188,1
189,-25.428,-49.273,48.47629,8.93528,1
195,-25.428,-49.273,-24.956,-53.455,1
197,-25.428,-49.273,37.18817,-3.60667,1
205,-25.428,-49.273,28.53834,-81.37924,3
206,-25.428,-49.273,17.15297,-89.08058,1
237,-25.428,-49.273,41.14961,-8.61099,2
244,-25.428,-49.273,38.98067,-76.93692,1
258,-25.428,-49.273,37.98704,-1.13004,1
449,-26.908,-48.662,-25.428,-49.273,2
451,-26.908,-48.662,-23.548,-46.636,2
461,-26.908,-48.662,-27.597,-48.549,4
467,-26.908,-48.662,-22.315,-49.061,1
898,-23.548,-46.636,-25.428,-49.273,15
901,-23.548,-46.636,-29.76,-51.147,1
903,-23.548,-46.636,-22.883,-43.104,2
904,-23.548,-46.636,-22.903,-43.208,18
905,-23.548,-46.636,-16.679,-49.254,6
906,-23.548,-46.636,-22.018,-47.891,15
907,-23.548,-46.636,-8.054,-34.881,6
908,-23.548,-46.636,-22.906,-47.061,53
910,-23.548,-46.636,-27.597,-48.549,5
913,-23.548,-46.636,-23.463,-46.533,45
914,-23.548,-46.636,-30.033,-51.23,7
915,-23.548,-46.636,-19.817,-43.956,12
916,-23.548,-46.636,-22.315,-49.061,30
918,-23.548,-46.636,-23.425,-51.939,1
920,-23.548,-46.636,-5.795,-35.209,4
921,-23.548,-46.636,40.4165,-3.70256,1
922,-23.548,-46.636,-21.764,-43.35,1
925,-23.548,-46.636,-18.919,-48.277,2
926,-23.548,-46.636,-21.178,-47.81,16
927,-23.548,-46.636,-7.115,-34.863,4
928,-23.548,-46.636,-3.102,-60.025,4
931,-23.548,-46.636,-12.971,-38.511,10
932,-23.548,-46.636,-15.78,-47.93,12
936,-23.548,-46.636,-29.684,-53.807,1
939,-23.548,-46.636,-27.46794,153.02809,1
945,-23.548,-46.636,-3.717,-38.543,3
946,-23.548,-46.636,53.79648,-1.54785,1
948,-23.548,-46.636,-20.319,-40.338,2
950,-23.548,-46.636,-20.754,-42.882,2
953,-23.548,-46.636,-1.456,-48.504,8
954,-23.548,-46.636,48.85341,2.3488,3
956,-23.548,-46.636,-32.035,-52.099,1
957,-23.548,-46.636,34.05223,-118.24368,1
962,-23.548,-46.636,52.00667,4.35556,2
966,-23.548,-46.636,41.38879,2.15899,2
967,-23.548,-46.636,41.55032,-8.42005,1
969,-23.548,-46.636,38.71667,-9.13333,5
970,-23.548,-46.636,-19.748,-47.932,1
977,-23.548,-46.636,-23.179,-45.887,5
978,-23.548,-46.636,40.11642,-88.24338,1
981,-23.548,-46.636,53.55014,-113.46871,1
990,-23.548,-46.636,29.65163,-82.32483,1
992,-23.548,-46.636,-20.443,-54.646,2
999,-23.548,-46.636,-20.288,-43.508,1
1003,-23.548,-46.636,-7.231,-35.881,2
1008,-23.548,-46.636,-23.664,-46.538,5
1010,-23.548,-46.636,-22.725,-47.649,7
1015,-23.548,-46.636,45.46427,9.18951,3
1017,-23.548,-46.636,-20.82,-49.379,2
1022,-23.548,-46.636,-23.694,-46.565,3
1027,-23.548,-46.636,48.24896,11.65101,1
1031,-23.548,-46.636,-22.211,-49.656,3
1033,-23.548,-46.636,51.88921,0.90421,1
1040,-23.548,-46.636,43.70011,-79.4163,1
1041,-23.548,-46.636,42.73698,-84.48387,1
1046,-23.548,-46.636,-23.523,-46.188,1
1060,-23.548,-46.636,52.2,0.11667,1
1072,-23.548,-46.636,40.71427,-74.00597,1
1073,-23.548,-46.636,42.35843,-71.05977,1
1103,-23.548,-46.636,28.53834,-81.37924,3
1106,-23.548,-46.636,-12.267,-38.967,2
1118,-23.548,-46.636,44.93333,4.9,2
1135,-23.548,-46.636,41.14961,-8.61099,1
1157,-23.548,-46.636,39.18361,-96.57167,1
1170,-23.548,-46.636,46.516,6.63282,1
1188,-23.548,-46.636,32.22174,-110.92648,1
1207,-23.548,-46.636,52.15833,4.49306,1
1216,-23.548,-46.636,53.95763,-1.08271,1
1249,-23.548,-46.636,42.97839,-78.79976,1
1349,-29.76,-51.147,-23.548,-46.636,1
1363,-29.76,-51.147,-30.033,-51.23,25
1365,-29.76,-51.147,-22.315,-49.061,1
1381,-29.76,-51.147,-15.78,-47.93,3
1385,-29.76,-51.147,-29.684,-53.807,1
1440,-29.76,-51.147,-26.919,-49.066,2
1471,-29.76,-51.147,-23.694,-46.565,1
2245,-22.883,-43.104,-25.428,-49.273,3
2247,-22.883,-43.104,-23.548,-46.636,14
2251,-22.883,-43.104,-22.903,-43.208,58
2254,-22.883,-43.104,-8.054,-34.881,2
2255,-22.883,-43.104,-22.906,-47.061,9
2257,-22.883,-43.104,-27.597,-48.549,2
2260,-22.883,-43.104,-23.463,-46.533,3
2262,-22.883,-43.104,-19.817,-43.956,6
2263,-22.883,-43.104,-22.315,-49.061,1
2267,-22.883,-43.104,-5.795,-35.209,1
2268,-22.883,-43.104,40.4165,-3.70256,2
2278,-22.883,-43.104,-12.971,-38.511,2
2279,-22.883,-43.104,-15.78,-47.93,1
2292,-22.883,-43.104,-3.717,-38.543,1
2295,-22.883,-43.104,-20.319,-40.338,1
2316,-22.883,-43.104,38.71667,-9.13333,1
2321,-22.883,-43.104,-22.744,-43.708,5
2324,-22.883,-43.104,-23.179,-45.887,1
2347,-22.883,-43.104,-21.754,-41.324,1
2493,-22.883,-43.104,-22.731,-45.125,1
2694,-22.903,-43.208,-25.428,-49.273,27
2696,-22.903,-43.208,-23.548,-46.636,49
2698,-22.903,-43.208,42.60003,-5.57032,1
2699,-22.903,-43.208,-22.883,-43.104,45
2701,-22.903,-43.208,-16.679,-49.254,1
2702,-22.903,-43.208,-22.018,-47.891,1
2703,-22.903,-43.208,-8.054,-34.881,1
2704,-22.903,-43.208,-22.906,-47.061,19
2706,-22.903,-43.208,-27.597,-48.549,2
2709,-22.903,-43.208,-23.463,-46.533,4
2710,-22.903,-43.208,-30.033,-51.23,16
2711,-22.903,-43.208,-19.817,-43.956,11
2712,-22.903,-43.208,-22.315,-49.061,3
2716,-22.903,-43.208,-5.795,-35.209,4
2717,-22.903,-43.208,40.4165,-3.70256,1
2718,-22.903,-43.208,-21.764,-43.35,7
2721,-22.903,-43.208,-18.919,-48.277,2
2722,-22.903,-43.208,-21.178,-47.81,1
2723,-22.903,-43.208,-7.115,-34.863,1
2724,-22.903,-43.208,-3.102,-60.025,1
2727,-22.903,-43.208,-12.971,-38.511,4
2728,-22.903,-43.208,-15.78,-47.93,11
2744,-22.903,-43.208,-20.319,-40.338,2
2746,-22.903,-43.208,-20.754,-42.882,1
2749,-22.903,-43.208,-1.456,-48.504,3
2750,-22.903,-43.208,48.85341,2.3488,1
2754,-22.903,-43.208,43.61092,3.87723,1
2757,-22.903,-43.208,50.85045,4.34878,1
2761,-22.903,-43.208,36.52978,-6.29465,1
2765,-22.903,-43.208,38.71667,-9.13333,3
2770,-22.903,-43.208,-22.744,-43.708,4
2773,-22.903,-43.208,-23.179,-45.887,3
