Source,Target,Kind,Type,Id,Label,Weight
1,7,all,Directed,895,,7.961370201719511
7,1,all,Directed,896,,7.838737559599282
1,2,all,Directed,897,,9.163667963777751
2,1,all,Directed,898,,9.035034150076132
1,5,all,Directed,899,,8.251403065380556
5,1,all,Directed,900,,8.137103389639302
5,2,all,Directed,901,,5.3706380281276624
5,4,all,Directed,902,,3.4657359027997265
4,1,all,Directed,903,,6.966967138613983
1,11,all,Directed,904,,8.182279739259018
11,1,all,Directed,905,,8.144969417087875
1,3,all,Directed,906,,7.564238475170491
3,1,all,Directed,907,,7.4815557019095165
1,4,all,Directed,908,,7.057897937411856
15,1,all,Directed,909,,6.912742820493176
1,19,all,Directed,910,,5.572154032177765
19,1,all,Directed,911,,5.58724865840025
6,1,all,Directed,912,,5.537334267018537
10,1,all,Directed,913,,6.393590753950631
17,1,all,Directed,914,,5.998936561946683
1,8,all,Directed,915,,6.9985096422506015
8,1,all,Directed,916,,7.1770187659099
1,20,all,Directed,917,,5.147494476813453
20,1,all,Directed,918,,5.043425116919247
49,1,all,Directed,919,,4.962844630259907
16,1,all,Directed,920,,7.05617528410041
1,10,all,Directed,921,,3.784189633918261
56,1,all,Directed,922,,1.0986122886681098
16,22,all,Directed,923,,3.6635616461296463
22,1,all,Directed,924,,4.30406509320417
1,9,all,Directed,925,,5.384495062789089
9,1,all,Directed,926,,5.288267030694535
97,1,all,Directed,927,,0.0
15,7,all,Directed,928,,2.1972245773362196
1,12,all,Directed,929,,4.962844630259907
12,1,all,Directed,930,,6.19644412779452
2,7,all,Directed,931,,3.6109179126442243
1,14,all,Directed,932,,5.332718793265369
14,1,all,Directed,933,,5.429345628954441
2,5,all,Directed,934,,5.176149732573829
5,13,all,Directed,935,,1.9459101490553132
13,1,all,Directed,936,,6.734591659972948
11,4,all,Directed,937,,3.784189633918261
1,13,all,Directed,938,,6.580639137284949
5,12,all,Directed,939,,0.6931471805599453
19,4,all,Directed,940,,1.791759469228055
57,1,all,Directed,941,,2.3978952727983707
2,4,all,Directed,942,,4.2626798770413155
48,1,all,Directed,943,,2.0794415416798357
2,6,all,Directed,944,,1.9459101490553132
1,16,all,Directed,945,,5.905361848054571
93,1,all,Directed,946,,1.6094379124341003
31,1,all,Directed,947,,2.8903717578961645
55,1,all,Directed,948,,4.127134385045092
43,1,all,Directed,949,,4.007333185232471
28,1,all,Directed,950,,4.0943445622221
1,23,all,Directed,951,,3.332204510175204
23,1,all,Directed,952,,3.1780538303479458
7,2,all,Directed,953,,4.02535169073515
13,8,all,Directed,954,,2.4849066497880004
69,1,all,Directed,955,,3.4339872044851463
1,6,all,Directed,956,,3.7376696182833684
11,2,all,Directed,957,,4.700480365792417
14,2,all,Directed,958,,2.5649493574615367
37,1,all,Directed,959,,1.6094379124341003
52,1,all,Directed,960,,2.995732273553991
5,8,all,Directed,961,,2.302585092994046
19,24,all,Directed,962,,0.6931471805599453
23,3,all,Directed,963,,0.6931471805599453
64,1,all,Directed,964,,2.995732273553991
53,1,all,Directed,965,,3.5263605246161616
2,13,all,Directed,966,,2.4849066497880004
32,1,all,Directed,967,,4.0943445622221
51,1,all,Directed,968,,3.295836866004329
2,16,all,Directed,969,,2.4849066497880004
16,2,all,Directed,970,,4.465908118654584
7,8,all,Directed,971,,2.302585092994046
77,1,all,Directed,972,,1.3862943611198906
1,21,all,Directed,973,,4.48863636973214
21,1,all,Directed,974,,4.499809670330265
1,22,all,Directed,975,,2.995732273553991
11,3,all,Directed,976,,3.4339872044851463
1,24,all,Directed,977,,4.31748811353631
24,1,all,Directed,978,,4.356708826689592
1,17,all,Directed,979,,4.30406509320417
38,1,all,Directed,980,,3.1354942159291497
27,1,all,Directed,981,,4.219507705176107
81,1,all,Directed,982,,1.9459101490553132
4,11,all,Directed,983,,2.302585092994046
45,1,all,Directed,984,,2.5649493574615367
36,1,all,Directed,985,,2.0794415416798357
