Source,Target,Kind,Type,Id,Label,Weight
15,1,birth,Directed,0,,6.665683717782408
10,1,birth,Directed,1,,5.673323267171493
17,1,birth,Directed,2,,5.081404364984463
49,1,birth,Directed,3,,4.962844630259907
16,1,birth,Directed,4,,6.148468295917647
6,1,birth,Directed,5,,5.049856007249537
56,1,birth,Directed,6,,1.0986122886681098
16,22,birth,Directed,7,,3.6375861597263857
1,9,birth,Directed,8,,2.772588722239781
97,1,birth,Directed,9,,0.0
15,7,birth,Directed,10,,1.9459101490553132
11,1,birth,Directed,11,,5.176149732573829
12,1,birth,Directed,12,,5.575949103146316
2,1,birth,Directed,13,,4.890349128221754
1,3,birth,Directed,14,,4.442651256490317
1,2,birth,Directed,15,,6.1224928095143865
57,1,birth,Directed,16,,2.3978952727983707
48,1,birth,Directed,17,,2.0794415416798357
93,1,birth,Directed,18,,1.6094379124341003
31,1,birth,Directed,19,,2.8903717578961645
55,1,birth,Directed,20,,4.127134385045092
1,11,birth,Directed,21,,5.556828061699537
8,1,birth,Directed,22,,5.147494476813453
43,1,birth,Directed,23,,4.007333185232471
28,1,birth,Directed,24,,4.0943445622221
1,16,birth,Directed,25,,3.58351893845611
7,1,birth,Directed,26,,4.6913478822291435
22,1,birth,Directed,27,,0.6931471805599453
1,5,birth,Directed,28,,5.0689042022202315
14,1,birth,Directed,29,,3.332204510175204
13,8,birth,Directed,30,,1.0986122886681098
1,12,birth,Directed,31,,3.1780538303479458
69,1,birth,Directed,32,,3.4339872044851463
5,1,birth,Directed,33,,3.970291913552122
3,1,birth,Directed,34,,4.804021044733257
13,1,birth,Directed,35,,5.062595033026967
9,1,birth,Directed,36,,3.1780538303479458
37,1,birth,Directed,37,,1.6094379124341003
52,1,birth,Directed,38,,2.995732273553991
64,1,birth,Directed,39,,2.995732273553991
53,1,birth,Directed,40,,3.5263605246161616
32,1,birth,Directed,41,,4.0943445622221
51,1,birth,Directed,42,,3.295836866004329
2,16,birth,Directed,43,,0.6931471805599453
1,13,birth,Directed,44,,4.7535901911063645
1,7,birth,Directed,45,,4.663439094112067
4,1,birth,Directed,46,,3.1354942159291497
77,1,birth,Directed,47,,1.3862943611198906
38,1,birth,Directed,48,,3.1354942159291497
27,1,birth,Directed,49,,4.219507705176107
81,1,birth,Directed,50,,1.9459101490553132
1,4,birth,Directed,51,,3.6635616461296463
45,1,birth,Directed,52,,2.5649493574615367
36,1,birth,Directed,53,,2.0794415416798357
26,1,birth,Directed,54,,2.8903717578961645
42,8,birth,Directed,55,,0.6931471805599453
1,8,birth,Directed,56,,4.48863636973214
1,10,birth,Directed,57,,0.6931471805599453
33,1,birth,Directed,58,,3.044522437723423
59,1,birth,Directed,59,,3.4339872044851463
18,1,birth,Directed,60,,4.356708826689592
10,2,birth,Directed,61,,2.4849066497880004
18,2,birth,Directed,62,,1.6094379124341003
27,16,birth,Directed,63,,0.6931471805599453
10,11,birth,Directed,64,,1.6094379124341003
112,1,birth,Directed,65,,0.0
19,1,birth,Directed,66,,2.70805020110221
70,1,birth,Directed,67,,1.6094379124341003
40,10,birth,Directed,68,,0.0
66,1,birth,Directed,69,,2.0794415416798357
1,17,birth,Directed,70,,1.3862943611198906
11,2,birth,Directed,71,,2.8903717578961645
13,11,birth,Directed,72,,1.791759469228055
54,1,birth,Directed,73,,2.8903717578961645
5,2,birth,Directed,74,,2.302585092994046
7,16,birth,Directed,75,,0.6931471805599453
29,2,birth,Directed,76,,1.9459101490553132
92,2,birth,Directed,77,,1.791759469228055
49,2,birth,Directed,78,,1.0986122886681098
51,11,birth,Directed,79,,0.0
6,11,birth,Directed,80,,2.0794415416798357
15,11,birth,Directed,81,,1.0986122886681098
18,7,birth,Directed,82,,1.3862943611198906
53,7,birth,Directed,83,,0.6931471805599453
17,18,birth,Directed,84,,3.4965075614664802
15,2,birth,Directed,85,,2.6390573296152584
51,5,birth,Directed,86,,1.3862943611198906
16,7,birth,Directed,87,,2.9444389791664403
12,7,birth,Directed,88,,1.9459101490553132
17,7,birth,Directed,89,,2.772588722239781
8,3,birth,Directed,90,,1.0986122886681098
10,17,birth,Directed,91,,0.0
49,16,birth,Directed,92,,1.0986122886681098
25,3,birth,Directed,93,,2.70805020110221
37,5,birth,Directed,94,,0.0
44,5,birth,Directed,95,,1.3862943611198906
16,2,birth,Directed,96,,3.295836866004329
42,11,birth,Directed,97,,0.6931471805599453
10,7,birth,Directed,98,,2.3978952727983707
67,5,birth,Directed,99,,0.6931471805599453
12,5,birth,Directed,100,,1.0986122886681098
4,20,birth,Directed,101,,0.0
37,11,birth,Directed,102,,0.6931471805599453
11,4,birth,Directed,103,,1.6094379124341003
7,11,birth,Directed,104,,1.6094379124341003
32,2,birth,Directed,105,,2.833213344056216
46,2,birth,Directed,106,,1.0986122886681098
63,11,birth,Directed,107,,2.1972245773362196
1,20,birth,Directed,108,,1.0986122886681098
41,4,birth,Directed,109,,0.6931471805599453
45,11,birth,Directed,110,,2.4849066497880004
3,2,birth,Directed,111,,1.791759469228055
7,22,birth,Directed,112,,0.0
117,11,birth,Directed,113,,0.0
7,5,birth,Directed,114,,1.9459101490553132
16,5,birth,Directed,115,,1.0986122886681098
3,5,birth,Directed,116,,2.6390573296152584
25,1,birth,Directed,117,,3.6635616461296463
68,1,birth,Directed,118,,2.70805020110221
29,1,birth,Directed,119,,3.4011973816621555
69,2,birth,Directed,120,,0.6931471805599453
46,1,birth,Directed,121,,1.6094379124341003
7,14,birth,Directed,122,,0.0
63,1,birth,Directed,123,,2.0794415416798357
1,19,birth,Directed,124,,2.4849066497880004
79,1,birth,Directed,125,,2.4849066497880004
40,1,birth,Directed,126,,1.6094379124341003
130,17,birth,Directed,127,,0.0
6,16,birth,Directed,128,,1.791759469228055
67,1,birth,Directed,129,,2.772588722239781
102,1,birth,Directed,130,,1.0986122886681098
11,8,birth,Directed,131,,0.0
36,2,birth,Directed,132,,1.6094379124341003
27,7,birth,Directed,133,,0.6931471805599453
90,1,birth,Directed,134,,0.0
6,2,birth,Directed,135,,1.0986122886681098
104,1,birth,Directed,136,,0.6931471805599453
54,16,birth,Directed,137,,0.0
43,11,birth,Directed,138,,1.3862943611198906
24,1,birth,Directed,139,,2.3978952727983707
134,1,birth,Directed,140,,0.0
53,2,birth,Directed,141,,0.6931471805599453
20,2,birth,Directed,142,,1.791759469228055
17,2,birth,Directed,143,,1.0986122886681098
89,2,birth,Directed,144,,0.6931471805599453
33,7,birth,Directed,145,,0.0
47,4,birth,Directed,146,,0.0
71,17,birth,Directed,147,,0.0
7,13,birth,Directed,148,,1.0986122886681098
14,3,birth,Directed,149,,0.0
12,18,birth,Directed,150,,0.0
10,12,birth,Directed,151,,0.0
49,19,birth,Directed,152,,0.0
1,6,birth,Directed,153,,0.6931471805599453
1,21,birth,Directed,154,,1.0986122886681098
1,14,birth,Directed,155,,1.3862943611198906
12,2,birth,Directed,156,,2.6390573296152584
12,11,birth,Directed,157,,1.6094379124341003
12,8,birth,Directed,158,,1.6094379124341003
27,2,birth,Directed,159,,1.9459101490553132
27,14,birth,Directed,160,,0.6931471805599453
16,11,birth,Directed,161,,2.0794415416798357
16,12,birth,Directed,162,,1.0986122886681098
16,13,birth,Directed,163,,0.6931471805599453
16,4,birth,Directed,164,,1.0986122886681098
28,4,birth,Directed,165,,1.0986122886681098
28,3,birth,Directed,166,,0.0
29,11,birth,Directed,167,,1.0986122886681098
3,4,birth,Directed,168,,0.0
3,11,birth,Directed,169,,1.3862943611198906
3,24,birth,Directed,170,,0.0
1,18,birth,Directed,171,,0.6931471805599453
1,24,birth,Directed,172,,1.0986122886681098
25,2,birth,Directed,173,,0.0
1,15,birth,Directed,174,,0.6931471805599453
12,24,birth,Directed,175,,0.0
12,19,birth,Directed,176,,0.0
16,6,birth,Directed,177,,0.6931471805599453
28,2,birth,Directed,178,,1.6094379124341003
3,7,birth,Directed,179,,2.0794415416798357
3,16,birth,Directed,180,,0.0
3,14,birth,Directed,181,,0.6931471805599453
1,22,birth,Directed,182,,0.0
30,19,birth,Directed,183,,0.0
30,4,birth,Directed,184,,0.0
10,18,birth,Directed,185,,1.0986122886681098
10,5,birth,Directed,186,,0.6931471805599453
18,5,birth,Directed,187,,1.6094379124341003
18,16,birth,Directed,188,,0.0
18,3,birth,Directed,189,,1.0986122886681098
18,14,birth,Directed,190,,0.0
15,12,birth,Directed,191,,1.791759469228055
15,13,birth,Directed,192,,0.6931471805599453
15,5,birth,Directed,193,,1.6094379124341003
16,8,birth,Directed,194,,1.0986122886681098
17,3,birth,Directed,195,,0.6931471805599453
17,11,birth,Directed,196,,0.0
7,21,birth,Directed,197,,0.0
7,2,birth,Directed,198,,2.3978952727983707
7,17,birth,Directed,199,,0.0
32,3,birth,Directed,200,,0.0
11,7,birth,Directed,201,,1.0986122886681098
15,16,birth,Directed,202,,1.0986122886681098
16,24,birth,Directed,203,,0.0
11,5,birth,Directed,204,,1.9459101490553132
34,2,birth,Directed,205,,0.0
11,19,birth,Directed,206,,1.0986122886681098
11,3,birth,Directed,207,,0.6931471805599453
8,5,birth,Directed,208,,2.302585092994046
35,1,birth,Directed,209,,2.0794415416798357
2,5,birth,Directed,210,,2.1972245773362196
13,5,birth,Directed,211,,1.0986122886681098
4,2,birth,Directed,212,,2.3978952727983707
4,5,birth,Directed,213,,1.6094379124341003
4,7,birth,Directed,214,,0.0
4,8,birth,Directed,215,,0.6931471805599453
14,5,birth,Directed,216,,1.0986122886681098
14,2,birth,Directed,217,,1.0986122886681098
6,7,birth,Directed,218,,1.791759469228055
6,17,birth,Directed,219,,0.0
6,13,birth,Directed,220,,0.0
6,4,birth,Directed,221,,0.0
6,5,birth,Directed,222,,0.6931471805599453
6,19,birth,Directed,223,,0.0
6,22,birth,Directed,224,,0.0
6,8,birth,Directed,225,,0.6931471805599453
38,7,birth,Directed,226,,0.6931471805599453
17,16,birth,Directed,227,,0.0
32,5,birth,Directed,228,,1.791759469228055
32,4,birth,Directed,229,,1.9459101490553132
32,8,birth,Directed,230,,0.6931471805599453
39,1,birth,Directed,231,,1.6094379124341003
8,2,birth,Directed,232,,2.4849066497880004
17,19,birth,Directed,233,,0.0
41,3,birth,Directed,234,,0.0
24,11,birth,Directed,235,,0.6931471805599453
42,1,birth,Directed,236,,2.302585092994046
44,2,birth,Directed,237,,1.3862943611198906
44,11,birth,Directed,238,,0.6931471805599453
44,7,birth,Directed,239,,0.0
44,1,birth,Directed,240,,2.302585092994046
45,6,birth,Directed,241,,0.0
47,1,birth,Directed,242,,0.6931471805599453
47,16,birth,Directed,243,,0.6931471805599453
47,2,birth,Directed,244,,0.0
47,8,birth,Directed,245,,0.0
47,5,birth,Directed,246,,0.0
50,11,birth,Directed,247,,0.6931471805599453
52,2,birth,Directed,248,,0.6931471805599453
42,2,birth,Directed,249,,1.3862943611198906
32,7,birth,Directed,250,,0.6931471805599453
54,11,birth,Directed,251,,0.0
54,2,birth,Directed,252,,0.6931471805599453
54,6,birth,Directed,253,,0.0
54,5,birth,Directed,254,,0.0
55,3,birth,Directed,255,,2.70805020110221
56,8,birth,Directed,256,,0.0
24,2,birth,Directed,257,,1.791759469228055
3,8,birth,Directed,258,,0.0
4,10,birth,Directed,259,,0.0
49,9,birth,Directed,260,,0.0
49,7,birth,Directed,261,,0.0
49,12,birth,Directed,262,,0.0
49,10,birth,Directed,263,,0.0
49,8,birth,Directed,264,,0.0
2,8,birth,Directed,265,,1.6094379124341003
2,3,birth,Directed,266,,0.6931471805599453
55,5,birth,Directed,267,,0.0
10,16,birth,Directed,268,,0.6931471805599453
8,13,birth,Directed,269,,0.6931471805599453
25,5,birth,Directed,270,,0.0
32,24,birth,Directed,271,,0.0
57,7,birth,Directed,272,,1.0986122886681098
58,1,birth,Directed,273,,0.0
58,2,birth,Directed,274,,1.0986122886681098
60,1,birth,Directed,275,,0.0
26,5,birth,Directed,276,,0.0
8,11,birth,Directed,277,,1.791759469228055
61,1,birth,Directed,278,,2.5649493574615367
33,11,birth,Directed,279,,0.0
33,2,birth,Directed,280,,0.0
24,4,birth,Directed,281,,0.6931471805599453
62,5,birth,Directed,282,,1.0986122886681098
14,4,birth,Directed,283,,0.0
19,2,birth,Directed,284,,1.0986122886681098
8,14,birth,Directed,285,,0.0
13,14,birth,Directed,286,,0.6931471805599453
6,23,birth,Directed,287,,0.0
29,7,birth,Directed,288,,1.0986122886681098
29,5,birth,Directed,289,,1.3862943611198906
62,11,birth,Directed,290,,0.0
62,1,birth,Directed,291,,1.3862943611198906
62,8,birth,Directed,292,,0.0
67,2,birth,Directed,293,,1.3862943611198906
59,2,birth,Directed,294,,0.0
59,8,birth,Directed,295,,0.0
59,7,birth,Directed,296,,0.0
21,1,birth,Directed,297,,2.0794415416798357
68,2,birth,Directed,298,,0.6931471805599453
68,11,birth,Directed,299,,0.0
41,1,birth,Directed,300,,2.302585092994046
41,2,birth,Directed,301,,0.0
43,2,birth,Directed,302,,1.0986122886681098
43,4,birth,Directed,303,,0.0
43,5,birth,Directed,304,,0.6931471805599453
8,7,birth,Directed,305,,0.6931471805599453
20,1,birth,Directed,306,,1.6094379124341003
65,11,birth,Directed,307,,1.9459101490553132
7,10,birth,Directed,308,,0.0
31,2,birth,Directed,309,,0.6931471805599453
71,1,birth,Directed,310,,2.772588722239781
71,3,birth,Directed,311,,0.6931471805599453
13,4,birth,Directed,312,,1.0986122886681098
51,2,birth,Directed,313,,1.3862943611198906
39,5,birth,Directed,314,,0.0
72,1,birth,Directed,315,,1.9459101490553132
72,11,birth,Directed,316,,0.0
73,1,birth,Directed,317,,0.0
74,5,birth,Directed,318,,0.0
8,23,birth,Directed,319,,0.0
75,1,birth,Directed,320,,1.791759469228055
10,19,birth,Directed,321,,0.0
36,11,birth,Directed,322,,0.0
