Source,Target,Kind,Type,Id,Label,Weight
15,1,birth,Directed,0,,785
10,1,birth,Directed,1,,291
17,1,birth,Directed,2,,161
49,1,birth,Directed,3,,143
16,1,birth,Directed,4,,468
6,1,birth,Directed,5,,156
56,1,birth,Directed,6,,3
16,22,birth,Directed,7,,38
1,9,birth,Directed,8,,16
97,1,birth,Directed,9,,1
15,7,birth,Directed,10,,7
11,1,birth,Directed,11,,177
12,1,birth,Directed,12,,264
2,1,birth,Directed,13,,133
1,3,birth,Directed,14,,85
1,2,birth,Directed,15,,456
57,1,birth,Directed,16,,11
48,1,birth,Directed,17,,8
93,1,birth,Directed,18,,5
31,1,birth,Directed,19,,18
55,1,birth,Directed,20,,62
1,11,birth,Directed,21,,259
8,1,birth,Directed,22,,172
43,1,birth,Directed,23,,55
28,1,birth,Directed,24,,60
1,16,birth,Directed,25,,36
7,1,birth,Directed,26,,109
22,1,birth,Directed,27,,2
1,5,birth,Directed,28,,159
14,1,birth,Directed,29,,28
13,8,birth,Directed,30,,3
1,12,birth,Directed,31,,24
69,1,birth,Directed,32,,31
5,1,birth,Directed,33,,53
3,1,birth,Directed,34,,122
13,1,birth,Directed,35,,158
9,1,birth,Directed,36,,24
37,1,birth,Directed,37,,5
52,1,birth,Directed,38,,20
64,1,birth,Directed,39,,20
53,1,birth,Directed,40,,34
32,1,birth,Directed,41,,60
51,1,birth,Directed,42,,27
2,16,birth,Directed,43,,2
1,13,birth,Directed,44,,116
1,7,birth,Directed,45,,106
4,1,birth,Directed,46,,23
77,1,birth,Directed,47,,4
38,1,birth,Directed,48,,23
27,1,birth,Directed,49,,68
81,1,birth,Directed,50,,7
1,4,birth,Directed,51,,39
45,1,birth,Directed,52,,13
36,1,birth,Directed,53,,8
26,1,birth,Directed,54,,18
42,8,birth,Directed,55,,2
1,8,birth,Directed,56,,89
1,10,birth,Directed,57,,2
33,1,birth,Directed,58,,21
59,1,birth,Directed,59,,31
18,1,birth,Directed,60,,78
10,2,birth,Directed,61,,12
18,2,birth,Directed,62,,5
27,16,birth,Directed,63,,2
10,11,birth,Directed,64,,5
112,1,birth,Directed,65,,1
19,1,birth,Directed,66,,15
70,1,birth,Directed,67,,5
40,10,birth,Directed,68,,1
66,1,birth,Directed,69,,8
1,17,birth,Directed,70,,4
11,2,birth,Directed,71,,18
13,11,birth,Directed,72,,6
54,1,birth,Directed,73,,18
5,2,birth,Directed,74,,10
7,16,birth,Directed,75,,2
29,2,birth,Directed,76,,7
92,2,birth,Directed,77,,6
49,2,birth,Directed,78,,3
51,11,birth,Directed,79,,1
6,11,birth,Directed,80,,8
15,11,birth,Directed,81,,3
18,7,birth,Directed,82,,4
53,7,birth,Directed,83,,2
17,18,birth,Directed,84,,33
15,2,birth,Directed,85,,14
