Source,Target,Kind,Type,Id,Label,Weight
1,7,degree,Directed,631,,7.914617709040679
1,2,degree,Directed,632,,9.104868739033948
2,1,degree,Directed,633,,7.622663951323595
1,5,degree,Directed,634,,8.200562797008564
5,1,degree,Directed,635,,6.721425700790643
5,2,degree,Directed,636,,5.278114659230517
5,4,degree,Directed,637,,3.1780538303479458
1,11,degree,Directed,638,,8.09925056179696
11,1,degree,Directed,639,,6.902742737158593
1,3,degree,Directed,640,,7.501634457883413
1,4,degree,Directed,641,,7.00669522683704
1,19,degree,Directed,642,,5.5134287461649825
6,1,degree,Directed,643,,4.418840607796598
1,8,degree,Directed,644,,6.906754778648554
8,1,degree,Directed,645,,5.857933154483459
1,20,degree,Directed,646,,5.081404364984463
10,1,degree,Directed,647,,5.69035945432406
3,1,degree,Directed,648,,5.777652323222656
22,1,degree,Directed,649,,4.110873864173311
16,1,degree,Directed,650,,6.182084906716632
9,1,degree,Directed,651,,4.672828834461906
7,1,degree,Directed,652,,6.480044561926653
1,12,degree,Directed,653,,4.605170185988092
2,7,degree,Directed,654,,3.332204510175204
19,1,degree,Directed,655,,4.418840607796598
1,14,degree,Directed,656,,5.2832037287379885
14,1,degree,Directed,657,,3.7612001156935624
2,5,degree,Directed,658,,5.0369526024136295
5,13,degree,Directed,659,,1.9459101490553132
11,4,degree,Directed,660,,3.58351893845611
1,13,degree,Directed,661,,6.405228458030842
4,1,degree,Directed,662,,5.3612921657094255
19,4,degree,Directed,663,,1.6094379124341003
2,4,degree,Directed,664,,3.9889840465642745
1,16,degree,Directed,665,,5.7430031878094825
13,1,degree,Directed,666,,5.568344503761097
15,1,degree,Directed,667,,5.37989735354046
1,23,degree,Directed,668,,3.295836866004329
7,2,degree,Directed,669,,3.7376696182833684
12,1,degree,Directed,670,,5.153291594497779
1,10,degree,Directed,671,,2.6390573296152584
11,2,degree,Directed,672,,4.51085950651685
1,9,degree,Directed,673,,5.303304908059076
14,2,degree,Directed,674,,2.302585092994046
5,8,degree,Directed,675,,2.302585092994046
19,24,degree,Directed,676,,0.6931471805599453
23,3,degree,Directed,677,,0.6931471805599453
2,13,degree,Directed,678,,2.1972245773362196
16,2,degree,Directed,679,,4.07753744390572
7,8,degree,Directed,680,,2.0794415416798357
1,21,degree,Directed,681,,4.430816798843313
1,22,degree,Directed,682,,2.772588722239781
11,3,degree,Directed,683,,3.091042453358316
1,24,degree,Directed,684,,4.276666119016055
1,17,degree,Directed,685,,4.07753744390572
17,1,degree,Directed,686,,5.111987788356544
4,11,degree,Directed,687,,1.9459101490553132
5,3,degree,Directed,688,,3.1780538303479458
8,5,degree,Directed,689,,2.70805020110221
18,1,degree,Directed,690,,4.248495242049359
5,14,degree,Directed,691,,2.302585092994046
1,6,degree,Directed,692,,3.1354942159291497
6,5,degree,Directed,693,,1.6094379124341003
5,6,degree,Directed,694,,0.6931471805599453
6,11,degree,Directed,695,,0.0
6,12,degree,Directed,696,,0.6931471805599453
7,12,degree,Directed,697,,0.6931471805599453
7,3,degree,Directed,698,,2.8903717578961645
24,1,degree,Directed,699,,2.833213344056216
7,13,degree,Directed,700,,2.1972245773362196
12,2,degree,Directed,701,,2.995732273553991
5,24,degree,Directed,702,,0.6931471805599453
20,1,degree,Directed,703,,3.258096538021482
8,11,degree,Directed,704,,1.9459101490553132
13,2,degree,Directed,705,,2.772588722239781
8,2,degree,Directed,706,,3.5553480614894135
14,7,degree,Directed,707,,1.6094379124341003
7,11,degree,Directed,708,,2.6390573296152584
5,11,degree,Directed,709,,3.4339872044851463
13,7,degree,Directed,710,,1.791759469228055
18,7,degree,Directed,711,,1.3862943611198906
16,14,degree,Directed,712,,0.0
3,7,degree,Directed,713,,3.332204510175204
7,5,degree,Directed,714,,2.995732273553991
17,7,degree,Directed,715,,3.295836866004329
16,21,degree,Directed,716,,1.0986122886681098
16,7,degree,Directed,717,,3.2188758248682006
16,5,degree,Directed,718,,2.5649493574615367
18,17,degree,Directed,719,,1.6094379124341003
17,18,degree,Directed,720,,1.0986122886681098
16,19,degree,Directed,721,,1.3862943611198906
16,11,degree,Directed,722,,2.70805020110221
3,2,degree,Directed,723,,3.58351893845611
3,5,degree,Directed,724,,3.9318256327243257
12,9,degree,Directed,725,,0.6931471805599453
19,7,degree,Directed,726,,0.0
20,2,degree,Directed,727,,1.3862943611198906
4,2,degree,Directed,728,,3.713572066704308
3,11,degree,Directed,729,,2.302585092994046
