Source,Target,Kind,Type,Id,Label,Weight
1,7,degree,Directed,631,,2737
1,2,degree,Directed,632,,8999
2,1,degree,Directed,633,,2044
1,5,degree,Directed,634,,3643
5,1,degree,Directed,635,,830
5,2,degree,Directed,636,,196
5,4,degree,Directed,637,,24
1,11,degree,Directed,638,,3292
11,1,degree,Directed,639,,995
1,3,degree,Directed,640,,1811
1,4,degree,Directed,641,,1104
1,19,degree,Directed,642,,248
6,1,degree,Directed,643,,83
1,8,degree,Directed,644,,999
8,1,degree,Directed,645,,350
1,20,degree,Directed,646,,161
10,1,degree,Directed,647,,296
3,1,degree,Directed,648,,323
22,1,degree,Directed,649,,61
16,1,degree,Directed,650,,484
9,1,degree,Directed,651,,107
7,1,degree,Directed,652,,652
1,12,degree,Directed,653,,100
2,7,degree,Directed,654,,28
19,1,degree,Directed,655,,83
1,14,degree,Directed,656,,197
14,1,degree,Directed,657,,43
2,5,degree,Directed,658,,154
5,13,degree,Directed,659,,7
11,4,degree,Directed,660,,36
1,13,degree,Directed,661,,605
4,1,degree,Directed,662,,213
19,4,degree,Directed,663,,5
2,4,degree,Directed,664,,54
1,16,degree,Directed,665,,312
13,1,degree,Directed,666,,262
15,1,degree,Directed,667,,217
1,23,degree,Directed,668,,27
7,2,degree,Directed,669,,42
12,1,degree,Directed,670,,173
1,10,degree,Directed,671,,14
11,2,degree,Directed,672,,91
1,9,degree,Directed,673,,201
14,2,degree,Directed,674,,10
5,8,degree,Directed,675,,10
19,24,degree,Directed,676,,2
23,3,degree,Directed,677,,2
2,13,degree,Directed,678,,9
16,2,degree,Directed,679,,59
7,8,degree,Directed,680,,8
1,21,degree,Directed,681,,84
1,22,degree,Directed,682,,16
11,3,degree,Directed,683,,22
1,24,degree,Directed,684,,72
1,17,degree,Directed,685,,59
17,1,degree,Directed,686,,166
4,11,degree,Directed,687,,7
5,3,degree,Directed,688,,24
8,5,degree,Directed,689,,15
18,1,degree,Directed,690,,70
5,14,degree,Directed,691,,10
1,6,degree,Directed,692,,23
6,5,degree,Directed,693,,5
5,6,degree,Directed,694,,2
6,11,degree,Directed,695,,1
6,12,degree,Directed,696,,2
7,12,degree,Directed,697,,2
7,3,degree,Directed,698,,18
24,1,degree,Directed,699,,17
7,13,degree,Directed,700,,9
12,2,degree,Directed,701,,20
5,24,degree,Directed,702,,2
20,1,degree,Directed,703,,26
8,11,degree,Directed,704,,7
13,2,degree,Directed,705,,16
8,2,degree,Directed,706,,35
14,7,degree,Directed,707,,5
7,11,degree,Directed,708,,14
5,11,degree,Directed,709,,31
13,7,degree,Directed,710,,6
18,7,degree,Directed,711,,4
16,14,degree,Directed,712,,1
3,7,degree,Directed,713,,28
7,5,degree,Directed,714,,20
17,7,degree,Directed,715,,27
16,21,degree,Directed,716,,3
16,7,degree,Directed,717,,25
16,5,degree,Directed,718,,13
18,17,degree,Directed,719,,5
17,18,degree,Directed,720,,3
16,19,degree,Directed,721,,4
16,11,degree,Directed,722,,15
3,2,degree,Directed,723,,36
3,5,degree,Directed,724,,51
12,9,degree,Directed,725,,2
19,7,degree,Directed,726,,1
20,2,degree,Directed,727,,4
4,2,degree,Directed,728,,41
3,11,degree,Directed,729,,10
20,4,degree,Directed,730,,2
13,8,degree,Directed,731,,9
8,21,degree,Directed,732,,1
2,11,degree,Directed,733,,37
2,3,degree,Directed,734,,21
21,1,degree,Directed,735,,23
1,18,degree,Directed,736,,8
5,21,degree,Directed,737,,3
14,5,degree,Directed,738,,4
17,2,degree,Directed,739,,1
1,15,degree,Directed,740,,3
6,7,degree,Directed,741,,3
2,24,degree,Directed,742,,3
9,2,degree,Directed,743,,8
3,9,degree,Directed,744,,1
11,7,degree,Directed,745,,18
3,8,degree,Directed,746,,5
13,11,degree,Directed,747,,12
10,7,degree,Directed,748,,11
11,8,degree,Directed,749,,10
17,3,degree,Directed,750,,2
2,23,degree,Directed,751,,2
19,5,degree,Directed,752,,8
5,19,degree,Directed,753,,4
19,3,degree,Directed,754,,2
18,11,degree,Directed,755,,4
8,3,degree,Directed,756,,2
12,8,degree,Directed,757,,2
4,5,degree,Directed,758,,7
11,5,degree,Directed,759,,30
24,2,degree,Directed,760,,5
11,14,degree,Directed,761,,2
23,1,degree,Directed,762,,4
5,7,degree,Directed,763,,17
8,16,degree,Directed,764,,1
2,12,degree,Directed,765,,2
12,11,degree,Directed,766,,4
12,7,degree,Directed,767,,12
5,16,degree,Directed,768,,2
16,9,degree,Directed,769,,1
