Source,Target,Kind,Type,Id,Label,Weight,From,Destination,year
1,1,degree,Directed,3,,10084,brazil,brazil,2014
1,1,degree,Directed,7,,3457,brazil,brazil,1998
1,7,degree,Directed,10,,56,brazil,spain,2001
1,1,degree,Directed,15,,3024,brazil,brazil,1997
1,1,degree,Directed,23,,10836,brazil,brazil,2011
1,1,degree,Directed,27,,12085,brazil,brazil,2012
1,5,degree,Directed,33,,115,brazil,united kingdom,1995
1,2,degree,Directed,39,,44,brazil,united states,2014
1,1,degree,Directed,43,,9408,brazil,brazil,2008
2,1,degree,Directed,48,,9,united states,brazil,1976
1,1,degree,Directed,86,,10012,brazil,brazil,2010
1,1,degree,Directed,92,,8764,brazil,brazil,2007
1,1,degree,Directed,126,,13028,brazil,brazil,2013
1,1,degree,Directed,135,,4055,brazil,brazil,1999
1,7,degree,Directed,140,,53,brazil,spain,1999
1,1,degree,Directed,145,,9969,brazil,brazil,2009
1,1,degree,Directed,149,,1362,brazil,brazil,1992
1,5,degree,Directed,154,,68,brazil,united kingdom,1991
1,1,degree,Directed,160,,8356,brazil,brazil,2006
1,1,degree,Directed,165,,6021,brazil,brazil,2002
1,1,degree,Directed,169,,2530,brazil,brazil,1996
1,1,degree,Directed,174,,4585,brazil,brazil,2000
1,1,degree,Directed,184,,7290,brazil,brazil,2004
1,11,degree,Directed,198,,22,brazil,france,2002
1,1,degree,Directed,208,,2083,brazil,brazil,1995
1,7,degree,Directed,223,,9,brazil,spain,1989
1,1,degree,Directed,228,,5338,brazil,brazil,2001
1,1,degree,Directed,288,,8005,brazil,brazil,2005
1,1,degree,Directed,335,,7210,brazil,brazil,2003
1,1,degree,Directed,354,,782,brazil,brazil,1988
1,1,degree,Directed,359,,1400,brazil,brazil,1993
1,1,degree,Directed,378,,185,brazil,brazil,1975
8,1,degree,Directed,643,,3,germany,brazil,2013
1,20,degree,Directed,694,,6,brazil,australia,2014
2,1,degree,Directed,971,,24,united states,brazil,2013
1,1,birth,Directed,1088,,96,brazil,brazil,2000
5,1,degree,Directed,1112,,9,united kingdom,brazil,1998
1,1,birth,Directed,1365,,72,brazil,brazil,2010
1,1,degree,Directed,1385,,1779,brazil,brazil,1994
1,1,birth,Directed,1421,,138,brazil,brazil,2001
5,1,degree,Directed,1475,,14,united kingdom,brazil,2004
4,4,degree,Directed,1540,,1,canada,canada,2000
7,1,degree,Directed,1666,,9,spain,brazil,2011
4,4,degree,Directed,1668,,3,canada,canada,1983
11,1,degree,Directed,1709,,6,france,brazil,2012
1,12,degree,Directed,1760,,4,brazil,chile,2014
1,2,degree,Directed,1804,,86,brazil,united states,1998
1,11,degree,Directed,1822,,25,brazil,france,2011
11,11,degree,Directed,1841,,24,france,france,2008
1,4,degree,Directed,1846,,15,brazil,canada,1995
19,1,degree,Directed,1855,,2,belgium,brazil,1995
1,14,degree,Directed,1867,,7,brazil,netherlands,2012
1,11,degree,Directed,1891,,25,brazil,france,2007
1,2,degree,Directed,1898,,69,brazil,united states,2005
1,2,degree,Directed,1923,,75,brazil,united states,2004
1,7,degree,Directed,1948,,62,brazil,spain,2005
1,7,degree,Directed,1951,,39,brazil,spain,1995
1,1,degree,Directed,1987,,997,brazil,brazil,1990
1,3,degree,Directed,2011,,53,brazil,portugal,2012
1,2,degree,Directed,2014,,67,brazil,united states,2002
1,3,degree,Directed,2022,,22,brazil,portugal,2004
1,2,degree,Directed,2080,,68,brazil,united states,2008
1,5,degree,Directed,2125,,57,brazil,united kingdom,1989
1,8,degree,Directed,2141,,6,brazil,germany,2001
1,5,degree,Directed,2152,,87,brazil,united kingdom,1996
1,11,degree,Directed,2189,,44,brazil,france,1985
1,11,degree,Directed,2209,,29,brazil,france,1989
1,2,degree,Directed,2225,,65,brazil,united states,2010
1,1,degree,Directed,2233,,241,brazil,brazil,1978
1,13,degree,Directed,2241,,12,brazil,italy,2013
1,3,degree,Directed,2258,,50,brazil,portugal,2010
