id,oX,oY,dX,dY,trips
2,-14.235004,-51.92528,37.09024,-95.712891,34
3,-14.235004,-51.92528,55.378051,-3.435973,39
4,-14.235004,-51.92528,56.130366,-106.346771,4
5,-14.235004,-51.92528,46.227638,2.213749,25
7,-14.235004,-51.92528,50.503887,4.469936,1
9,-14.235004,-51.92528,51.165691,10.451526,6
24,40.46366700000001,-3.74922,-14.235004,-51.92528,1
48,37.09024,-95.712891,-14.235004,-51.92528,9
61,37.09024,-95.712891,-38.416097,-63.61667199999999,1
72,55.378051,-3.435973,-14.235004,-51.92528,3
74,55.378051,-3.435973,37.09024,-95.712891,1
98,56.130366,-106.346771,37.09024,-95.712891,1
312,-38.416097,-63.61667199999999,-14.235004,-51.92528,1
360,-35.675147,-71.542969,-14.235004,-51.92528,1
408,41.87194,12.56738,-14.235004,-51.92528,1
441,-9.189967,-75.015152,51.165691,10.451526,1
