Source,Target,Kind,Type,Id,Label,Weight
7,1,work,Directed,485,,7.4821189235521155
5,1,work,Directed,486,,7.8383433155571165
4,1,work,Directed,487,,6.715383386334681
3,1,work,Directed,488,,7.1929342212158
19,1,work,Directed,489,,5.1298987149230735
2,1,work,Directed,490,,8.734721003944811
1,3,work,Directed,491,,3.4657359027997265
20,1,work,Directed,492,,4.820281565605037
1,10,work,Directed,493,,3.332204510175204
11,1,work,Directed,494,,7.729295674310482
8,1,work,Directed,495,,6.668228248417403
13,1,work,Directed,496,,6.042632833682381
5,12,work,Directed,497,,0.0
2,6,work,Directed,498,,1.791759469228055
14,1,work,Directed,499,,5.056245805348308
23,1,work,Directed,500,,2.9444389791664403
1,8,work,Directed,501,,1.9459101490553132
1,2,work,Directed,502,,4.48863636973214
1,5,work,Directed,503,,3.4339872044851463
1,6,work,Directed,504,,2.833213344056216
16,1,work,Directed,505,,5.337538079701318
9,1,work,Directed,506,,4.204692619390966
1,4,work,Directed,507,,2.9444389791664403
21,1,work,Directed,508,,4.07753744390572
22,1,work,Directed,509,,2.3978952727983707
24,1,work,Directed,510,,3.912023005428146
1,11,work,Directed,511,,3.258096538021482
6,1,work,Directed,512,,2.70805020110221
12,1,work,Directed,513,,3.9889840465642745
17,1,work,Directed,514,,4.330733340286331
1,16,work,Directed,515,,2.9444389791664403
1,18,work,Directed,516,,2.3978952727983707
1,17,work,Directed,517,,2.3978952727983707
2,5,work,Directed,518,,2.6390573296152584
11,7,work,Directed,519,,1.0986122886681098
7,18,work,Directed,520,,0.6931471805599453
21,2,work,Directed,521,,0.0
7,16,work,Directed,522,,1.791759469228055
2,16,work,Directed,523,,0.6931471805599453
2,3,work,Directed,524,,3.044522437723423
5,3,work,Directed,525,,3.6109179126442243
9,12,work,Directed,526,,0.0
5,4,work,Directed,527,,1.791759469228055
5,7,work,Directed,528,,1.791759469228055
2,7,work,Directed,529,,2.1972245773362196
19,2,work,Directed,530,,0.6931471805599453
11,3,work,Directed,531,,1.9459101490553132
11,12,work,Directed,532,,0.0
14,3,work,Directed,533,,1.0986122886681098
18,1,work,Directed,534,,2.302585092994046
5,16,work,Directed,535,,0.0
14,7,work,Directed,536,,0.0
1,20,work,Directed,537,,2.0794415416798357
1,21,work,Directed,538,,0.6931471805599453
1,15,work,Directed,539,,2.302585092994046
1,7,work,Directed,540,,3.2188758248682006
1,12,work,Directed,541,,2.9444389791664403
11,16,work,Directed,542,,1.0986122886681098
8,7,work,Directed,543,,1.0986122886681098
8,11,work,Directed,544,,0.6931471805599453
7,6,work,Directed,545,,1.0986122886681098
13,11,work,Directed,546,,0.6931471805599453
18,3,work,Directed,547,,0.0
5,2,work,Directed,548,,2.1972245773362196
5,19,work,Directed,549,,0.0
7,2,work,Directed,550,,1.0986122886681098
1,19,work,Directed,551,,1.0986122886681098
4,5,work,Directed,552,,1.3862943611198906
8,12,work,Directed,553,,0.0
2,12,work,Directed,554,,1.0986122886681098
4,3,work,Directed,555,,0.0
2,14,work,Directed,556,,1.3862943611198906
20,2,work,Directed,557,,1.0986122886681098
1,14,work,Directed,558,,1.791759469228055
5,11,work,Directed,559,,1.3862943611198906
2,4,work,Directed,560,,2.70805020110221
11,20,work,Directed,561,,0.0
2,20,work,Directed,562,,1.0986122886681098
4,2,work,Directed,563,,1.3862943611198906
21,14,work,Directed,564,,0.6931471805599453
1,9,work,Directed,565,,0.0
5,10,work,Directed,566,,1.3862943611198906
10,1,work,Directed,567,,2.3978952727983707
10,2,work,Directed,568,,0.0
7,10,work,Directed,569,,1.3862943611198906
11,18,work,Directed,570,,0.0
15,1,work,Directed,571,,1.0986122886681098
3,16,work,Directed,572,,0.0
7,3,work,Directed,573,,2.302585092994046
9,7,work,Directed,574,,0.0
7,17,work,Directed,575,,1.791759469228055
2,8,work,Directed,576,,0.6931471805599453
20,5,work,Directed,577,,0.6931471805599453
19,11,work,Directed,578,,1.0986122886681098
2,11,work,Directed,579,,1.791759469228055
3,11,work,Directed,580,,0.0
9,2,work,Directed,581,,0.0
16,6,work,Directed,582,,1.3862943611198906
11,6,work,Directed,583,,1.0986122886681098
1,23,work,Directed,584,,0.0
14,5,work,Directed,585,,0.0
11,10,work,Directed,586,,0.0
11,2,work,Directed,587,,0.0
10,3,work,Directed,588,,0.0
23,6,work,Directed,589,,0.0
7,15,work,Directed,590,,0.0
11,4,work,Directed,591,,1.0986122886681098
8,3,work,Directed,592,,1.0986122886681098
9,5,work,Directed,593,,0.6931471805599453
21,12,work,Directed,594,,0.0
4,8,work,Directed,595,,0.6931471805599453
4,20,work,Directed,596,,0.0
1,22,work,Directed,597,,1.0986122886681098
5,20,work,Directed,598,,0.0
14,9,work,Directed,599,,0.0
7,11,work,Directed,600,,0.6931471805599453
5,18,work,Directed,601,,0.0
8,2,work,Directed,602,,0.6931471805599453
2,9,work,Directed,603,,0.0
2,13,work,Directed,604,,1.0986122886681098
7,13,work,Directed,605,,0.0
7,24,work,Directed,606,,0.0
13,7,work,Directed,607,,0.0
13,5,work,Directed,608,,0.6931471805599453
2,23,work,Directed,609,,0.0
13,16,work,Directed,610,,0.0
16,2,work,Directed,611,,0.0
13,3,work,Directed,612,,0.6931471805599453
16,11,work,Directed,613,,0.0
7,5,work,Directed,614,,0.0
3,5,work,Directed,615,,0.6931471805599453
11,5,work,Directed,616,,0.0
5,17,work,Directed,617,,0.0
24,11,work,Directed,618,,0.0
5,6,work,Directed,619,,0.0
21,5,work,Directed,620,,0.0
7,12,work,Directed,621,,0.0
14,13,work,Directed,622,,0.0
8,5,work,Directed,623,,0.0
12,7,work,Directed,624,,0.0
20,12,work,Directed,625,,0.0
10,5,work,Directed,626,,0.0
9,10,work,Directed,627,,0.0
2,10,work,Directed,628,,0.0
19,3,work,Directed,629,,0.0
16,10,work,Directed,630,,0.0
