Source,Target,Kind,Type,Id,Label,Weight
7,1,work,Directed,485,,1776
5,1,work,Directed,486,,2536
4,1,work,Directed,487,,825
3,1,work,Directed,488,,1330
19,1,work,Directed,489,,169
2,1,work,Directed,490,,6215
1,3,work,Directed,491,,32
20,1,work,Directed,492,,124
1,10,work,Directed,493,,28
11,1,work,Directed,494,,2274
8,1,work,Directed,495,,787
13,1,work,Directed,496,,421
5,12,work,Directed,497,,1
2,6,work,Directed,498,,6
14,1,work,Directed,499,,157
23,1,work,Directed,500,,19
1,8,work,Directed,501,,7
1,2,work,Directed,502,,89
1,5,work,Directed,503,,31
1,6,work,Directed,504,,17
16,1,work,Directed,505,,208
9,1,work,Directed,506,,67
1,4,work,Directed,507,,19
21,1,work,Directed,508,,59
22,1,work,Directed,509,,11
24,1,work,Directed,510,,50
1,11,work,Directed,511,,26
6,1,work,Directed,512,,15
12,1,work,Directed,513,,54
17,1,work,Directed,514,,76
1,16,work,Directed,515,,19
1,18,work,Directed,516,,11
1,17,work,Directed,517,,11
2,5,work,Directed,518,,14
11,7,work,Directed,519,,3
7,18,work,Directed,520,,2
21,2,work,Directed,521,,1
7,16,work,Directed,522,,6
2,16,work,Directed,523,,2
2,3,work,Directed,524,,21
5,3,work,Directed,525,,37
9,12,work,Directed,526,,1
5,4,work,Directed,527,,6
5,7,work,Directed,528,,6
2,7,work,Directed,529,,9
19,2,work,Directed,530,,2
11,3,work,Directed,531,,7
11,12,work,Directed,532,,1
14,3,work,Directed,533,,3
18,1,work,Directed,534,,10
5,16,work,Directed,535,,1
14,7,work,Directed,536,,1
1,20,work,Directed,537,,8
1,21,work,Directed,538,,2
1,15,work,Directed,539,,10
1,7,work,Directed,540,,25
1,12,work,Directed,541,,19
11,16,work,Directed,542,,3
8,7,work,Directed,543,,3
8,11,work,Directed,544,,2
7,6,work,Directed,545,,3
13,11,work,Directed,546,,2
18,3,work,Directed,547,,1
5,2,work,Directed,548,,9
5,19,work,Directed,549,,1
7,2,work,Directed,550,,3
1,19,work,Directed,551,,3
4,5,work,Directed,552,,4
8,12,work,Directed,553,,1
2,12,work,Directed,554,,3
4,3,work,Directed,555,,1
2,14,work,Directed,556,,4
20,2,work,Directed,557,,3
1,14,work,Directed,558,,6
5,11,work,Directed,559,,4
2,4,work,Directed,560,,15
11,20,work,Directed,561,,1
2,20,work,Directed,562,,3
4,2,work,Directed,563,,4
21,14,work,Directed,564,,2
1,9,work,Directed,565,,1
5,10,work,Directed,566,,4
10,1,work,Directed,567,,11
10,2,work,Directed,568,,1
7,10,work,Directed,569,,4
11,18,work,Directed,570,,1
15,1,work,Directed,571,,3
3,16,work,Directed,572,,1
7,3,work,Directed,573,,10
9,7,work,Directed,574,,1
7,17,work,Directed,575,,6
2,8,work,Directed,576,,2
20,5,work,Directed,577,,2
19,11,work,Directed,578,,3
2,11,work,Directed,579,,6
3,11,work,Directed,580,,1
9,2,work,Directed,581,,1
16,6,work,Directed,582,,4
11,6,work,Directed,583,,3
1,23,work,Directed,584,,1
14,5,work,Directed,585,,1
11,10,work,Directed,586,,1
11,2,work,Directed,587,,1
10,3,work,Directed,588,,1
23,6,work,Directed,589,,1
7,15,work,Directed,590,,1
11,4,work,Directed,591,,3
8,3,work,Directed,592,,3
9,5,work,Directed,593,,2
21,12,work,Directed,594,,1
4,8,work,Directed,595,,2
4,20,work,Directed,596,,1
1,22,work,Directed,597,,3
5,20,work,Directed,598,,1
14,9,work,Directed,599,,1
7,11,work,Directed,600,,2
5,18,work,Directed,601,,1
8,2,work,Directed,602,,2
2,9,work,Directed,603,,1
2,13,work,Directed,604,,3
7,13,work,Directed,605,,1
7,24,work,Directed,606,,1
13,7,work,Directed,607,,1
13,5,work,Directed,608,,2
2,23,work,Directed,609,,1
13,16,work,Directed,610,,1
16,2,work,Directed,611,,1
13,3,work,Directed,612,,2
16,11,work,Directed,613,,1
7,5,work,Directed,614,,1
3,5,work,Directed,615,,2
11,5,work,Directed,616,,1
5,17,work,Directed,617,,1
24,11,work,Directed,618,,1
5,6,work,Directed,619,,1
21,5,work,Directed,620,,1
7,12,work,Directed,621,,1
14,13,work,Directed,622,,1
8,5,work,Directed,623,,1
12,7,work,Directed,624,,1
20,12,work,Directed,625,,1
10,5,work,Directed,626,,1
9,10,work,Directed,627,,1
2,10,work,Directed,628,,1
19,3,work,Directed,629,,1
16,10,work,Directed,630,,1
