Source,Target,Kind,Type,Id,Label,Weight
1,7,degree,Directed,1,,2737
7,1,work,Directed,2,,1776
1,2,degree,Directed,3,,8999
2,1,degree,Directed,4,,2044
1,5,degree,Directed,5,,3643
5,1,degree,Directed,6,,830
5,1,work,Directed,7,,2536
5,2,degree,Directed,8,,196
5,4,degree,Directed,9,,24
4,1,work,Directed,10,,825
1,11,degree,Directed,11,,3292
11,1,degree,Directed,12,,995
1,3,degree,Directed,13,,1811
3,1,work,Directed,14,,1330
1,4,degree,Directed,15,,1104
15,1,birth,Directed,16,,785
1,19,degree,Directed,17,,248
19,1,work,Directed,18,,169
6,1,degree,Directed,19,,83
2,1,work,Directed,20,,6215
10,1,birth,Directed,21,,291
17,1,birth,Directed,22,,161
1,3,work,Directed,23,,32
1,8,degree,Directed,24,,999
8,1,degree,Directed,25,,350
1,20,degree,Directed,26,,161
20,1,work,Directed,27,,124
49,1,birth,Directed,28,,143
16,1,birth,Directed,29,,468
10,1,degree,Directed,30,,296
1,10,work,Directed,31,,28
3,1,degree,Directed,32,,323
6,1,birth,Directed,33,,156
56,1,birth,Directed,34,,3
16,22,birth,Directed,35,,38
22,1,degree,Directed,36,,61
16,1,degree,Directed,37,,484
1,9,birth,Directed,38,,16
9,1,degree,Directed,39,,107
97,1,birth,Directed,40,,1
15,7,birth,Directed,41,,7
7,1,degree,Directed,42,,652
11,1,birth,Directed,43,,177
1,12,degree,Directed,44,,100
12,1,birth,Directed,45,,264
2,7,degree,Directed,46,,28
19,1,degree,Directed,47,,83
1,14,degree,Directed,48,,197
14,1,degree,Directed,49,,43
11,1,work,Directed,50,,2274
2,5,degree,Directed,51,,154
2,1,birth,Directed,52,,133
8,1,work,Directed,53,,787
5,13,degree,Directed,54,,7
13,1,work,Directed,55,,421
11,4,degree,Directed,56,,36
1,3,birth,Directed,57,,85
1,13,degree,Directed,58,,605
4,1,degree,Directed,59,,213
5,12,work,Directed,60,,1
19,4,degree,Directed,61,,5
1,2,birth,Directed,62,,456
57,1,birth,Directed,63,,11
2,4,degree,Directed,64,,54
48,1,birth,Directed,65,,8
2,6,work,Directed,66,,6
1,16,degree,Directed,67,,312
93,1,birth,Directed,68,,5
13,1,degree,Directed,69,,262
31,1,birth,Directed,70,,18
55,1,birth,Directed,71,,62
1,11,birth,Directed,72,,259
8,1,birth,Directed,73,,172
43,1,birth,Directed,74,,55
14,1,work,Directed,75,,157
15,1,degree,Directed,76,,217
28,1,birth,Directed,77,,60
1,23,degree,Directed,78,,27
23,1,work,Directed,79,,19
1,16,birth,Directed,80,,36
7,1,birth,Directed,81,,109
1,8,work,Directed,82,,7
22,1,birth,Directed,83,,2
1,2,work,Directed,84,,89
1,5,birth,Directed,85,,159
1,5,work,Directed,86,,31
14,1,birth,Directed,87,,28
7,2,degree,Directed,88,,42
13,8,birth,Directed,89,,3
1,12,birth,Directed,90,,24
12,1,degree,Directed,91,,173
69,1,birth,Directed,92,,31
5,1,birth,Directed,93,,53
3,1,birth,Directed,94,,122
13,1,birth,Directed,95,,158
1,10,degree,Directed,96,,14
1,6,work,Directed,97,,17
