id,oX,oY,dX,dY,trips
1,-14.235004,-51.92528,40.46366700000001,-3.74922,53
2,-14.235004,-51.92528,37.09024,-95.712891,75
3,-14.235004,-51.92528,55.378051,-3.435973,60
4,-14.235004,-51.92528,56.130366,-106.346771,8
5,-14.235004,-51.92528,46.227638,2.213749,47
6,-14.235004,-51.92528,39.39987199999999,-8.224454,4
7,-14.235004,-51.92528,50.503887,4.469936,1
9,-14.235004,-51.92528,51.165691,10.451526,14
13,-14.235004,-51.92528,-38.416097,-63.61667199999999,2
16,-14.235004,-51.92528,52.132633,5.291265999999999,2
17,-14.235004,-51.92528,41.87194,12.56738,2
20,-14.235004,-51.92528,46.818188,8.227511999999999,1
22,-14.235004,-51.92528,21.521757,-77.781167,1
24,40.46366700000001,-3.74922,-14.235004,-51.92528,2
27,40.46366700000001,-3.74922,55.378051,-3.435973,2
48,37.09024,-95.712891,-14.235004,-51.92528,18
72,55.378051,-3.435973,-14.235004,-51.92528,8
77,55.378051,-3.435973,46.227638,2.213749,1
80,55.378051,-3.435973,-32.522779,-55.765835,1
120,46.227638,2.213749,-14.235004,-51.92528,8
144,39.39987199999999,-8.224454,-14.235004,-51.92528,2
147,39.39987199999999,-8.224454,55.378051,-3.435973,1
192,-32.522779,-55.765835,-14.235004,-51.92528,1
207,-32.522779,-55.765835,-35.675147,-71.542969,1
216,51.165691,10.451526,-14.235004,-51.92528,1
240,-25.274398,133.775136,-14.235004,-51.92528,1
264,4.570868,-74.297333,-14.235004,-51.92528,1
265,4.570868,-74.297333,40.46366700000001,-3.74922,1
279,4.570868,-74.297333,-35.675147,-71.542969,1
312,-38.416097,-63.61667199999999,-14.235004,-51.92528,5
336,36.204824,138.252924,-14.235004,-51.92528,1
360,-35.675147,-71.542969,-14.235004,-51.92528,2
408,41.87194,12.56738,-14.235004,-51.92528,4
528,21.521757,-77.781167,-14.235004,-51.92528,2
554,6.42375,-66.58973,37.09024,-95.712891,1
