names,brazil,spain,united states,united kingdom,canada,france,portugal,belgium,uruguay,germany,australia,colombia,belize,argentina,japan,chile,netherlands,italy,peru,denmark,switzerland,sweden,cuba,venezuela
brazil,161300,1194,2605,1736,295,1264,620,69,7,466,63,5,15,97,47,12,72,174,1,7,20,25,18,1
spain,102,676,2,6,0,3,3,1,0,2,0,0,0,2,1,0,0,2,0,0,0,0,0,0
united states,699,9,1445,53,12,13,4,0,0,6,3,0,0,3,1,0,0,1,0,1,0,0,0,0
united kingdom,255,5,19,445,3,9,6,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0
canada,53,0,17,3,77,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
france,228,4,7,10,0,735,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
portugal,74,15,5,30,0,4,361,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
belgium,25,0,2,4,3,1,0,45,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
uruguay,20,1,3,1,0,1,0,0,10,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
germany,69,0,5,1,0,1,0,0,0,201,0,0,0,0,0,0,2,1,0,0,0,1,0,0
australia,4,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
colombia,91,6,3,2,0,1,0,0,0,1,1,17,0,3,0,3,0,0,0,0,0,0,0,1
belize,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
argentina,117,8,16,3,0,3,0,0,0,0,0,0,0,203,0,0,0,2,0,0,0,0,1,0
japan,18,0,0,1,0,0,0,0,0,1,0,0,0,0,31,0,1,0,0,0,0,0,0,0
chile,55,8,11,3,0,1,0,1,0,0,0,0,0,1,2,29,0,2,0,0,0,0,0,0
netherlands,8,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
italy,68,2,3,2,0,6,2,0,0,3,0,0,0,1,0,0,0,175,0,0,2,0,0,0
peru,37,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
denmark,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0
switzerland,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0
sweden,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
cuba,65,10,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,102,3
venezuela,24,4,6,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14
