source,target,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
brazil,brazil,3,5,3,6,10,5,7,8,17,12,23,23,22,26,27,24,37,74,95,88,110,127,273,328,208,185,233,216,241,286,331,330,380,399,448,578,598,661,782,888,997,1136,1362,1400,1779,2083,2530,3024,3457,4055,4585,5338,6021,7210,7290,8005,8356,8764,9408,9969,10012,10836,12085,13028
brazil,spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,3,0,2,0,1,2,3,1,4,7,9,9,12,33,25,17,39,38,39,35,53,49,56,66,74,62,62,43,53,53,42,53,61,67,56
brazil,united states,1,0,1,0,1,0,0,1,2,1,0,1,1,2,3,2,1,5,8,8,19,11,20,25,23,28,28,45,45,47,68,50,34,68,44,54,58,57,41,40,47,60,64,87,64,96,91,80,86,75,82,80,67,75,75,69,74,72,68,47,65,56,70,57
brazil,united kingdom,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,4,6,1,6,8,10,15,12,14,30,34,39,44,34,29,48,41,42,57,48,68,93,89,101,115,87,70,49,60,49,32,39,28,38,36,34,25,28,34,32,29,25,24
brazil,canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,4,1,4,4,7,4,3,3,4,3,1,2,4,5,2,12,14,11,15,15,10,10,8,13,8,9,6,15,11,6,4,8,14,8,10,11,11
brazil,france,1,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,1,4,4,2,4,4,7,10,8,10,4,9,9,13,23,20,25,27,24,44,20,26,20,29,33,46,54,59,56,63,76,38,50,47,35,25,22,35,17,26,22,25,29,23,26,25,32,28
brazil,portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3,7,1,14,8,10,8,4,18,16,17,24,22,17,42,26,39,38,50,50,53,79
brazil,belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,2,1,1,1,1,2,0,0,0,1,1,4,1,1,3,5,3,1,1,1,3,1,3,3,0,1,0,0,0,4,0,2,4,6
brazil,uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0
brazil,germany,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,2,2,2,1,4,5,8,2,4,5,7,8,6,5,7,14,9,6,12,13,9,12,7,25,19,17,20,20,14,14,7,6,11,10,19,14,19,11,8,13,18,10,12,15
