Source,Target,Kind,Type,Id,Label,Weight
1,15,degree,Directed,40744,,351
15,116,degree,Directed,40745,,20
13,1,degree,Directed,40746,,306
1,5,degree,Directed,40747,,870
5,5,degree,Directed,40748,,57236
121,43,degree,Directed,40749,,22
43,238,degree,Directed,40750,,5
20,20,degree,Directed,40751,,2905
20,13,degree,Directed,40752,,2506
180,13,degree,Directed,40753,,201
13,13,degree,Directed,40754,,32770
52,52,degree,Directed,40755,,2380
52,168,degree,Directed,40756,,33
54,221,degree,Directed,40757,,2
221,54,degree,Directed,40758,,1
54,54,degree,Directed,40759,,12472
1,1,degree,Directed,40760,,7157
1,107,degree,Directed,40761,,12
107,36,degree,Directed,40762,,15
36,169,degree,Directed,40763,,15
213,213,degree,Directed,40764,,18
213,1,degree,Directed,40765,,33
1,138,degree,Directed,40766,,1
139,1,degree,Directed,40767,,36
60,281,degree,Directed,40768,,6
281,101,degree,Directed,40769,,1
101,5,degree,Directed,40770,,10
1,59,degree,Directed,40771,,63
59,5,degree,Directed,40772,,1196
5,59,degree,Directed,40773,,2814
42,1,degree,Directed,40774,,123
1,42,degree,Directed,40775,,72
42,60,degree,Directed,40776,,780
60,60,degree,Directed,40777,,16840
202,1,degree,Directed,40778,,130
1,10,degree,Directed,40779,,29
50,1,degree,Directed,40780,,125
1,50,degree,Directed,40781,,108
50,25,degree,Directed,40782,,232
25,5,degree,Directed,40783,,4116
1,70,degree,Directed,40784,,2
70,15,degree,Directed,40785,,71
15,70,degree,Directed,40786,,21
70,51,degree,Directed,40787,,16
42,42,degree,Directed,40788,,2037
1,202,degree,Directed,40789,,39
1,116,degree,Directed,40790,,101
116,1,degree,Directed,40791,,189
15,1,degree,Directed,40792,,793
9,1,degree,Directed,40793,,121
254,1,degree,Directed,40794,,3
60,1,degree,Directed,40795,,547
1,60,degree,Directed,40796,,508
211,1,degree,Directed,40797,,2
111,1,degree,Directed,40798,,42
1,111,degree,Directed,40799,,27
111,111,degree,Directed,40800,,2794
15,5,degree,Directed,40801,,1483
1,85,degree,Directed,40802,,35
28,1,degree,Directed,40803,,400
1,169,degree,Directed,40804,,4
169,115,degree,Directed,40805,,2
13,258,degree,Directed,40806,,136
258,13,degree,Directed,40807,,137
80,1,degree,Directed,40808,,27
1,80,degree,Directed,40809,,3
80,80,degree,Directed,40810,,897
5,1,degree,Directed,40811,,386
17,75,degree,Directed,40812,,33
75,54,degree,Directed,40813,,551
1,36,degree,Directed,40814,,303
36,36,degree,Directed,40815,,16037
90,320,degree,Directed,40816,,2
320,1,degree,Directed,40817,,2
1,320,degree,Directed,40818,,6
51,1,degree,Directed,40819,,145
28,350,degree,Directed,40820,,2
350,1,degree,Directed,40821,,6
1,13,degree,Directed,40822,,331
52,144,degree,Directed,40823,,24
144,36,degree,Directed,40824,,7
166,1,degree,Directed,40825,,5
25,36,degree,Directed,40826,,1609
36,1,degree,Directed,40827,,153
5,104,degree,Directed,40828,,71
49,1,degree,Directed,40829,,81
1,257,degree,Directed,40830,,13
257,1,degree,Directed,40831,,26
1,115,degree,Directed,40832,,5
16,1,degree,Directed,40833,,23
1,16,degree,Directed,40834,,2
16,18,degree,Directed,40835,,13
1,25,degree,Directed,40836,,154
347,347,degree,Directed,40837,,26
347,1,degree,Directed,40838,,80
1,9,degree,Directed,40839,,104
27,27,degree,Directed,40840,,3026
27,1,degree,Directed,40841,,75
1,168,degree,Directed,40842,,66
60,13,degree,Directed,40843,,642
1,28,degree,Directed,40844,,58
225,5,degree,Directed,40845,,41
94,1,degree,Directed,40846,,64
15,15,degree,Directed,40847,,7969
1,71,degree,Directed,40848,,27
71,71,degree,Directed,40849,,2095
1,109,degree,Directed,40850,,8
23,5,degree,Directed,40851,,20
50,50,degree,Directed,40852,,13489
16,199,degree,Directed,40853,,12
199,1,degree,Directed,40854,,4
54,75,degree,Directed,40855,,318
75,1,degree,Directed,40856,,121
116,116,degree,Directed,40857,,118
10,25,degree,Directed,40858,,413
25,1,degree,Directed,40859,,113
5,60,degree,Directed,40860,,517
60,2,degree,Directed,40861,,14
17,13,degree,Directed,40862,,121
39,5,degree,Directed,40863,,352
108,1,degree,Directed,40864,,21
119,1,degree,Directed,40865,,27
28,60,degree,Directed,40866,,1271
10,36,degree,Directed,40867,,253
116,17,degree,Directed,40868,,4
17,1,degree,Directed,40869,,57
43,43,degree,Directed,40870,,587
43,1,degree,Directed,40871,,67
228,1,degree,Directed,40872,,194
248,80,degree,Directed,40873,,1
80,10,degree,Directed,40874,,3
10,1,degree,Directed,40875,,110
94,94,degree,Directed,40876,,247
49,13,degree,Directed,40877,,410
13,49,degree,Directed,40878,,204
49,3,degree,Directed,40879,,8
163,163,degree,Directed,40880,,245
163,1,degree,Directed,40881,,56
60,43,degree,Directed,40882,,309
43,13,degree,Directed,40883,,34
14,1,degree,Directed,40884,,147
1,3,degree,Directed,40885,,20
93,93,degree,Directed,40886,,689
93,1,degree,Directed,40887,,56
347,139,degree,Directed,40888,,2
9,123,degree,Directed,40889,,38
123,5,degree,Directed,40890,,385
139,139,degree,Directed,40891,,66
139,28,degree,Directed,40892,,31
33,33,degree,Directed,40893,,226
33,1,degree,Directed,40894,,64
18,18,degree,Directed,40895,,1887
18,1,degree,Directed,40896,,46
42,14,degree,Directed,40897,,89
1,184,degree,Directed,40898,,1
184,1,degree,Directed,40899,,3
116,15,degree,Directed,40900,,35
228,36,degree,Directed,40901,,31
163,15,degree,Directed,40902,,264
70,1,degree,Directed,40903,,16
15,9,degree,Directed,40904,,139
1,284,degree,Directed,40905,,7
164,1,degree,Directed,40906,,9
60,15,degree,Directed,40907,,216
5,168,degree,Directed,40908,,828
168,25,degree,Directed,40909,,361
5,3,degree,Directed,40910,,52
28,28,degree,Directed,40911,,2885
257,257,degree,Directed,40912,,10
9,5,degree,Directed,40913,,819
5,9,degree,Directed,40914,,384
60,248,degree,Directed,40915,,28
248,1,degree,Directed,40916,,23
1,248,degree,Directed,40917,,5
