Source,Target,Kind,Type,Id,Label,Weight
2079,1,all,Directed,108969,,1.0
1,284,all,Directed,108970,,1.0
284,641,all,Directed,108971,,2.449489742783178
641,324,all,Directed,108972,,1.0
170,1,all,Directed,108973,,1.0
1,48,all,Directed,108974,,1.0
48,48,all,Directed,108975,,20.049937655763422
3083,648,all,Directed,108976,,3.0
648,350,all,Directed,108977,,4.795831523312719
350,891,all,Directed,108978,,2.23606797749979
891,1440,all,Directed,108979,,2.23606797749979
2157,244,all,Directed,108980,,26.229754097208
244,244,all,Directed,108981,,53.23532661682466
244,159,all,Directed,108982,,36.72873534441391
159,316,all,Directed,108983,,25.179356624028344
2125,811,all,Directed,108984,,1.4142135623730951
811,170,all,Directed,108985,,3.872983346207417
170,182,all,Directed,108986,,3.1622776601683795
6165,620,all,Directed,108987,,1.4142135623730951
620,619,all,Directed,108988,,16.792855623746664
619,619,all,Directed,108989,,41.892720131306824
619,777,all,Directed,108990,,5.477225575051661
2212,432,all,Directed,108991,,3.4641016151377544
432,871,all,Directed,108992,,1.4142135623730951
871,435,all,Directed,108993,,1.0
435,432,all,Directed,108994,,18.81488772222678
432,1351,all,Directed,108995,,2.449489742783178
2167,2,all,Directed,108996,,29.017236257093817
2,2,all,Directed,108997,,80.83934685535256
2,613,all,Directed,108998,,2.449489742783178
613,418,all,Directed,108999,,3.0
418,787,all,Directed,109000,,3.872983346207417
787,1247,all,Directed,109001,,2.23606797749979
2253,861,all,Directed,109002,,4.898979485566356
861,861,all,Directed,109003,,4.123105625617661
861,2,all,Directed,109004,,4.47213595499958
2,696,all,Directed,109005,,1.0
2283,697,all,Directed,109006,,3.4641016151377544
697,2,all,Directed,109007,,5.830951894845301
2,1255,all,Directed,109008,,9.899494936611665
2002,464,all,Directed,109009,,36.565010597564445
464,960,all,Directed,109010,,1.0
960,602,all,Directed,109011,,1.0
602,18,all,Directed,109012,,2.6457513110645907
18,1247,all,Directed,109013,,15.556349186104045
2,454,all,Directed,109014,,7.681145747868608
454,18,all,Directed,109015,,25.39685019840059
18,18,all,Directed,109016,,187.61396536505484
18,454,all,Directed,109017,,25.179356624028344
454,1247,all,Directed,109018,,6.324555320336759
2703,346,all,Directed,109019,,2.0
346,2,all,Directed,109020,,8.660254037844387
2,345,all,Directed,109021,,1.0
345,458,all,Directed,109022,,2.0
458,458,all,Directed,109023,,102.78132126023678
458,1241,all,Directed,109024,,10.344080432788601
1978,846,all,Directed,109025,,3.605551275463989
846,2,all,Directed,109026,,11.0
2,669,all,Directed,109027,,4.123105625617661
669,1318,all,Directed,109028,,1.0
1970,378,all,Directed,109029,,57.88782255362521
378,2,all,Directed,109030,,8.18535277187245
2,378,all,Directed,109031,,9.695359714832659
378,260,all,Directed,109032,,12.569805089976535
260,18,all,Directed,109033,,56.568542494923804
18,1280,all,Directed,109034,,16.278820596099706
4464,2,all,Directed,109035,,1.0
2,487,all,Directed,109036,,1.4142135623730951
487,297,all,Directed,109037,,1.0
297,487,all,Directed,109038,,1.4142135623730951
487,717,all,Directed,109039,,4.123105625617661
2215,2,all,Directed,109040,,1.0
2,346,all,Directed,109041,,6.4031242374328485
346,346,all,Directed,109042,,40.4103947023535
346,1242,all,Directed,109043,,18.083141320025124
2,846,all,Directed,109044,,5.477225575051661
2,1247,all,Directed,109045,,34.46737587922817
2,641,all,Directed,109046,,6.6332495807108
641,2,all,Directed,109047,,13.2664991614216
2034,284,all,Directed,109048,,19.924858845171276
284,2,all,Directed,109049,,10.04987562112089
2,383,all,Directed,109050,,2.6457513110645907
383,1316,all,Directed,109051,,1.4142135623730951
1978,323,all,Directed,109052,,10.862780491200215
323,2,all,Directed,109053,,9.16515138991168
2275,917,all,Directed,109054,,1.0
