Source,Target,Kind,Type,Id,Label,Weight
2079,1,all,Directed,108969,,1
1,284,all,Directed,108970,,1
284,641,all,Directed,108971,,6
641,324,all,Directed,108972,,1
170,1,all,Directed,108973,,1
1,48,all,Directed,108974,,1
48,48,all,Directed,108975,,402
3083,648,all,Directed,108976,,9
648,350,all,Directed,108977,,23
350,891,all,Directed,108978,,5
891,1440,all,Directed,108979,,5
2157,244,all,Directed,108980,,688
244,244,all,Directed,108981,,2834
244,159,all,Directed,108982,,1349
159,316,all,Directed,108983,,634
2125,811,all,Directed,108984,,2
811,170,all,Directed,108985,,15
170,182,all,Directed,108986,,10
6165,620,all,Directed,108987,,2
620,619,all,Directed,108988,,282
619,619,all,Directed,108989,,1755
619,777,all,Directed,108990,,30
2212,432,all,Directed,108991,,12
432,871,all,Directed,108992,,2
871,435,all,Directed,108993,,1
435,432,all,Directed,108994,,354
432,1351,all,Directed,108995,,6
2167,2,all,Directed,108996,,842
2,2,all,Directed,108997,,6535
2,613,all,Directed,108998,,6
613,418,all,Directed,108999,,9
418,787,all,Directed,109000,,15
787,1247,all,Directed,109001,,5
2253,861,all,Directed,109002,,24
861,861,all,Directed,109003,,17
861,2,all,Directed,109004,,20
2,696,all,Directed,109005,,1
2283,697,all,Directed,109006,,12
697,2,all,Directed,109007,,34
2,1255,all,Directed,109008,,98
2002,464,all,Directed,109009,,1337
464,960,all,Directed,109010,,1
960,602,all,Directed,109011,,1
602,18,all,Directed,109012,,7
18,1247,all,Directed,109013,,242
2,454,all,Directed,109014,,59
454,18,all,Directed,109015,,645
18,18,all,Directed,109016,,35199
18,454,all,Directed,109017,,634
454,1247,all,Directed,109018,,40
2703,346,all,Directed,109019,,4
346,2,all,Directed,109020,,75
2,345,all,Directed,109021,,1
345,458,all,Directed,109022,,4
458,458,all,Directed,109023,,10564
458,1241,all,Directed,109024,,107
1978,846,all,Directed,109025,,13
846,2,all,Directed,109026,,121
2,669,all,Directed,109027,,17
669,1318,all,Directed,109028,,1
1970,378,all,Directed,109029,,3351
378,2,all,Directed,109030,,67
2,378,all,Directed,109031,,94
378,260,all,Directed,109032,,158
260,18,all,Directed,109033,,3200
18,1280,all,Directed,109034,,265
4464,2,all,Directed,109035,,1
2,487,all,Directed,109036,,2
487,297,all,Directed,109037,,1
297,487,all,Directed,109038,,2
487,717,all,Directed,109039,,17
2215,2,all,Directed,109040,,1
2,346,all,Directed,109041,,41
346,346,all,Directed,109042,,1633
346,1242,all,Directed,109043,,327
2,846,all,Directed,109044,,30
2,1247,all,Directed,109045,,1188
2,641,all,Directed,109046,,44
641,2,all,Directed,109047,,176
2034,284,all,Directed,109048,,397
284,2,all,Directed,109049,,101
2,383,all,Directed,109050,,7
383,1316,all,Directed,109051,,2
1978,323,all,Directed,109052,,118
323,2,all,Directed,109053,,84
2275,917,all,Directed,109054,,1
917,2,all,Directed,109055,,2
2,27,all,Directed,109056,,114
27,27,all,Directed,109057,,4482
464,2,all,Directed,109058,,107
2665,346,all,Directed,109059,,2
2,1569,all,Directed,109060,,14
2034,2,all,Directed,109061,,63
2002,458,all,Directed,109062,,3359
458,2,all,Directed,109063,,401
2,458,all,Directed,109064,,335
458,1261,all,Directed,109065,,145
3656,858,all,Directed,109066,,1
858,2,all,Directed,109067,,1
2,8,all,Directed,109068,,68
8,2,all,Directed,109069,,320
2117,633,all,Directed,109070,,1008
633,2,all,Directed,109071,,37
2,633,all,Directed,109072,,25
633,633,all,Directed,109073,,2592
633,1274,all,Directed,109074,,626
2,287,all,Directed,109075,,223
287,18,all,Directed,109076,,754
1971,2,all,Directed,109077,,81
2,557,all,Directed,109078,,16
557,1247,all,Directed,109079,,9
2062,488,all,Directed,109080,,71
488,2,all,Directed,109081,,367
458,1250,all,Directed,109082,,212
2,787,all,Directed,109083,,4
787,640,all,Directed,109084,,2
640,1274,all,Directed,109085,,3
2804,488,all,Directed,109086,,49
2,53,all,Directed,109087,,3
53,18,all,Directed,109088,,46
18,1246,all,Directed,109089,,3
2,18,all,Directed,109090,,579
2792,2,all,Directed,109091,,1
2,1315,all,Directed,109092,,106
2017,159,all,Directed,109093,,26
159,924,all,Directed,109094,,52
924,159,all,Directed,109095,,44
159,159,all,Directed,109096,,13903
2151,549,all,Directed,109097,,762
549,2,all,Directed,109098,,23
2,549,all,Directed,109099,,2
549,549,all,Directed,109100,,808
549,605,all,Directed,109101,,119
1978,103,all,Directed,109102,,39
103,2,all,Directed,109103,,2
2000,705,all,Directed,109104,,597
