Source,Target,Kind,Type,Id,Label,Weight
2079,1,birth,Directed,0,,1
3083,648,birth,Directed,1,,9
2157,244,birth,Directed,2,,688
2125,811,birth,Directed,3,,2
6165,620,birth,Directed,4,,2
2212,432,birth,Directed,5,,12
2167,2,birth,Directed,6,,842
2253,861,birth,Directed,7,,24
2283,697,birth,Directed,8,,12
2002,464,birth,Directed,9,,1337
2703,346,birth,Directed,10,,4
1978,846,birth,Directed,11,,13
1970,378,birth,Directed,12,,3351
4464,2,birth,Directed,13,,1
2215,2,birth,Directed,14,,1
2034,284,birth,Directed,15,,397
1978,323,birth,Directed,16,,118
2275,917,birth,Directed,17,,1
2665,346,birth,Directed,18,,2
2034,2,birth,Directed,19,,63
2002,458,birth,Directed,20,,3359
3656,858,birth,Directed,21,,1
2117,633,birth,Directed,22,,1008
1971,2,birth,Directed,23,,81
2062,488,birth,Directed,24,,71
2804,488,birth,Directed,25,,49
2792,2,birth,Directed,26,,1
2017,159,birth,Directed,27,,26
2151,549,birth,Directed,28,,762
1978,103,birth,Directed,29,,39
2000,705,birth,Directed,30,,597
2002,2,birth,Directed,31,,91
5547,575,birth,Directed,32,,1
2066,717,birth,Directed,33,,593
2208,488,birth,Directed,34,,6
2167,464,birth,Directed,35,,5
2053,619,birth,Directed,36,,776
2863,2,birth,Directed,37,,18
2109,2,birth,Directed,38,,98
2126,772,birth,Directed,39,,2
1978,18,birth,Directed,40,,7566
2402,2,birth,Directed,41,,3
2024,260,birth,Directed,42,,195
2167,8,birth,Directed,43,,141
2361,2,birth,Directed,44,,76
2163,361,birth,Directed,45,,1648
2204,2,birth,Directed,46,,1
2125,488,birth,Directed,47,,1031
2179,700,birth,Directed,48,,135
2245,1040,birth,Directed,49,,46
2058,464,birth,Directed,50,,2
2058,409,birth,Directed,51,,1591
2786,2,birth,Directed,52,,16
2832,458,birth,Directed,53,,10
2026,876,birth,Directed,54,,1
2512,458,birth,Directed,55,,59
3045,593,birth,Directed,56,,1
3280,296,birth,Directed,57,,1
2053,18,birth,Directed,58,,41
2167,287,birth,Directed,59,,20
3354,2,birth,Directed,60,,14
2159,2,birth,Directed,61,,3
2605,2,birth,Directed,62,,1
2300,362,birth,Directed,63,,22
2150,378,birth,Directed,64,,21
2188,488,birth,Directed,65,,55
2367,699,birth,Directed,66,,3
2631,438,birth,Directed,67,,1
2167,641,birth,Directed,68,,46
1971,669,birth,Directed,69,,18
2095,18,birth,Directed,70,,233
2034,287,birth,Directed,71,,1647
2651,2,birth,Directed,72,,110
3503,458,birth,Directed,73,,4
2070,315,birth,Directed,74,,556
2475,627,birth,Directed,75,,3
2943,645,birth,Directed,76,,1
1978,2,birth,Directed,77,,113
2125,491,birth,Directed,78,,26
6406,464,birth,Directed,79,,5
2015,669,birth,Directed,80,,644
3503,641,birth,Directed,81,,1
1970,323,birth,Directed,82,,75
2001,350,birth,Directed,83,,6
5297,488,birth,Directed,84,,18
2437,2,birth,Directed,85,,1
3188,2,birth,Directed,86,,10
2925,8,birth,Directed,87,,1
2031,2,birth,Directed,88,,2
2804,9,birth,Directed,89,,1
3059,921,birth,Directed,90,,2
3480,880,birth,Directed,91,,1
1978,641,birth,Directed,92,,7
2001,458,birth,Directed,93,,61
3045,908,birth,Directed,94,,1
3097,593,birth,Directed,95,,44
2163,362,birth,Directed,96,,312
3301,2,birth,Directed,97,,2
1971,323,birth,Directed,98,,360
3129,766,birth,Directed,99,,6
2347,847,birth,Directed,100,,87
2338,18,birth,Directed,101,,73
2486,589,birth,Directed,102,,215
3443,365,birth,Directed,103,,1
4601,1040,birth,Directed,104,,2
2361,880,birth,Directed,105,,4
2698,697,birth,Directed,106,,4
2202,675,birth,Directed,107,,219
2556,237,birth,Directed,108,,107
2347,346,birth,Directed,109,,710
2536,111,birth,Directed,110,,1
2285,641,birth,Directed,111,,8
2002,9,birth,Directed,112,,6
2243,880,birth,Directed,113,,2
2025,766,birth,Directed,114,,314
3203,487,birth,Directed,115,,1
3205,378,birth,Directed,116,,2
2371,458,birth,Directed,117,,42
2531,641,birth,Directed,118,,11
2129,2,birth,Directed,119,,8
1978,768,birth,Directed,120,,17
1993,9,birth,Directed,121,,2
2024,18,birth,Directed,122,,255
1993,488,birth,Directed,123,,1
2469,846,birth,Directed,124,,1
2445,2,birth,Directed,125,,7
2790,2,birth,Directed,126,,24
2253,464,birth,Directed,127,,4
2469,921,birth,Directed,128,,10
2044,323,birth,Directed,129,,899
2000,458,birth,Directed,130,,3
3743,8,birth,Directed,131,,6
2006,738,birth,Directed,132,,85
2219,270,birth,Directed,133,,128
2253,2,birth,Directed,134,,96
2712,847,birth,Directed,135,,8
2285,880,birth,Directed,136,,13
2726,2,birth,Directed,137,,1
2007,639,birth,Directed,138,,35
3092,648,birth,Directed,139,,2
2542,2,birth,Directed,140,,46
2034,290,birth,Directed,141,,183
2272,458,birth,Directed,142,,19
2034,1043,birth,Directed,143,,1
2125,489,birth,Directed,144,,50
2663,287,birth,Directed,145,,32
2106,2,birth,Directed,146,,7
