Source,Target,Kind,Type,Id,Label,Weight
1978,18,birth,Directed,40,,7566
2053,18,birth,Directed,58,,41
2095,18,birth,Directed,70,,233
2338,18,birth,Directed,101,,73
2024,18,birth,Directed,122,,255
2084,18,birth,Directed,182,,30
2368,18,birth,Directed,366,,3
3485,18,birth,Directed,374,,6
2164,18,birth,Directed,403,,382
3594,18,birth,Directed,488,,14
2463,18,birth,Directed,596,,43
2044,18,birth,Directed,603,,52
1976,18,birth,Directed,612,,79
2219,18,birth,Directed,618,,141
5159,18,birth,Directed,619,,2
4409,18,birth,Directed,623,,3
1999,18,birth,Directed,637,,584
5093,18,birth,Directed,641,,3
3038,18,birth,Directed,649,,6
2289,18,birth,Directed,653,,99
2064,18,birth,Directed,660,,6
2299,18,birth,Directed,666,,38
2091,18,birth,Directed,670,,44
3075,18,birth,Directed,672,,7
2209,18,birth,Directed,676,,85
2078,18,birth,Directed,677,,291
2295,18,birth,Directed,682,,14
2723,18,birth,Directed,698,,12
6866,18,birth,Directed,699,,1
2686,18,birth,Directed,702,,5
2343,18,birth,Directed,707,,45
2855,18,birth,Directed,708,,14
1971,18,birth,Directed,717,,247
3308,18,birth,Directed,724,,2
2015,18,birth,Directed,725,,49
2009,18,birth,Directed,726,,66
2715,18,birth,Directed,729,,12
3175,18,birth,Directed,737,,13
2280,18,birth,Directed,738,,19
2291,18,birth,Directed,741,,11
5703,18,birth,Directed,745,,2
2665,18,birth,Directed,746,,4
2983,18,birth,Directed,749,,12
2556,18,birth,Directed,750,,13
3016,18,birth,Directed,760,,1
3261,18,birth,Directed,761,,2
3543,18,birth,Directed,768,,5
2231,18,birth,Directed,770,,25
1997,18,birth,Directed,772,,49
7325,18,birth,Directed,773,,1
2388,18,birth,Directed,774,,18
4459,18,birth,Directed,775,,5
4605,18,birth,Directed,777,,2
2530,18,birth,Directed,781,,1
3057,18,birth,Directed,782,,6
2794,18,birth,Directed,784,,2
2190,18,birth,Directed,787,,64
2215,18,birth,Directed,790,,86
4550,18,birth,Directed,791,,1
3652,18,birth,Directed,792,,17
2503,18,birth,Directed,794,,9
2369,18,birth,Directed,797,,31
3458,18,birth,Directed,798,,7
2026,18,birth,Directed,800,,142
4933,18,birth,Directed,804,,1
2163,18,birth,Directed,805,,56
4619,18,birth,Directed,806,,5
6771,18,birth,Directed,812,,1
2262,18,birth,Directed,816,,101
3570,18,birth,Directed,828,,11
4072,18,birth,Directed,831,,1
2156,18,birth,Directed,832,,17
2059,18,birth,Directed,834,,14
2176,18,birth,Directed,840,,25
2897,18,birth,Directed,842,,1
2346,18,birth,Directed,844,,8
2884,18,birth,Directed,846,,20
3363,18,birth,Directed,847,,11
2412,18,birth,Directed,852,,9
2447,18,birth,Directed,866,,23
3858,18,birth,Directed,881,,4
2107,18,birth,Directed,883,,12
3386,18,birth,Directed,893,,10
2130,18,birth,Directed,897,,100
2264,18,birth,Directed,907,,61
2909,18,birth,Directed,908,,13
3184,18,birth,Directed,910,,4
3541,18,birth,Directed,914,,4
2012,18,birth,Directed,917,,168
3765,18,birth,Directed,926,,1
2263,18,birth,Directed,933,,7
2096,18,birth,Directed,934,,1
3240,18,birth,Directed,938,,1
2271,18,birth,Directed,939,,7
2353,18,birth,Directed,942,,6
3295,18,birth,Directed,958,,6
2129,18,birth,Directed,979,,66
2439,18,birth,Directed,981,,44
2399,18,birth,Directed,985,,77
6889,18,birth,Directed,993,,1
2536,18,birth,Directed,996,,3
5196,18,birth,Directed,1000,,1
2421,18,birth,Directed,1001,,45
2240,18,birth,Directed,1008,,11
2246,18,birth,Directed,1009,,6
2874,18,birth,Directed,1012,,18
2362,18,birth,Directed,1014,,57
2034,18,birth,Directed,1020,,54
2002,18,birth,Directed,1026,,64
2517,18,birth,Directed,1037,,40
3484,18,birth,Directed,1046,,1
2758,18,birth,Directed,1057,,3
2759,18,birth,Directed,1066,,1
2249,18,birth,Directed,1079,,24
2033,18,birth,Directed,1090,,1
2004,18,birth,Directed,1091,,2
2885,18,birth,Directed,1098,,25
7196,18,birth,Directed,1100,,1
7750,18,birth,Directed,1105,,1
2635,18,birth,Directed,1110,,5
2308,18,birth,Directed,1111,,35
2229,18,birth,Directed,1121,,2
3628,18,birth,Directed,1125,,1
2756,18,birth,Directed,1137,,9
2011,18,birth,Directed,1139,,20
3725,18,birth,Directed,1161,,2
2638,18,birth,Directed,1162,,26
3305,18,birth,Directed,1164,,7
2821,18,birth,Directed,1178,,5
3082,18,birth,Directed,1184,,7
4232,18,birth,Directed,1185,,1
2275,18,birth,Directed,1187,,6
1985,18,birth,Directed,1191,,19
2571,18,birth,Directed,1194,,3
3847,18,birth,Directed,1195,,10
4229,18,birth,Directed,1207,,3
5570,18,birth,Directed,1213,,1
4024,18,birth,Directed,1224,,2
5463,18,birth,Directed,1225,,1
6437,18,birth,Directed,1227,,1
4936,18,birth,Directed,1232,,3
3201,18,birth,Directed,1235,,7
2055,18,birth,Directed,1239,,1
3865,18,birth,Directed,1242,,4
2311,18,birth,Directed,1243,,2
2270,18,birth,Directed,1244,,76
3027,18,birth,Directed,1247,,3
2687,18,birth,Directed,1258,,2
2670,18,birth,Directed,1262,,10
2699,18,birth,Directed,1282,,14
6075,18,birth,Directed,1284,,1
4013,18,birth,Directed,1291,,2
2007,18,birth,Directed,1292,,25
6794,18,birth,Directed,1294,,1
4433,18,birth,Directed,1301,,14
2151,18,birth,Directed,1310,,21
2442,18,birth,Directed,1311,,29
2667,18,birth,Directed,1318,,3
2144,18,birth,Directed,1325,,19
7369,18,birth,Directed,1329,,1
2178,18,birth,Directed,1330,,12
3417,18,birth,Directed,1331,,3
2913,18,birth,Directed,1340,,11
2721,18,birth,Directed,1343,,11
2653,18,birth,Directed,1345,,3
3413,18,birth,Directed,1347,,3
6673,18,birth,Directed,1358,,1
2232,18,birth,Directed,1359,,1
2228,18,birth,Directed,1380,,12
3658,18,birth,Directed,1404,,5
2446,18,birth,Directed,1409,,5
551,18,birth,Directed,1411,,2
4105,18,birth,Directed,1415,,6
3402,18,birth,Directed,1420,,4
5772,18,birth,Directed,1422,,3
2359,18,birth,Directed,1427,,5
2239,18,birth,Directed,1431,,61
3885,18,birth,Directed,1442,,1
2340,18,birth,Directed,1456,,6
3699,18,birth,Directed,1464,,1
5134,18,birth,Directed,1481,,2
3783,18,birth,Directed,1482,,2
2174,18,birth,Directed,1490,,26
2559,18,birth,Directed,1493,,9
2179,18,birth,Directed,1496,,9
2170,18,birth,Directed,1497,,3
5830,18,birth,Directed,1508,,2
2056,18,birth,Directed,1511,,36
1996,18,birth,Directed,1515,,16
2025,18,birth,Directed,1523,,7
2454,18,birth,Directed,1529,,23
2802,18,birth,Directed,1530,,1
2479,18,birth,Directed,1531,,63
2301,18,birth,Directed,1538,,21
4381,18,birth,Directed,1542,,2
4031,18,birth,Directed,1550,,3
2434,18,birth,Directed,1558,,10
2066,18,birth,Directed,1559,,19
2703,18,birth,Directed,1566,,3
2666,18,birth,Directed,1573,,8
3631,18,birth,Directed,1575,,1
3002,18,birth,Directed,1577,,10
