Source,Target,Kind,Type,Id,Label,Weight,distance
350,891,degree,Directed,64446,,5,9307391.209231779
432,871,degree,Directed,64454,,2,7733568.4847356975
2,613,degree,Directed,64458,,6,9996694.23863717
418,787,degree,Directed,64460,,15,9420586.306470547
2,696,degree,Directed,64463,,1,8713478.300226606
464,960,degree,Directed,64465,,1,10359290.334713802
2,557,degree,Directed,64508,,16,8877102.058064617
2,787,degree,Directed,64510,,4,9953716.08930854
575,1008,degree,Directed,64527,,1,7054569.596360505
2,1008,degree,Directed,64529,,6,9893913.646067465
2,559,degree,Directed,64539,,15,8877102.058064617
18,610,degree,Directed,64544,,3,8202858.186746892
2,640,degree,Directed,64550,,5,8539132.082449015
2,631,degree,Directed,64577,,7,10177175.958298407
458,3,degree,Directed,64588,,14,8174129.979700641
361,4,degree,Directed,64613,,5,6810121.0434618015
2,4,degree,Directed,64621,,20,8735515.518660331
2,816,degree,Directed,64635,,1,10252559.854025299
2,965,degree,Directed,64646,,7,13488334.929154944
18,4,degree,Directed,64653,,33,8248303.9725138
1043,659,degree,Directed,64669,,1,8449305.451189317
2,882,degree,Directed,64672,,5,10126040.502515517
2,677,degree,Directed,64685,,3,10071922.635386756
432,954,degree,Directed,64687,,1,8137186.234871952
829,4,degree,Directed,64690,,1,7954199.555387915
488,613,degree,Directed,64708,,3,10448650.319482004
2,890,degree,Directed,64725,,2,8547661.023820704
186,4,degree,Directed,64746,,1,8021600.413404663
2,608,degree,Directed,64757,,14,8689958.75025993
880,882,degree,Directed,64768,,1,10080234.081250057
2,678,degree,Directed,64778,,4,7317268.011039223
2,686,degree,Directed,64789,,10,8490651.793028701
2,1144,degree,Directed,64800,,1,10291871.5360161
2,527,degree,Directed,64801,,11,9897941.370581282
2,612,degree,Directed,64810,,1,2293601.5250751465
458,659,degree,Directed,64811,,16,8811341.304045709
27,475,degree,Directed,64821,,2,9917086.70177506
2,825,degree,Directed,64825,,5,9560759.710010612
18,869,degree,Directed,64827,,33,11061726.606066758
206,539,degree,Directed,64830,,1,8550126.162427934
2,1055,degree,Directed,64831,,6,10083319.734477233
2,824,degree,Directed,64834,,13,8558362.976282964
2,812,degree,Directed,64836,,3,10157353.93090688
2,905,degree,Directed,64838,,3,10248692.355244802
2,771,degree,Directed,64844,,2,8923792.20277266
2,517,degree,Directed,64845,,3,9897941.370581282
2,948,degree,Directed,64849,,2,11034600.557856152
260,869,degree,Directed,64851,,3,10797448.988818666
2,475,degree,Directed,64852,,3,10048031.81194829
706,850,degree,Directed,64856,,1,7095399.057509731
2,541,degree,Directed,64858,,4,9285132.455078369
378,4,degree,Directed,64861,,12,7751303.734198412
14,890,degree,Directed,64871,,8,8121766.922488936
361,660,degree,Directed,64874,,5,6514635.134173739
458,743,degree,Directed,64875,,6,9866658.557736825
18,5,degree,Directed,64880,,16,8221927.618275995
2,791,degree,Directed,64881,,2,8413374.303089283
2,906,degree,Directed,64884,,1,8232682.122550194
777,659,degree,Directed,64886,,4,7876637.093387614
2,819,degree,Directed,64888,,8,10607778.342431456
2,836,degree,Directed,64891,,6,10069851.529158473
2,483,degree,Directed,64894,,3,10748505.434877248
34,354,degree,Directed,64900,,2,7757620.623248219
564,714,degree,Directed,64907,,5,7276922.135647448
159,813,degree,Directed,64910,,11,9555535.622143168
2,999,degree,Directed,64911,,3,10053975.741530173
2,519,degree,Directed,64913,,3,9897941.370581282
2,745,degree,Directed,64917,,3,8584394.04826771
2,584,degree,Directed,64921,,1,9955596.134845333
2,5,degree,Directed,64929,,1,8579867.129901554
2,939,degree,Directed,64940,,3,10154474.110634416
166,715,degree,Directed,64944,,7,10838704.683189172
2,546,degree,Directed,64952,,4,10164828.498339502
705,354,degree,Directed,64953,,1,5184373.442051587
159,5,degree,Directed,64957,,4,8286260.5171547895
2,982,degree,Directed,64958,,1,8001635.9806795055
287,644,degree,Directed,64959,,1,8976748.243709039
418,631,degree,Directed,64965,,10,9650180.237623055
378,915,degree,Directed,64970,,6,8014036.821392826
350,663,degree,Directed,64971,,2,8781351.611650875
260,557,degree,Directed,64973,,14,8415422.390249033
418,660,degree,Directed,64974,,13,7917815.378197392
2,903,degree,Directed,64977,,8,9424273.655976541
458,686,degree,Directed,64979,,6,8862001.454465091
2,978,degree,Directed,64983,,3,9638227.011254268
378,814,degree,Directed,64994,,4,7187265.959296829
323,678,degree,Directed,65004,,17,6261915.221234735
163,557,degree,Directed,65045,,2,8150095.4048819505
361,481,degree,Directed,65053,,7,7031966.463546206
159,13,degree,Directed,65055,,17,8037699.141145688
592,13,degree,Directed,65058,,29,7836131.81074173
159,953,degree,Directed,65060,,18,10663852.821477687
18,13,degree,Directed,65062,,55,7960708.3417414995
168,13,degree,Directed,65064,,2,8037699.141145688
651,13,degree,Directed,65066,,6,7952915.173673592
432,13,degree,Directed,65067,,6,7029266.975502214
619,13,degree,Directed,65068,,2,7149541.540558523
511,837,degree,Directed,65073,,1,9392073.104821531
