Source,Target,Kind,Type,Id,Label,Weight,distance
1,284,degree,Directed,64440,,1,251990.60245042332
284,641,degree,Directed,64441,,6,175697.586798321
170,1,degree,Directed,64442,,1,749606.3361527188
1,48,degree,Directed,64443,,1,489931.98240375536
48,48,degree,Directed,64444,,402,0.0
648,350,degree,Directed,64445,,23,65974.11091755718
244,244,degree,Directed,64447,,2834,0.0
244,159,degree,Directed,64448,,1349,10895.229655591354
811,170,degree,Directed,64449,,15,136115.68936011542
170,182,degree,Directed,64450,,10,0.0
620,619,degree,Directed,64451,,282,0.0
619,619,degree,Directed,64452,,1755,0.0
619,777,degree,Directed,64453,,30,611316.794205539
435,432,degree,Directed,64456,,354,0.0
2,2,degree,Directed,64457,,6535,0.0
861,861,degree,Directed,64461,,17,0.0
861,2,degree,Directed,64462,,20,176820.5221163721
697,2,degree,Directed,64464,,34,367435.0527202615
2,454,degree,Directed,64468,,59,502750.49540565093
454,18,degree,Directed,64469,,645,14145.211219932899
18,18,degree,Directed,64470,,35199,0.0
18,454,degree,Directed,64471,,634,14145.211219932899
346,2,degree,Directed,64472,,75,592031.6804748311
2,345,degree,Directed,64473,,1,592031.6804748311
345,458,degree,Directed,64474,,4,220850.66949594492
458,458,degree,Directed,64475,,10564,0.0
846,2,degree,Directed,64476,,121,106792.99286993845
2,669,degree,Directed,64477,,17,544723.5103808183
378,2,degree,Directed,64478,,67,984214.8118247032
2,378,degree,Directed,64479,,94,984214.8118247032
378,260,degree,Directed,64480,,158,598717.2822307154
260,18,degree,Directed,64481,,3200,283979.55400989886
2,487,degree,Directed,64482,,2,379549.59357093327
487,297,degree,Directed,64483,,1,219728.44402250205
297,487,degree,Directed,64484,,2,219728.44402250205
487,717,degree,Directed,64485,,17,224653.67373539016
2,346,degree,Directed,64486,,41,592031.6804748311
346,346,degree,Directed,64487,,1633,0.0
2,846,degree,Directed,64488,,30,106792.99286993845
2,641,degree,Directed,64489,,44,77510.090061946
641,2,degree,Directed,64490,,176,77510.090061946
284,2,degree,Directed,64491,,101,251990.60245042332
2,383,degree,Directed,64492,,7,984214.8118247032
323,2,degree,Directed,64493,,84,1317012.2300596
917,2,degree,Directed,64494,,2,639306.6299724552
2,27,degree,Directed,64495,,114,489931.98240375536
27,27,degree,Directed,64496,,4482,0.0
464,2,degree,Directed,64497,,107,376685.7436561459
458,2,degree,Directed,64498,,401,376685.7436561459
2,458,degree,Directed,64499,,335,376685.7436561459
858,2,degree,Directed,64500,,1,66459.34122807124
2,8,degree,Directed,64501,,68,0.0
8,2,degree,Directed,64502,,320,0.0
633,2,degree,Directed,64503,,37,2807411.202863644
2,633,degree,Directed,64504,,25,2807411.202863644
633,633,degree,Directed,64505,,2592,0.0
2,287,degree,Directed,64506,,223,251990.60245042332
287,18,degree,Directed,64507,,754,339340.457540728
488,2,degree,Directed,64509,,367,563706.8738984863
2,53,degree,Directed,64512,,3,489931.98240375536
53,18,degree,Directed,64513,,46,0.0
2,18,degree,Directed,64514,,579,489931.98240375536
159,924,degree,Directed,64515,,52,232366.00598073157
924,159,degree,Directed,64516,,44,232366.00598073157
159,159,degree,Directed,64517,,13903,0.0
549,2,degree,Directed,64518,,23,835316.3604757556
2,549,degree,Directed,64519,,2,835316.3604757556
549,549,degree,Directed,64520,,808,0.0
103,2,degree,Directed,64521,,2,489931.98240375536
705,564,degree,Directed,64522,,29,2824677.740165437
564,432,degree,Directed,64523,,437,104547.91958827394
432,432,degree,Directed,64524,,5204,0.0
2,424,degree,Directed,64525,,5,543246.0614440286
424,424,degree,Directed,64526,,39,0.0
717,2,degree,Directed,64530,,137,575841.2176538687
488,1044,degree,Directed,64531,,2,918275.9886270677
1044,2,degree,Directed,64532,,6,632508.7400723503
2,172,degree,Directed,64533,,21,749606.3361527188
172,2,degree,Directed,64534,,24,749606.3361527188
464,464,degree,Directed,64535,,2758,0.0
619,725,degree,Directed,64536,,16,50671.03290309445
725,418,degree,Directed,64537,,6,758727.3116164176
418,418,degree,Directed,64538,,14292,0.0
772,2,degree,Directed,64540,,5,961481.3812737572
18,2,degree,Directed,64541,,219,489931.98240375536
260,422,degree,Directed,64542,,26,215797.2359649051
422,2,degree,Directed,64543,,10,543246.0614440286
361,2,degree,Directed,64545,,59,1934090.0983610533
2,921,degree,Directed,64546,,7,241648.89251541533
921,2,degree,Directed,64547,,24,241648.89251541533
2,128,degree,Directed,64548,,1,489931.98240375536
128,2,degree,Directed,64549,,3,489931.98240375536
700,2,degree,Directed,64551,,10,2826807.493625254
2,699,degree,Directed,64552,,1,2826807.493625254
699,237,degree,Directed,64553,,4,1875096.8149827046
2,260,degree,Directed,64554,,114,590253.4365256573
1040,1040,degree,Directed,64555,,15,0.0
1040,2,degree,Directed,64556,,41,146922.13657113243
2,418,degree,Directed,64557,,273,543246.0614440286
2,329,degree,Directed,64558,,1,1317012.2300596
329,2,degree,Directed,64559,,1,1317012.2300596
409,409,degree,Directed,64560,,2211,0.0
409,2,degree,Directed,64561,,62,2910008.133256402
2,777,degree,Directed,64562,,54,624596.1178551328
458,166,degree,Directed,64563,,61,1125776.1200686248
166,2,degree,Directed,64564,,44,749606.3361527188
2,488,degree,Directed,64565,,30,563706.8738984863
876,27,degree,Directed,64566,,4,158134.3435310274
27,94,degree,Directed,64567,,10,0.0
593,2,degree,Directed,64568,,54,571084.4654303318
296,294,degree,Directed,64569,,2,0.0
294,641,degree,Directed,64570,,1,175697.586798321
18,83,degree,Directed,64571,,2,0.0
83,18,degree,Directed,64572,,4,0.0
287,2,degree,Directed,64573,,346,251990.60245042332
2,505,degree,Directed,64574,,4,718470.9038002989
505,505,degree,Directed,64575,,64,0.0
362,2,degree,Directed,64576,,7,1934090.0983610533
378,378,degree,Directed,64579,,10127,0.0
699,839,degree,Directed,64580,,11,2263471.8419889105
839,2,degree,Directed,64581,,4,766747.123586677
438,564,degree,Directed,64582,,19,104547.91958827394
564,2,degree,Directed,64583,,119,2698703.9722734103
641,641,degree,Directed,64584,,118,0.0
669,260,degree,Directed,64585,,362,242462.7573029593
260,2,degree,Directed,64586,,89,590253.4365256573
18,458,degree,Directed,64587,,184,853893.6379324811
287,284,degree,Directed,64589,,227,0.0
284,284,degree,Directed,64590,,409,0.0
705,166,degree,Directed,64591,,14,2854128.3892205684
315,18,degree,Directed,64592,,191,742917.5413481342
627,2,degree,Directed,64593,,21,2406346.887568487
645,2,degree,Directed,64594,,24,406165.6905775978
491,458,degree,Directed,64595,,5,251799.82182463096
669,418,degree,Directed,64596,,216,422381.5294467775
418,2,degree,Directed,64597,,121,543246.0614440286
641,707,degree,Directed,64598,,1,2913603.15193815
707,2,degree,Directed,64599,,2,2987318.751413373
290,2,degree,Directed,64600,,112,251990.60245042332
350,350,degree,Directed,64601,,494,0.0
350,2,degree,Directed,64602,,64,349769.70622475375
488,458,degree,Directed,64603,,994,251799.82182463096
9,2,degree,Directed,64604,,62,0.0
880,2,degree,Directed,64605,,171,91180.22946795612
908,549,degree,Directed,64606,,1,1268719.117577537
549,669,degree,Directed,64607,,3,821422.0080930537
669,2,degree,Directed,64608,,91,544723.5103808183
593,593,degree,Directed,64609,,223,0.0
362,165,degree,Directed,64610,,3,1212039.7811230305
165,165,degree,Directed,64611,,285,0.0
165,361,degree,Directed,64612,,14,1212039.7811230305
766,766,degree,Directed,64614,,246,0.0
766,2,degree,Directed,64615,,56,321648.9610627567
458,350,degree,Directed,64616,,158,31428.11072260168
350,166,degree,Directed,64617,,8,1099331.2598389168
847,2,degree,Directed,64618,,140,601254.7012166727
18,27,degree,Directed,64619,,770,0.0
27,2,degree,Directed,64620,,41,489931.98240375536
589,589,degree,Directed,64622,,593,0.0
589,2,degree,Directed,64623,,47,1546512.9898657226
365,2,degree,Directed,64624,,5,1934090.0983610533
1040,697,degree,Directed,64625,,2,370911.34598886967
323,651,degree,Directed,64626,,23,851050.6220632205
651,18,degree,Directed,64627,,120,86867.34531525729
697,697,degree,Directed,64628,,64,0.0
697,488,degree,Directed,64629,,30,272940.65891365893
675,675,degree,Directed,64630,,224,0.0
675,2,degree,Directed,64631,,60,386601.9877549742
237,237,degree,Directed,64632,,1755,0.0
237,2,degree,Directed,64633,,44,966430.2573341497
346,847,degree,Directed,64634,,65,37267.33278914814
