"id";"name";"country";"hop";"distance"
"284";"pontificia universidade catolica do parana";"brazil";"1130";"256522701,82668033"
"641";"universidade do vale do itajai";"brazil";"314";"81159445,19451034"
"1";"associacao dos diplomados da escola superior de guerra";"brazil";"20";"25163073,796477158"
"48";"universidade presbiteriana mackenzie";"brazil";"1022";"201317845,29857242"
"350";"universidade do vale do rio dos sinos";"brazil";"1311";"298620190,4926832"
"244";"universidade federal fluminense";"brazil";"6356";"737040205,8222867"
"159";"universidade federal do rio de janeiro";"brazil";"26638";"1928857815,6414561"
"170";"escola superior de guerra";"brazil";"99";"36914277,20260905"
"182";"escola de aperfeicoamento de oficiais";"brazil";"200";"35013282,78168828"
"619";"universidade federal de goias";"brazil";"3122";"339690800,5112245"
"777";"universidade federal de sao carlos";"brazil";"6660";"622747620,5368387"
"435";"universidade federal rural de pernambuco";"brazil";"1885";"250637899,40326616"
"432";"universidade federal de pernambuco";"brazil";"9314";"1020098887,9935539"
"2";"universidade federal de santa catarina";"brazil";"12733";"1439707162,4852517"
"418";"universidade estadual de campinas";"brazil";"29419";"2046844442,26995"
"861";"universidade do planalto catarinense";"brazil";"33";"1854790,4654946104"
"18";"universidade de sao paulo";"brazil";"67738";"2756055555,2422447"
"454";"universidade federal de sao paulo";"brazil";"10440";"936144969,1584197"
"345";"centro federal de educacao tecnologica de pelotas";"brazil";"18";"1766047,3338065767"
"458";"universidade federal do rio grande do sul";"brazil";"18827";"1948312781,2830253"
"669";"universidade estadual de londrina";"brazil";"2638";"319374772,6205528"
"378";"universidade federal de minas gerais";"brazil";"16427";"1512727076,7594085"
"260";"universidade estadual paulista julio de mesquita filho";"brazil";"22400";"1331279260,9694781"
"487";"universidade estadual do centro oeste";"brazil";"173";"27695009,80459749"
"297";"universidade tuiuti do parana";"brazil";"191";"46701824,609893955"
"717";"universidade estadual de maringa";"brazil";"3195";"269518302,6042204"
"346";"universidade federal de pelotas";"brazil";"2805";"423635328,3111215"
"846";"universidade do sul de santa catarina";"brazil";"200";"93694334,94612643"
"383";"pontificia universidade catolica de minas gerais";"brazil";"1664";"243947745,54629102"
"27";"pontificia universidade catolica de sao paulo";"brazil";"10393";"999431149,6580492"
"8";"universidade do estado de santa catarina";"brazil";"486";"127559090,84078695"
"633";"universidade federal do rio grande do norte";"brazil";"4271";"688759931,5601714"
"287";"universidade federal do parana";"brazil";"8186";"1112503996,5186157"
"53";"universidade camilo castelo branco";"brazil";"174";"48398648,690587096"
"924";"universidade estadual do norte fluminense darcy ribeiro";"brazil";"1488";"136125661,80709237"
"549";"universidade federal de juiz de fora";"brazil";"1265";"173622581,3406765"
"564";"universidade federal da paraiba";"brazil";"5591";"712660589,7604189"
"424";"centro de pesquisas odontologicas sao leopoldo mandic";"brazil";"220";"73544610,374294"
"1044";"centro universitario sao camilo campus pompeia";"brazil";"128";"47309744,4420929"
"172";"universidade do estado do rio de janeiro";"brazil";"6042";"673464947,4832333"
"464";"pontificia universidade catolica do rio grande do sul";"brazil";"5598";"776376431,81705"
"725";"universidade estadual de goias";"brazil";"65";"12126449,21079913"
"422";"pontificia universidade catolica de campinas";"brazil";"1077";"148557663,2936523"
"921";"universidade do contestado";"brazil";"41";"12831272,904069908"
"128";"centro sao camilo de desenvolvimento em administracao da saude";"brazil";"42";"26862315,180973575"
"699";"universidade federal do maranhao";"brazil";"684";"183427075,57118583"
"237";"universidade federal de uberlandia";"brazil";"2764";"247735840,927821"
"1040";"universidade da regiao de joinville";"brazil";"52";"14203343,479435699"
"329";"ministerio da saude";"brazil";"41";"30265360,340948716"
"409";"universidade federal do para";"brazil";"3195";"392620774,3604714"
"166";"pontificia universidade catolica do rio de janeiro";"brazil";"6530";"903827083,8940192"
"488";"universidade federal de santa maria";"brazil";"4396";"512076021,758624"
"94";"faculdade de educacao da universidade de sao paulo";"brazil";"138";"17465624,900019698"
"294";"faculdade catolica de administracao e economia";"brazil";"75";"12122722,79705895"
"83";"instituto sirio libanes de ensino e pesquisa";"brazil";"22";"17670255,943333145"
"505";"faculdade de medicina de ribeirao preto universidade de sao paulo";"brazil";"198";"26681699,801588915"
"839";"universidade salgado de oliveira";"brazil";"224";"75332857,28409177"
"707";"universidade do estado do amazonas";"brazil";"68";"64927935,78119934"
"593";"universidade estadual do oeste do parana";"brazil";"418";"47674777,55293254"
"165";"universidade gama filho";"brazil";"1049";"261576877,6586897"
"361";"universidade federal da bahia";"brazil";"6209";"1075545311,6419623"
"766";"universidade estadual de ponta grossa";"brazil";"403";"46532572,772894636"
"589";"universidade federal de mato grosso";"brazil";"1056";"195243619,1932413"
"697";"universidade regional integrada do alto uruguai e das missoes";"brazil";"122";"19949404,160781432"
"651";"instituto nacional de pesquisas espaciais";"brazil";"1564";"362675426,1265132"
"675";"universidade de passo fundo";"brazil";"379";"71773509,3366427"
"847";"universidade federal do rio grande";"brazil";"1161";"247620995,79461753"
"290";"universidade tecnologica federal do parana";"brazil";"723";"183131571,5553994"
"283";"fundacao oswaldo cruz";"brazil";"3612";"618017181,8093041"
"341";"conselho federal de fonoaudiologia";"brazil";"87";"26656675,743902586"
"79";"escola politecnica da universidade de sao paulo";"brazil";"612";"129988267,04598257"
"34";"fundacao getulio vargas sp";"brazil";"1261";"264720351,8357282"
"323";"universidade de brasilia";"brazil";"8631";"1337231980,0114274"
"908";"universidade de santa cruz do sul";"brazil";"230";"62635207,91942267"
"738";"universidade federal do acre";"brazil";"96";"74918925,93590973"
"286";"associacao brasileira de odontologia";"brazil";"201";"84744138,64071271"
"570";"universidade federal do ceara";"brazil";"6507";"761462729,8302224"
"829";"universidade federal de rondonia";"brazil";"144";"97014106,15975894"
"899";"universidade do extremo sul catarinense";"brazil";"97";"12034037,114072494"
"10";"empresa de pesquisa agropecuaria e extensao rural de santa catarina";"brazil";"5";"1230624,2706802287"
"706";"instituto nacional de pesquisas da amazonia";"brazil";"938";"378066876,74780965"
"1034";"universidade vale do rio doce";"brazil";"22";"3519931,968559862"
"1049";"universidade federal dos vales do jequitinhonha e mucuri campus jk";"brazil";"81";"13536768,243643863"
"620";"pontificia universidade catolica de goias";"brazil";"448";"89834619,66497518"
"167";"universidade federal do estado do rio de janeiro";"brazil";"844";"159570750,23346844"
"961";"universidade da regiao da campanha";"brazil";"65";"12064129,298262963"
