"id";"name";"country";"flow_weighted";"flow";"distance";"avg";"distances_weigthed";"avg"
"1146";"universidad nacional de trujillo";"peru";"4";"2";"3995794";"1997897,1483108948";"3995794";"998948,5741554474"
"486";"universidad de antioquia";"colombia";"12";"5";"9559594";"1911918,8045720768";"14129921";"1177493,4765000332"
"1120";"universidad de oriente";"venezuela";"18";"6";"17417964";"2902994,008392474";"19945651";"1108091,7482310063"
"1038";"universidad nacional del sur";"argentina";"18";"7";"17367896";"2481128,1191758034";"17367896";"964883,1574572569"
"985";"universidad del oriente cuba";"cuba";"20";"4";"12020806";"3005201,6065526";"12781419";"639070,9672417018"
"639";"universidad nacional de colombia";"colombia";"20";"7";"15618031";"2231147,3791126204";"15618031";"780901,5826894172"
"997";"universidad nacional de misiones";"belize";"20";"16";"99684536";"6230283,515994048";"119378465";"5968923,266095386"
"1083";"universidad industrial de santander";"colombia";"23";"2";"4568026";"2284013,0635654232";"4568026";"198609,83161438463"
"563";"universidad nacional del litoral";"argentina";"23";"10";"25170433";"2517043,3039351907";"32749341";"1423884,4028712586"
"601";"universidad central de venezuela";"venezuela";"24";"9";"30677255";"3408583,900452619";"30677255";"1278218,962669732"
"934";"universidad nacional mayor de san marcos";"peru";"25";"4";"8044873";"2011218,410362402";"8044873";"321794,9456579843"
"1140";"universidad nacional de colombia bogota";"colombia";"25";"6";"21852201";"3642033,51255326";"22019447";"880777,8934235356"
"545";"universidad de santiago de chile";"chile";"25";"13";"41610269";"3200789,9556246074";"46378100";"1855124,020614007"
"1143";"institut de recherche pour le developpement";"france";"25";"17";"131671340";"7745372,99191288";"204512325";"8180493,037937169"
"665";"instituto universitario de lisboa";"portugal";"25";"18";"97876398";"5437577,684147198";"113082827";"4523313,09309254"
"567";"universidade da beira interior";"portugal";"26";"18";"109364489";"6075804,9932801975";"123780449";"4760786,524554029"
"1032";"universidad del valle";"colombia";"27";"6";"22860606";"3810101,0939771417";"23418080";"867336,3146268018"
"258";"universidad de la republica";"uruguay";"27";"10";"32083227";"3208322,7685060077";"35215674";"1304284,2416151185"
"879";"universidad de concepcion";"chile";"32";"18";"66565570";"3698087,224308267";"83710225";"2615944,5321386983"
"1016";"university of copenhagen";"denmark";"32";"18";"164477296";"9137627,586418344";"284189968";"8880936,506486734"
"1022";"universidad de vigo";"spain";"33";"18";"104377031";"5798723,9761159755";"143677992";"4353878,552387859"
"257";"universidad de la republica uruguay";"uruguay";"34";"13";"21799640";"1676895,4125234145";"25683083";"755384,8168825888"
"662";"faculdade de ciencias da universidade de lisboa";"portugal";"34";"14";"50849244";"3632088,869916633";"74722160";"2197710,6049720095"
"610";"faculdade de letras da universidade do porto";"portugal";"36";"12";"64125347";"5343778,92903072";"104646740";"2906853,899129838"
"938";"universidad nacional de cordoba argentina";"argentina";"37";"12";"29738154";"2478179,551546548";"45542180";"1230869,732820917"
"531";"universite paris ouest nanterre la defense";"france";"37";"20";"146821276";"7341063,8149396";"259766382";"7020713,028275433"
"1046";"universita di pisa";"italy";"38";"20";"122092024";"6104601,229942064";"216230991";"5690289,251407753"
"982";"the university of melbourne";"united states";"40";"23";"158778276";"6903403,318350046";"261882449";"6547061,237906295"
"588";"pontificia universitas gregoriana";"italy";"41";"18";"151539438";"8418857,694390466";"236499435";"5768278,925061313"
"523";"universite de paris iv paris sorbonne";"france";"43";"22";"139037575";"6319889,781720758";"203033480";"4721708,853316986"
"453";"tufts university";"united states";"43";"24";"158344200";"6597675,024279002";"305628302";"7107634,940295469"
"716";"tulane university";"united states";"43";"26";"165088109";"6349542,686644603";"266227151";"6191329,104306838"
"1081";"universite de lorraine";"france";"43";"27";"202769238";"7509971,779536133";"341962559";"7952617,662079442"
"975";"universidade de valencia";"spain";"44";"21";"149647113";"7126053,021708876";"282778290";"6426779,339879676"
"1026";"utrecht university";"netherlands";"44";"23";"135950252";"5910880,528984135";"252541535";"5739580,342704664"
"913";"auburn university";"united states";"44";"26";"151554191";"5829007,361352602";"262222719";"5959607,251294118"
"1010";"syracuse university";"united states";"44";"27";"147517331";"5463604,876287796";"251947215";"5726073,087931051"
"569";"universidade de havana";"cuba";"46";"15";"70310324";"4687354,957087199";"89586138";"1947524,7401372988"
"1064";"universitat zu koln";"germany";"46";"20";"149367538";"7468376,908444363";"281636257";"6122527,3369379435"
"1106";"universiteit van amsterdam";"netherlands";"46";"22";"159252435";"7238747,078819902";"307065446";"6675335,783883339"
"1150";"australian national university";"australia";"47";"24";"337031739";"14042989,13683778";"596834489";"12698606,164420886"
"1052";"universidade de extremadura";"spain";"47";"31";"187935301";"6062429,093290123";"222660190";"4737450,851114539"
"1065";"universidad central marta abreu de las villas";"cuba";"48";"9";"34607502";"3845278,016362336";"40860214";"851254,4606501488"
"958";"utah state university";"united states";"48";"21";"161264393";"7679256,84739458";"365552172";"7615670,267316607"
