Source,Target,Kind,Type,Id,Label,Weight,distance
2,678,degree,Directed,64778,,4,7317268.011039223
323,678,degree,Directed,65004,,17,6261915.221234735
18,678,degree,Directed,65700,,87,7045876.682435987
989,678,degree,Directed,66019,,1,7057673.229099178
762,678,degree,Directed,66413,,1,7063367.718737936
418,678,degree,Directed,66642,,29,6962354.091487506
678,678,degree,Directed,66776,,86,0.0
409,678,degree,Directed,67182,,1,4990587.090857911
42,678,degree,Directed,67297,,1,7045876.682435987
61,678,degree,Directed,67568,,2,7045876.682435987
458,678,degree,Directed,67709,,32,7417312.47117169
166,678,degree,Directed,68553,,3,7193798.9851238215
172,678,degree,Directed,68749,,1,7193798.9851238215
260,678,degree,Directed,69234,,24,6793526.81404951
592,678,degree,Directed,69252,,60,7025421.105922816
350,678,degree,Directed,70237,,1,7394742.941209756
506,678,degree,Directed,70445,,1,6759971.936318027
378,678,degree,Directed,70490,,17,6874185.219252636
957,678,degree,Directed,70861,,1,496175.17222260975
442,678,degree,Directed,71063,,1,6585698.743139598
464,678,degree,Directed,71319,,2,7417312.47117169
488,678,degree,Directed,71350,,3,7265407.3700371515
948,678,degree,Directed,71541,,3,3943350.327066821
602,678,degree,Directed,71727,,1,1637293.2837025735
632,678,degree,Directed,71797,,1,7335096.377458303
991,678,degree,Directed,71883,,1,207818.5706484278
74,678,degree,Directed,72431,,2,7045876.682435987
1068,678,degree,Directed,72758,,1,6915599.1924254205
40,678,degree,Directed,73419,,1,7045876.682435987
159,678,degree,Directed,73495,,24,7193798.9851238215
422,678,degree,Directed,73554,,2,6962354.091487506
699,678,degree,Directed,74015,,2,5403334.1564107835
836,678,degree,Directed,75573,,1,6777299.086728869
432,678,degree,Directed,75830,,5,6585698.743139598
777,678,degree,Directed,76397,,3,6832593.161631501
45,678,degree,Directed,76726,,1,7045876.682435987
811,678,degree,Directed,76870,,1,7078676.673608302
244,678,degree,Directed,76872,,1,7198508.632503995
13,678,degree,Directed,77423,,2,1516231.4485513584
237,678,degree,Directed,77485,,1,6525162.028131062
1020,678,degree,Directed,77642,,3,747012.6133719014
706,678,degree,Directed,77718,,4,4352006.667198507
773,678,degree,Directed,77776,,1,6734847.119191861
34,678,degree,Directed,77819,,1,7045876.682435987
924,678,degree,Directed,77890,,3,7213312.7326198695
916,678,degree,Directed,78019,,1,1487450.789264959
796,678,degree,Directed,78142,,2,489937.4004617145
14,678,degree,Directed,78888,,9,6935189.419640656
879,678,degree,Directed,79165,,1,7463498.3579247175
435,678,degree,Directed,79501,,7,6585698.743139598
454,678,degree,Directed,80855,,4,7044066.061598205
688,678,degree,Directed,81089,,1,1560551.9059547132
354,678,degree,Directed,81674,,2,1736276.1611699709
