Source,Target,Kind,Type,Id,Label,Weight,distance
2,613,degree,Directed,64458,,6,9996694.23863717
488,613,degree,Directed,64708,,3,10448650.319482004
18,613,degree,Directed,65440,,156,9508110.489088878
669,613,degree,Directed,65534,,6,9701577.106540574
613,613,degree,Directed,65723,,127,0.0
79,613,degree,Directed,66582,,3,9508110.489088878
633,613,degree,Directed,66863,,4,7200047.8219174985
283,613,degree,Directed,66864,,5,9817123.389368625
159,613,degree,Directed,68173,,70,9289162.597145958
418,613,degree,Directed,68375,,40,9464228.790679993
378,613,degree,Directed,68422,,31,9012867.036163876
164,613,degree,Directed,68428,,2,9289162.597145958
166,613,degree,Directed,68503,,36,9289162.597145958
802,613,degree,Directed,68587,,2,8682598.799470259
206,613,degree,Directed,68592,,8,9289162.597145958
481,613,degree,Directed,68795,,1,5848723.292422291
244,613,degree,Directed,69146,,6,9282590.15025354
258,613,degree,Directed,69180,,1,11062293.964597179
165,613,degree,Directed,69297,,1,9289162.597145958
323,613,degree,Directed,70027,,22,8803154.215742541
592,613,degree,Directed,70306,,3,9058506.101109708
361,613,degree,Directed,70316,,12,8077145.722969872
383,613,degree,Directed,70603,,5,9012867.036163876
482,613,degree,Directed,70849,,2,932834.9800330813
92,613,degree,Directed,70885,,1,9508110.489088878
716,613,degree,Directed,70901,,2,7454531.820658737
438,613,degree,Directed,70914,,7,7417315.132675818
432,613,degree,Directed,70981,,29,7417315.132675818
442,613,degree,Directed,71058,,5,7417315.132675818
458,613,degree,Directed,71099,,48,10359542.744555961
454,613,degree,Directed,71101,,17,9494913.802522767
506,613,degree,Directed,71147,,1,9328921.25353467
883,613,degree,Directed,71758,,1,7143505.303225881
950,613,degree,Directed,71759,,1,137978.5079014345
866,613,degree,Directed,71760,,1,8700082.092318458
827,613,degree,Directed,71763,,2,556005.7445755617
260,613,degree,Directed,72483,,7,9501238.081340045
46,613,degree,Directed,72951,,2,9508110.489088878
27,613,degree,Directed,73201,,8,9508110.489088878
172,613,degree,Directed,73815,,14,9289162.597145958
287,613,degree,Directed,75090,,16,9817123.389368625
803,613,degree,Directed,75454,,6,82673.98427317778
409,613,degree,Directed,75481,,1,7440032.618548491
777,613,degree,Directed,75560,,4,9415688.717188274
1133,613,degree,Directed,76001,,2,82736.85345460524
759,613,degree,Directed,76347,,1,9342072.995923558
871,613,degree,Directed,76350,,1,6351665.127606438
688,613,degree,Directed,76351,,1,5641293.564811112
651,613,degree,Directed,76353,,2,9436962.299825005
53,613,degree,Directed,76446,,1,9508110.489088878
39,613,degree,Directed,77209,,1,9508110.489088878
504,613,degree,Directed,77514,,2,9328921.25353467
45,613,degree,Directed,78262,,1,9508110.489088878
503,613,degree,Directed,78325,,1,9328921.25353467
58,613,degree,Directed,78674,,1,9508110.489088878
65,613,degree,Directed,78701,,1,9508110.489088878
949,613,degree,Directed,78984,,1,171391.87236100694
194,613,degree,Directed,79748,,1,9289162.597145958
8922,613,degree,Directed,79849,,1,9289162.597145958
618,613,degree,Directed,79910,,2,0.0
178,613,degree,Directed,79937,,2,9289162.597145958
242,613,degree,Directed,80663,,2,9129093.18409796
942,613,degree,Directed,80767,,1,640167.0288508123
619,613,degree,Directed,81241,,3,8958299.076723468
390,613,degree,Directed,81364,,1,9012867.036163876
589,613,degree,Directed,81367,,2,9219115.391886251
393,613,degree,Directed,81423,,1,9012867.036163876
919,613,degree,Directed,81568,,4,6743962.346723174
900,613,degree,Directed,81621,,1,6400831.229240873
237,613,degree,Directed,82413,,1,9129093.18409796
955,613,degree,Directed,82418,,1,286764.7072624827
17,613,degree,Directed,82651,,1,9508110.489088878
849,613,degree,Directed,82738,,1,6063130.66970875
882,613,degree,Directed,82795,,1,272184.0844804295
570,613,degree,Directed,83016,,9,7142075.754670724
315,613,degree,Directed,83053,,2,8903719.062214557
180,613,degree,Directed,83323,,1,9289162.597145958
1073,613,degree,Directed,83717,,1,7047562.919165797
685,613,degree,Directed,83843,,1,9247845.362171704
659,613,degree,Directed,83984,,1,1587313.9579331558
556,613,degree,Directed,84085,,1,9295236.070272502
192,613,degree,Directed,84296,,1,9289162.597145958
960,613,degree,Directed,84404,,2,162828.9423144754
357,613,degree,Directed,84529,,1,9569244.52401477
89,613,degree,Directed,84542,,6,78757.89513700576
479,613,degree,Directed,84641,,1,5576456.187425062
72,613,degree,Directed,85011,,1,9508110.489088878
77,613,degree,Directed,85806,,1,9508110.489088878
40,613,degree,Directed,86465,,1,9508110.489088878
96,613,degree,Directed,86468,,1,9508110.489088878
1096,613,degree,Directed,87197,,2,111714.88766099556
464,613,degree,Directed,87301,,4,10359542.744555961
347,613,degree,Directed,87508,,1,10580383.981823005
350,613,degree,Directed,87555,,2,10329079.044796571
179,613,degree,Directed,87577,,3,9289162.597145958
469,613,degree,Directed,87736,,1,10359542.744555961
