"node";"size";"distance"
"1";"6";"9996694"
"1";"3";"10448650"
"1";"156";"9508110"
"1";"6";"9701577"
"1";"127";"0"
"1";"3";"9508110"
"1";"4";"7200047"
"1";"5";"9817123"
"1";"70";"9289162"
"1";"40";"9464228"
"1";"31";"9012867"
"1";"2";"9289162"
"1";"36";"9289162"
"1";"2";"8682598"
"1";"8";"9289162"
"1";"1";"5848723"
"1";"6";"9282590"
"1";"1";"11062293"
"1";"1";"9289162"
"1";"22";"8803154"
"1";"3";"9058506"
"1";"12";"8077145"
"1";"5";"9012867"
"1";"2";"932834"
"1";"1";"9508110"
"1";"2";"7454531"
"1";"7";"7417315"
"1";"29";"7417315"
"1";"5";"7417315"
"1";"48";"10359542"
"1";"17";"9494913"
"1";"1";"9328921"
"1";"1";"7143505"
"1";"1";"137978"
"1";"1";"8700082"
"1";"2";"556005"
"1";"7";"9501238"
"1";"2";"9508110"
"1";"8";"9508110"
"1";"14";"9289162"
"1";"16";"9817123"
"1";"6";"82673"
"1";"1";"7440032"
"1";"4";"9415688"
"1";"2";"82736"
"1";"1";"9342072"
"1";"1";"6351665"
"1";"1";"5641293"
"1";"2";"9436962"
"1";"1";"9508110"
"1";"1";"9508110"
"1";"2";"9328921"
"1";"1";"9508110"
"1";"1";"9328921"
"1";"1";"9508110"
"1";"1";"9508110"
"1";"1";"171391"
"1";"1";"9289162"
"1";"1";"9289162"
"1";"2";"0"
"1";"2";"9289162"
"1";"2";"9129093"
"1";"1";"640167"
"1";"3";"8958299"
"1";"1";"9012867"
"1";"2";"9219115"
"1";"1";"9012867"
"1";"4";"6743962"
"1";"1";"6400831"
"1";"1";"9129093"
"1";"1";"286764"
"1";"1";"9508110"
"1";"1";"6063130"
"1";"1";"272184"
"1";"9";"7142075"
"1";"2";"8903719"
"1";"1";"9289162"
"1";"1";"7047562"
"1";"1";"9247845"
"1";"1";"1587313"
"1";"1";"9295236"
"1";"1";"9289162"
"1";"2";"162828"
"1";"1";"9569244"
"1";"6";"78757"
"1";"1";"5576456"
"1";"1";"9508110"
"1";"1";"9508110"
"1";"1";"9508110"
"1";"1";"9508110"
"1";"2";"111714"
"1";"4";"10359542"
"1";"1";"10580383"
"1";"2";"10329079"
"1";"3";"9289162"
"1";"1";"10359542"
"1";"1";"280153"
"1";"4";"9436962"
"1";"1";"9415688"
"1";"2";"9826921"
"1";"1";"1114583"
"1";"1";"9289162"
"1";"1";"5426958"
"1";"2";"9508110"
"1";"1";"9328921"
"1";"1";"9289162"
"1";"1";"7142075"
"1";"2";"7320192"
"1";"1";"9145842"
"1";"1";"9180897"
"1";"1";"5618826"
"1";"3";"8077145"
"1";"1";"10103347"
"1";"1";"313673"
"1";"1";"6462251"
"1";"1";"9473992"
"1";"1";"11141128"
"1";"1";"7619149"
"1";"1";"9508110"
"1";"2";"9508110"
"1";"1";"9265627"
"1";"1";"8025777"
"1";"1";"143394"
"1";"1";"9519324"
"1";"1";"6213110"
"1";"1";"9295236"
"1";"1";"6424686"
"1";"2";"10594485"
"1";"1";"10359542"
"1";"1";"334977"
"1";"1";"7417315"
"1";"1";"9289162"
"1";"1";"5985719"
"1";"1";"8644153"
"1";"1";"6378316"
"1";"1";"9508110"
"1";"1";"6965453"
"1";"1";"8765433"
"1";"1";"335315"
"1";"1";"1208870"
"1";"1";"5464445"
"1";"1";"6242270"
"1";"1";"1465602"
"1";"1";"960417"
"1";"1";"9012867"
"1";"1";"175377"
"1";"1";"0"
"1";"1";"75720"
"1";"1";"534260"
"1";"1";"9519324"
"1";"1";"344156"
"1";"1";"6496329"
"1";"1";"1322794"
"2";"4";"7317268"
"2";"17";"6261915"
"2";"87";"7045876"
"2";"1";"7057673"
"2";"1";"7063367"
"2";"29";"6962354"
"2";"86";"0"
"2";"1";"4990587"
"2";"1";"7045876"
"2";"2";"7045876"
"2";"32";"7417312"
"2";"3";"7193798"
"2";"1";"7193798"
"2";"24";"6793526"
"2";"60";"7025421"
"2";"1";"7394742"
"2";"1";"6759971"
"2";"17";"6874185"
"2";"1";"496175"
"2";"1";"6585698"
"2";"2";"7417312"
"2";"3";"7265407"
"2";"3";"3943350"
"2";"1";"1637293"
"2";"1";"7335096"
"2";"1";"207818"
"2";"2";"7045876"
"2";"1";"6915599"
"2";"1";"7045876"
"2";"24";"7193798"
"2";"2";"6962354"
"2";"2";"5403334"
"2";"1";"6777299"
"2";"5";"6585698"
"2";"3";"6832593"
"2";"1";"7045876"
"2";"1";"7078676"
"2";"1";"7198508"
"2";"2";"1516231"
"2";"1";"6525162"
"2";"3";"747012"
"2";"4";"4352006"
"2";"1";"6734847"
