Source,Target,Kind,Type,Id,Label,Weight,distance
18,358,degree,Directed,66566,,14,18554648.252794843
648,358,degree,Directed,72441,,1,18785748.685339715
418,358,degree,Directed,75165,,6,18471874.17659331
358,358,degree,Directed,75375,,18,0.0
661,358,degree,Directed,75376,,1,11155628.483288819
454,358,degree,Directed,77370,,1,18549960.30113749
85,358,degree,Directed,77603,,1,18554648.252794843
48,358,degree,Directed,78575,,1,18554648.252794843
545,358,degree,Directed,86617,,1,17256488.856958453
464,358,degree,Directed,87171,,1,18838927.68031475
323,358,degree,Directed,90476,,3,17695295.461431652
769,358,degree,Directed,91281,,1,18327704.50328882
361,358,degree,Directed,95600,,1,17502082.08799931
592,358,degree,Directed,96156,,1,18356050.055970434
14,358,degree,Directed,96719,,1,18365936.02388753
79,358,degree,Directed,97273,,1,18554648.252794843
2,358,degree,Directed,98422,,2,18846304.16020664
717,358,degree,Directed,99665,,1,18270661.37799599
260,358,degree,Directed,100608,,1,18323997.967731103
549,358,degree,Directed,100627,,1,18459420.03687169
287,358,degree,Directed,103775,,1,18609620.019650448
458,358,degree,Directed,105115,,1,18838927.68031475
1016,358,degree,Directed,105571,,1,8699415.037267605
409,358,degree,Directed,106925,,1,16133639.248793839
772,358,degree,Directed,106951,,1,18294736.03439315
1140,358,degree,Directed,108487,,1,14333483.491997138
733,358,degree,Directed,108639,,1,10299028.849053113
978,358,degree,Directed,108868,,1,9950483.311856406
