Source,Target,Kind,Type,Id,Label,Weight
1,284,degree,Directed,64440,,1.0
284,641,degree,Directed,64441,,2.449489742783178
170,1,degree,Directed,64442,,1.0
1,48,degree,Directed,64443,,1.0
48,48,degree,Directed,64444,,20.049937655763422
648,350,degree,Directed,64445,,4.795831523312719
350,891,degree,Directed,64446,,2.23606797749979
244,244,degree,Directed,64447,,53.23532661682466
244,159,degree,Directed,64448,,36.72873534441391
811,170,degree,Directed,64449,,3.872983346207417
170,182,degree,Directed,64450,,3.1622776601683795
620,619,degree,Directed,64451,,16.792855623746664
619,619,degree,Directed,64452,,41.892720131306824
619,777,degree,Directed,64453,,5.477225575051661
432,871,degree,Directed,64454,,1.4142135623730951
871,435,degree,Directed,64455,,1.0
435,432,degree,Directed,64456,,18.81488772222678
2,2,degree,Directed,64457,,80.83934685535256
2,613,degree,Directed,64458,,2.449489742783178
613,418,degree,Directed,64459,,3.0
418,787,degree,Directed,64460,,3.872983346207417
861,861,degree,Directed,64461,,4.123105625617661
861,2,degree,Directed,64462,,4.47213595499958
2,696,degree,Directed,64463,,1.0
697,2,degree,Directed,64464,,5.830951894845301
464,960,degree,Directed,64465,,1.0
960,602,degree,Directed,64466,,1.0
602,18,degree,Directed,64467,,2.6457513110645907
2,454,degree,Directed,64468,,7.681145747868608
454,18,degree,Directed,64469,,25.39685019840059
18,18,degree,Directed,64470,,187.61396536505484
18,454,degree,Directed,64471,,25.179356624028344
346,2,degree,Directed,64472,,8.660254037844387
2,345,degree,Directed,64473,,1.0
345,458,degree,Directed,64474,,2.0
458,458,degree,Directed,64475,,102.78132126023678
846,2,degree,Directed,64476,,11.0
2,669,degree,Directed,64477,,4.123105625617661
378,2,degree,Directed,64478,,8.18535277187245
2,378,degree,Directed,64479,,9.695359714832659
378,260,degree,Directed,64480,,12.569805089976535
260,18,degree,Directed,64481,,56.568542494923804
2,487,degree,Directed,64482,,1.4142135623730951
487,297,degree,Directed,64483,,1.0
297,487,degree,Directed,64484,,1.4142135623730951
487,717,degree,Directed,64485,,4.123105625617661
2,346,degree,Directed,64486,,6.4031242374328485
346,346,degree,Directed,64487,,40.4103947023535
2,846,degree,Directed,64488,,5.477225575051661
2,641,degree,Directed,64489,,6.6332495807108
641,2,degree,Directed,64490,,13.2664991614216
284,2,degree,Directed,64491,,10.04987562112089
2,383,degree,Directed,64492,,2.6457513110645907
323,2,degree,Directed,64493,,9.16515138991168
917,2,degree,Directed,64494,,1.4142135623730951
2,27,degree,Directed,64495,,10.677078252031311
27,27,degree,Directed,64496,,66.94774081326419
464,2,degree,Directed,64497,,10.344080432788601
458,2,degree,Directed,64498,,20.024984394500787
2,458,degree,Directed,64499,,18.303005217723125
858,2,degree,Directed,64500,,1.0
2,8,degree,Directed,64501,,8.246211251235321
8,2,degree,Directed,64502,,17.88854381999832
633,2,degree,Directed,64503,,6.082762530298219
2,633,degree,Directed,64504,,5.0
633,633,degree,Directed,64505,,50.91168824543142
2,287,degree,Directed,64506,,14.933184523068078
287,18,degree,Directed,64507,,27.459060435491963
