Source,Target,Kind,Type,Id,Label,Weight
1,284,degree,Directed,64440,,1
284,641,degree,Directed,64441,,6
170,1,degree,Directed,64442,,1
1,48,degree,Directed,64443,,1
48,48,degree,Directed,64444,,402
648,350,degree,Directed,64445,,23
350,891,degree,Directed,64446,,5
244,244,degree,Directed,64447,,2834
244,159,degree,Directed,64448,,1349
811,170,degree,Directed,64449,,15
170,182,degree,Directed,64450,,10
620,619,degree,Directed,64451,,282
619,619,degree,Directed,64452,,1755
619,777,degree,Directed,64453,,30
432,871,degree,Directed,64454,,2
871,435,degree,Directed,64455,,1
435,432,degree,Directed,64456,,354
2,2,degree,Directed,64457,,6535
2,613,degree,Directed,64458,,6
613,418,degree,Directed,64459,,9
418,787,degree,Directed,64460,,15
861,861,degree,Directed,64461,,17
861,2,degree,Directed,64462,,20
2,696,degree,Directed,64463,,1
697,2,degree,Directed,64464,,34
464,960,degree,Directed,64465,,1
960,602,degree,Directed,64466,,1
602,18,degree,Directed,64467,,7
2,454,degree,Directed,64468,,59
454,18,degree,Directed,64469,,645
18,18,degree,Directed,64470,,35199
18,454,degree,Directed,64471,,634
346,2,degree,Directed,64472,,75
2,345,degree,Directed,64473,,1
345,458,degree,Directed,64474,,4
458,458,degree,Directed,64475,,10564
846,2,degree,Directed,64476,,121
2,669,degree,Directed,64477,,17
378,2,degree,Directed,64478,,67
2,378,degree,Directed,64479,,94
378,260,degree,Directed,64480,,158
260,18,degree,Directed,64481,,3200
2,487,degree,Directed,64482,,2
487,297,degree,Directed,64483,,1
297,487,degree,Directed,64484,,2
487,717,degree,Directed,64485,,17
2,346,degree,Directed,64486,,41
346,346,degree,Directed,64487,,1633
2,846,degree,Directed,64488,,30
2,641,degree,Directed,64489,,44
641,2,degree,Directed,64490,,176
284,2,degree,Directed,64491,,101
2,383,degree,Directed,64492,,7
323,2,degree,Directed,64493,,84
917,2,degree,Directed,64494,,2
2,27,degree,Directed,64495,,114
27,27,degree,Directed,64496,,4482
464,2,degree,Directed,64497,,107
458,2,degree,Directed,64498,,401
2,458,degree,Directed,64499,,335
858,2,degree,Directed,64500,,1
2,8,degree,Directed,64501,,68
8,2,degree,Directed,64502,,320
633,2,degree,Directed,64503,,37
2,633,degree,Directed,64504,,25
633,633,degree,Directed,64505,,2592
2,287,degree,Directed,64506,,223
287,18,degree,Directed,64507,,754
2,557,degree,Directed,64508,,16
488,2,degree,Directed,64509,,367
2,787,degree,Directed,64510,,4
787,640,degree,Directed,64511,,2
2,53,degree,Directed,64512,,3
53,18,degree,Directed,64513,,46
2,18,degree,Directed,64514,,579
159,924,degree,Directed,64515,,52
924,159,degree,Directed,64516,,44
159,159,degree,Directed,64517,,13903
549,2,degree,Directed,64518,,23
2,549,degree,Directed,64519,,2
549,549,degree,Directed,64520,,808
103,2,degree,Directed,64521,,2
705,564,degree,Directed,64522,,29
564,432,degree,Directed,64523,,437
432,432,degree,Directed,64524,,5204
2,424,degree,Directed,64525,,5
424,424,degree,Directed,64526,,39
575,1008,degree,Directed,64527,,1
1008,2,degree,Directed,64528,,2
2,1008,degree,Directed,64529,,6
717,2,degree,Directed,64530,,137
488,1044,degree,Directed,64531,,2
1044,2,degree,Directed,64532,,6
2,172,degree,Directed,64533,,21
172,2,degree,Directed,64534,,24
464,464,degree,Directed,64535,,2758
619,725,degree,Directed,64536,,16
725,418,degree,Directed,64537,,6
418,418,degree,Directed,64538,,14292
2,559,degree,Directed,64539,,15
772,2,degree,Directed,64540,,5
18,2,degree,Directed,64541,,219
260,422,degree,Directed,64542,,26
422,2,degree,Directed,64543,,10
18,610,degree,Directed,64544,,3
361,2,degree,Directed,64545,,59
2,921,degree,Directed,64546,,7
921,2,degree,Directed,64547,,24
2,128,degree,Directed,64548,,1
128,2,degree,Directed,64549,,3
2,640,degree,Directed,64550,,5
700,2,degree,Directed,64551,,10
2,699,degree,Directed,64552,,1
699,237,degree,Directed,64553,,4
2,260,degree,Directed,64554,,114
1040,1040,degree,Directed,64555,,15
1040,2,degree,Directed,64556,,41
2,418,degree,Directed,64557,,273
2,329,degree,Directed,64558,,1
329,2,degree,Directed,64559,,1
409,409,degree,Directed,64560,,2211
409,2,degree,Directed,64561,,62
2,777,degree,Directed,64562,,54
458,166,degree,Directed,64563,,61
166,2,degree,Directed,64564,,44
2,488,degree,Directed,64565,,30
876,27,degree,Directed,64566,,4
27,94,degree,Directed,64567,,10
593,2,degree,Directed,64568,,54
296,294,degree,Directed,64569,,2
294,641,degree,Directed,64570,,1
18,83,degree,Directed,64571,,2
83,18,degree,Directed,64572,,4
287,2,degree,Directed,64573,,346
2,505,degree,Directed,64574,,4
505,505,degree,Directed,64575,,64
362,2,degree,Directed,64576,,7
2,631,degree,Directed,64577,,7
258,18,degree,Directed,64578,,16
378,378,degree,Directed,64579,,10127
699,839,degree,Directed,64580,,11
839,2,degree,Directed,64581,,4
438,564,degree,Directed,64582,,19
564,2,degree,Directed,64583,,119
641,641,degree,Directed,64584,,118
669,260,degree,Directed,64585,,362
260,2,degree,Directed,64586,,89
18,458,degree,Directed,64587,,184
458,3,degree,Directed,64588,,14
287,284,degree,Directed,64589,,227
284,284,degree,Directed,64590,,409
705,166,degree,Directed,64591,,14
315,18,degree,Directed,64592,,191
627,2,degree,Directed,64593,,21
645,2,degree,Directed,64594,,24
491,458,degree,Directed,64595,,5
669,418,degree,Directed,64596,,216
418,2,degree,Directed,64597,,121
641,707,degree,Directed,64598,,1
707,2,degree,Directed,64599,,2
290,2,degree,Directed,64600,,112
350,350,degree,Directed,64601,,494
350,2,degree,Directed,64602,,64
488,458,degree,Directed,64603,,994
9,2,degree,Directed,64604,,62
