Source,Target,Kind,Type,Id,Label,Weight,From,Destination,year
284,641,degree,Directed,3,,1,pontificia universidade catolica do parana,universidade do vale do itajai,2014
48,48,degree,Directed,7,,17,universidade presbiteriana mackenzie,universidade presbiteriana mackenzie,1998
244,159,degree,Directed,15,,9,universidade federal fluminense,universidade federal do rio de janeiro,1997
619,777,degree,Directed,23,,5,universidade federal de goias,universidade federal de sao carlos,2011
435,432,degree,Directed,27,,19,universidade federal rural de pernambuco,universidade federal de pernambuco,2012
2,2,degree,Directed,43,,216,universidade federal de santa catarina,universidade federal de santa catarina,2008
18,454,degree,Directed,54,,6,universidade de sao paulo,universidade federal de sao paulo,1997
458,458,degree,Directed,60,,82,universidade federal do rio grande do sul,universidade federal do rio grande do sul,1998
378,260,degree,Directed,69,,5,universidade federal de minas gerais,universidade estadual paulista julio de mesquita filho,1997
487,717,degree,Directed,76,,2,universidade estadual do centro oeste,universidade estadual de maringa,2014
346,346,degree,Directed,80,,79,universidade federal de pelotas,universidade federal de pelotas,2012
2,2,degree,Directed,86,,252,universidade federal de santa catarina,universidade federal de santa catarina,2010
2,2,degree,Directed,92,,218,universidade federal de santa catarina,universidade federal de santa catarina,2007
2,383,degree,Directed,96,,1,universidade federal de santa catarina,pontificia universidade catolica de minas gerais,2012
27,27,degree,Directed,106,,75,pontificia universidade catolica de sao paulo,pontificia universidade catolica de sao paulo,1997
2,2,degree,Directed,117,,281,universidade federal de santa catarina,universidade federal de santa catarina,2012
2,458,degree,Directed,121,,3,universidade federal de santa catarina,universidade federal do rio grande do sul,1998
8,2,degree,Directed,126,,5,universidade do estado de santa catarina,universidade federal de santa catarina,2013
633,633,degree,Directed,130,,74,universidade federal do rio grande do norte,universidade federal do rio grande do norte,2008
287,18,degree,Directed,135,,13,universidade federal do parana,universidade de sao paulo,1999
2,2,degree,Directed,145,,253,universidade federal de santa catarina,universidade federal de santa catarina,2009
2,458,degree,Directed,149,,1,universidade federal de santa catarina,universidade federal do rio grande do sul,1992
53,18,degree,Directed,160,,1,universidade camilo castelo branco,universidade de sao paulo,2006
2,18,degree,Directed,165,,19,universidade federal de santa catarina,universidade de sao paulo,2002
2,2,degree,Directed,169,,33,universidade federal de santa catarina,universidade federal de santa catarina,1996
159,159,degree,Directed,174,,256,universidade federal do rio de janeiro,universidade federal do rio de janeiro,2000
549,549,degree,Directed,179,,15,universidade federal de juiz de fora,universidade federal de juiz de fora,2010
2,2,degree,Directed,184,,252,universidade federal de santa catarina,universidade federal de santa catarina,2004
432,432,degree,Directed,188,,289,universidade federal de pernambuco,universidade federal de pernambuco,2013
424,424,degree,Directed,192,,5,centro de pesquisas odontologicas sao leopoldo mandic,centro de pesquisas odontologicas sao leopoldo mandic,2014
172,2,degree,Directed,208,,1,universidade do estado do rio de janeiro,universidade federal de santa catarina,1995
418,418,degree,Directed,218,,180,universidade estadual de campinas,universidade estadual de campinas,1996
2,2,degree,Directed,228,,143,universidade federal de santa catarina,universidade federal de santa catarina,2001
2,2,degree,Directed,232,,262,universidade federal de santa catarina,universidade federal de santa catarina,2011
18,18,degree,Directed,245,,839,universidade de sao paulo,universidade de sao paulo,2002
