Source,Target,Kind,Type,Id,Label,Weight
641,324,work,Directed,40514,,1.0
891,1440,work,Directed,40515,,2.23606797749979
159,316,work,Directed,40516,,25.179356624028344
432,1351,work,Directed,40517,,2.449489742783178
787,1247,work,Directed,40518,,2.23606797749979
2,1255,work,Directed,40519,,9.899494936611665
18,1247,work,Directed,40520,,15.556349186104045
454,1247,work,Directed,40521,,6.324555320336759
458,1241,work,Directed,40522,,10.344080432788601
669,1318,work,Directed,40523,,1.0
18,1280,work,Directed,40524,,16.278820596099706
346,1242,work,Directed,40525,,18.083141320025124
2,1247,work,Directed,40526,,34.46737587922817
383,1316,work,Directed,40527,,1.4142135623730951
2,1569,work,Directed,40528,,3.7416573867739413
458,1261,work,Directed,40529,,12.041594578792296
633,1274,work,Directed,40530,,25.019992006393608
557,1247,work,Directed,40531,,3.0
458,1250,work,Directed,40532,,14.560219778561036
640,1274,work,Directed,40533,,1.7320508075688772
18,1246,work,Directed,40534,,1.7320508075688772
2,1315,work,Directed,40535,,10.295630140987
549,605,work,Directed,40536,,10.908712114635714
424,1783,work,Directed,40537,,1.0
2,1476,work,Directed,40538,,5.5677643628300215
418,1478,work,Directed,40539,,3.3166247903554
559,1274,work,Directed,40540,,2.23606797749979
2,1703,work,Directed,40541,,8.94427190999916
2,1435,work,Directed,40542,,2.23606797749979
610,1247,work,Directed,40543,,1.0
2,1282,work,Directed,40544,,11.045361017187261
27,1284,work,Directed,40545,,24.43358344574123
640,1255,work,Directed,40546,,1.4142135623730951
458,895,work,Directed,40547,,17.86057109949175
237,1534,work,Directed,40548,,2.8284271247461903
260,434,work,Directed,40549,,4.242640687119285
418,21,work,Directed,40550,,11.489125293076057
777,1700,work,Directed,40551,,1.0
2,8702,work,Directed,40552,,1.0
2,1283,work,Directed,40553,,7.54983443527075
94,1420,work,Directed,40554,,1.0
418,1243,work,Directed,40555,,8.48528137423857
18,1420,work,Directed,40556,,7.211102550927978
505,6,work,Directed,40557,,4.795831523312719
631,1247,work,Directed,40558,,2.0
2,265,work,Directed,40559,,5.196152422706632
2,436,work,Directed,40560,,4.123105625617661
2,1320,work,Directed,40561,,5.0990195135927845
2,1439,work,Directed,40562,,1.0
2,1291,work,Directed,40563,,3.4641016151377544
2,21,work,Directed,40564,,6.855654600401044
3,1243,work,Directed,40565,,2.23606797749979
2,1446,work,Directed,40566,,5.830951894845301
2,175,work,Directed,40567,,5.744562646538029
2,1370,work,Directed,40568,,5.0990195135927845
2,1308,work,Directed,40569,,6.4031242374328485
2,895,work,Directed,40570,,10.677078252031311
2,434,work,Directed,40571,,14.106735979665885
2,1332,work,Directed,40572,,13.820274961085254
418,1247,work,Directed,40573,,10.295630140987
2,1242,work,Directed,40574,,6.082762530298219
2,1525,work,Directed,40575,,1.4142135623730951
2,1163,work,Directed,40576,,6.082762530298219
4,420,work,Directed,40577,,2.23606797749979
2,316,work,Directed,40578,,3.3166247903554
2,1450,work,Directed,40579,,6.164414002968976
4,1247,work,Directed,40580,,3.7416573867739413
2,1260,work,Directed,40581,,5.196152422706632
2,278,work,Directed,40582,,4.358898943540674
2,1261,work,Directed,40583,,3.7416573867739413
2,1280,work,Directed,40584,,5.385164807134504
2,540,work,Directed,40585,,7.483314773547883
965,1369,work,Directed,40586,,1.0
4,1252,work,Directed,40587,,3.3166247903554
2,1219,work,Directed,40588,,5.830951894845301
287,1247,work,Directed,40589,,6.244997998398398
18,6,work,Directed,40590,,83.16850365372699
908,1245,work,Directed,40591,,1.0
2,1545,work,Directed,40592,,3.3166247903554
2,1396,work,Directed,40593,,4.0
2,8059,work,Directed,40594,,1.0
2,7994,work,Directed,40595,,2.449489742783178
882,1255,work,Directed,40596,,1.4142135623730951
2,1342,work,Directed,40597,,3.4641016151377544
2,1223,work,Directed,40598,,1.0
2,1539,work,Directed,40599,,7.810249675906654
2,1262,work,Directed,40600,,4.795831523312719
2,1759,work,Directed,40601,,5.0
677,379,work,Directed,40602,,1.7320508075688772
2,1664,work,Directed,40603,,1.0
2,1243,work,Directed,40604,,7.14142842854285
2,1515,work,Directed,40605,,2.6457513110645907
2,1351,work,Directed,40606,,3.3166247903554
2,1319,work,Directed,40607,,2.6457513110645907
2,420,work,Directed,40608,,5.830951894845301
2,1632,work,Directed,40609,,2.0
2,1477,work,Directed,40610,,4.0
2,1241,work,Directed,40611,,4.0
1049,173,work,Directed,40612,,1.0
2,1349,work,Directed,40613,,3.4641016151377544
2,1177,work,Directed,40614,,4.0
2,1478,work,Directed,40615,,2.0
4,462,work,Directed,40616,,1.0
2,23,work,Directed,40617,,1.0
2,605,work,Directed,40618,,2.6457513110645907
2,1527,work,Directed,40619,,6.244997998398398
2,379,work,Directed,40620,,7.0
2,1197,work,Directed,40621,,2.0
627,1285,work,Directed,40622,,11.74734012447073
2,1271,work,Directed,40623,,4.58257569495584
2,1453,work,Directed,40624,,1.4142135623730951
2,1373,work,Directed,40625,,1.7320508075688772
2,1252,work,Directed,40626,,4.69041575982343
2,266,work,Directed,40627,,5.916079783099616
2,1820,work,Directed,40628,,3.0
2,8142,work,Directed,40629,,2.6457513110645907
608,1247,work,Directed,40630,,2.449489742783178
4,1262,work,Directed,40631,,2.449489742783178
2,1553,work,Directed,40632,,2.6457513110645907
2,1440,work,Directed,40633,,4.47213595499958
2,1244,work,Directed,40634,,4.242640687119285
2,1662,work,Directed,40635,,1.0
2,160,work,Directed,40636,,7.280109889280518
2,324,work,Directed,40637,,2.449489742783178
2,419,work,Directed,40638,,4.58257569495584
678,1260,work,Directed,40639,,1.7320508075688772
2,1246,work,Directed,40640,,4.358898943540674
5,1288,work,Directed,40641,,3.0
2,1758,work,Directed,40642,,4.898979485566356
287,1282,work,Directed,40643,,29.698484809834994
686,434,work,Directed,40644,,1.0
2,1652,work,Directed,40645,,1.4142135623730951
2,1305,work,Directed,40646,,2.6457513110645907
1144,266,work,Directed,40647,,1.0
570,8272,work,Directed,40648,,1.4142135623730951
166,1350,work,Directed,40649,,1.7320508075688772
418,1539,work,Directed,40650,,4.242640687119285
27,1247,work,Directed,40651,,7.0710678118654755
659,1247,work,Directed,40652,,2.8284271247461903
159,1243,work,Directed,40653,,6.48074069840786
159,1247,work,Directed,40654,,7.745966692414834
847,160,work,Directed,40655,,14.491376746189438
287,1545,work,Directed,40656,,2.449489742783178
