Source,Target,Kind,Type,Id,Label,Weight
641,324,work,Directed,40514,,1
891,1440,work,Directed,40515,,5
159,316,work,Directed,40516,,634
432,1351,work,Directed,40517,,6
787,1247,work,Directed,40518,,5
2,1255,work,Directed,40519,,98
18,1247,work,Directed,40520,,242
454,1247,work,Directed,40521,,40
458,1241,work,Directed,40522,,107
669,1318,work,Directed,40523,,1
18,1280,work,Directed,40524,,265
346,1242,work,Directed,40525,,327
2,1247,work,Directed,40526,,1188
383,1316,work,Directed,40527,,2
2,1569,work,Directed,40528,,14
458,1261,work,Directed,40529,,145
633,1274,work,Directed,40530,,626
557,1247,work,Directed,40531,,9
458,1250,work,Directed,40532,,212
640,1274,work,Directed,40533,,3
18,1246,work,Directed,40534,,3
2,1315,work,Directed,40535,,106
549,605,work,Directed,40536,,119
424,1783,work,Directed,40537,,1
2,1476,work,Directed,40538,,31
418,1478,work,Directed,40539,,11
559,1274,work,Directed,40540,,5
2,1703,work,Directed,40541,,80
2,1435,work,Directed,40542,,5
610,1247,work,Directed,40543,,1
2,1282,work,Directed,40544,,122
27,1284,work,Directed,40545,,597
640,1255,work,Directed,40546,,2
458,895,work,Directed,40547,,319
237,1534,work,Directed,40548,,8
260,434,work,Directed,40549,,18
418,21,work,Directed,40550,,132
777,1700,work,Directed,40551,,1
2,8702,work,Directed,40552,,1
2,1283,work,Directed,40553,,57
94,1420,work,Directed,40554,,1
418,1243,work,Directed,40555,,72
18,1420,work,Directed,40556,,52
505,6,work,Directed,40557,,23
631,1247,work,Directed,40558,,4
2,265,work,Directed,40559,,27
2,436,work,Directed,40560,,17
2,1320,work,Directed,40561,,26
2,1439,work,Directed,40562,,1
2,1291,work,Directed,40563,,12
2,21,work,Directed,40564,,47
3,1243,work,Directed,40565,,5
2,1446,work,Directed,40566,,34
2,175,work,Directed,40567,,33
2,1370,work,Directed,40568,,26
2,1308,work,Directed,40569,,41
2,895,work,Directed,40570,,114
2,434,work,Directed,40571,,199
2,1332,work,Directed,40572,,191
418,1247,work,Directed,40573,,106
2,1242,work,Directed,40574,,37
2,1525,work,Directed,40575,,2
2,1163,work,Directed,40576,,37
4,420,work,Directed,40577,,5
2,316,work,Directed,40578,,11
2,1450,work,Directed,40579,,38
4,1247,work,Directed,40580,,14
2,1260,work,Directed,40581,,27
2,278,work,Directed,40582,,19
2,1261,work,Directed,40583,,14
2,1280,work,Directed,40584,,29
2,540,work,Directed,40585,,56
965,1369,work,Directed,40586,,1
4,1252,work,Directed,40587,,11
2,1219,work,Directed,40588,,34
287,1247,work,Directed,40589,,39
18,6,work,Directed,40590,,6917
908,1245,work,Directed,40591,,1
2,1545,work,Directed,40592,,11
2,1396,work,Directed,40593,,16
2,8059,work,Directed,40594,,1
2,7994,work,Directed,40595,,6
882,1255,work,Directed,40596,,2
2,1342,work,Directed,40597,,12
2,1223,work,Directed,40598,,1
2,1539,work,Directed,40599,,61
2,1262,work,Directed,40600,,23
2,1759,work,Directed,40601,,25
677,379,work,Directed,40602,,3
2,1664,work,Directed,40603,,1
2,1243,work,Directed,40604,,51
2,1515,work,Directed,40605,,7
2,1351,work,Directed,40606,,11
