Source,Target,Kind,Type,Id,Label,Weight
2079,1,birth,Directed,1,,1
1,284,degree,Directed,2,,1
284,641,degree,Directed,3,,6
641,324,work,Directed,4,,1
170,1,degree,Directed,5,,1
1,48,degree,Directed,6,,1
48,48,degree,Directed,7,,402
3083,648,birth,Directed,8,,9
648,350,degree,Directed,9,,23
350,891,degree,Directed,10,,5
891,1440,work,Directed,11,,5
2157,244,birth,Directed,12,,688
244,244,degree,Directed,13,,2834
244,159,degree,Directed,14,,1349
159,316,work,Directed,15,,634
2125,811,birth,Directed,16,,2
811,170,degree,Directed,17,,15
170,182,degree,Directed,18,,10
6165,620,birth,Directed,19,,2
620,619,degree,Directed,20,,282
619,619,degree,Directed,21,,1755
619,777,degree,Directed,22,,30
2212,432,birth,Directed,23,,12
432,871,degree,Directed,24,,2
871,435,degree,Directed,25,,1
435,432,degree,Directed,26,,354
432,1351,work,Directed,27,,6
2167,2,birth,Directed,28,,842
2,2,degree,Directed,29,,6535
2,613,degree,Directed,30,,6
613,418,degree,Directed,31,,9
418,787,degree,Directed,32,,15
787,1247,work,Directed,33,,5
2253,861,birth,Directed,34,,24
861,861,degree,Directed,35,,17
861,2,degree,Directed,36,,20
2,696,degree,Directed,37,,1
2283,697,birth,Directed,38,,12
697,2,degree,Directed,39,,34
2,1255,work,Directed,40,,98
2002,464,birth,Directed,41,,1337
464,960,degree,Directed,42,,1
960,602,degree,Directed,43,,1
602,18,degree,Directed,44,,7
18,1247,work,Directed,45,,242
2,454,degree,Directed,46,,59
454,18,degree,Directed,47,,645
18,18,degree,Directed,48,,35199
18,454,degree,Directed,49,,634
454,1247,work,Directed,50,,40
2703,346,birth,Directed,51,,4
346,2,degree,Directed,52,,75
2,345,degree,Directed,53,,1
345,458,degree,Directed,54,,4
458,458,degree,Directed,55,,10564
458,1241,work,Directed,56,,107
1978,846,birth,Directed,57,,13
846,2,degree,Directed,58,,121
2,669,degree,Directed,59,,17
669,1318,work,Directed,60,,1
1970,378,birth,Directed,61,,3351
378,2,degree,Directed,62,,67
2,378,degree,Directed,63,,94
378,260,degree,Directed,64,,158
260,18,degree,Directed,65,,3200
18,1280,work,Directed,66,,265
4464,2,birth,Directed,67,,1
2,487,degree,Directed,68,,2
487,297,degree,Directed,69,,1
297,487,degree,Directed,70,,2
487,717,degree,Directed,71,,17
2215,2,birth,Directed,72,,1
2,346,degree,Directed,73,,41
346,346,degree,Directed,74,,1633
346,1242,work,Directed,75,,327
2,846,degree,Directed,76,,30
2,1247,work,Directed,77,,1188
2,641,degree,Directed,78,,44
641,2,degree,Directed,79,,176
2034,284,birth,Directed,80,,397
284,2,degree,Directed,81,,101
2,383,degree,Directed,82,,7
383,1316,work,Directed,83,,2
1978,323,birth,Directed,84,,118
323,2,degree,Directed,85,,84
2275,917,birth,Directed,86,,1
917,2,degree,Directed,87,,2
2,27,degree,Directed,88,,114
27,27,degree,Directed,89,,4482
464,2,degree,Directed,90,,107
2665,346,birth,Directed,91,,2
2,1569,work,Directed,92,,14
2034,2,birth,Directed,93,,63
2002,458,birth,Directed,94,,3359
458,2,degree,Directed,95,,401
2,458,degree,Directed,96,,335
458,1261,work,Directed,97,,145
3656,858,birth,Directed,98,,1
858,2,degree,Directed,99,,1
2,8,degree,Directed,100,,68
8,2,degree,Directed,101,,320
2117,633,birth,Directed,102,,1008
633,2,degree,Directed,103,,37
2,633,degree,Directed,104,,25
633,633,degree,Directed,105,,2592
633,1274,work,Directed,106,,626
2,287,degree,Directed,107,,223
287,18,degree,Directed,108,,754
1971,2,birth,Directed,109,,81
2,557,degree,Directed,110,,16
557,1247,work,Directed,111,,9
2062,488,birth,Directed,112,,71
488,2,degree,Directed,113,,367
458,1250,work,Directed,114,,212
2,787,degree,Directed,115,,4
787,640,degree,Directed,116,,2
640,1274,work,Directed,117,,3
2804,488,birth,Directed,118,,49
2,53,degree,Directed,119,,3
53,18,degree,Directed,120,,46
18,1246,work,Directed,121,,3
2,18,degree,Directed,122,,579
2792,2,birth,Directed,123,,1
2,1315,work,Directed,124,,106
2017,159,birth,Directed,125,,26
159,924,degree,Directed,126,,52
924,159,degree,Directed,127,,44
159,159,degree,Directed,128,,13903
2151,549,birth,Directed,129,,762
549,2,degree,Directed,130,,23
2,549,degree,Directed,131,,2
549,549,degree,Directed,132,,808
549,605,work,Directed,133,,119
1978,103,birth,Directed,134,,39
103,2,degree,Directed,135,,2
2000,705,birth,Directed,136,,597
705,564,degree,Directed,137,,29
564,432,degree,Directed,138,,437
432,432,degree,Directed,139,,5204
2002,2,birth,Directed,140,,91
2,424,degree,Directed,141,,5
424,424,degree,Directed,142,,39
424,1783,work,Directed,143,,1
5547,575,birth,Directed,144,,1
575,1008,degree,Directed,145,,1
1008,2,degree,Directed,146,,2
2,1008,degree,Directed,147,,6
2066,717,birth,Directed,148,,593
717,2,degree,Directed,149,,137
2,1476,work,Directed,150,,31
2208,488,birth,Directed,151,,6
488,1044,degree,Directed,152,,2
1044,2,degree,Directed,153,,6
2,172,degree,Directed,154,,21
172,2,degree,Directed,155,,24
2167,464,birth,Directed,156,,5
464,464,degree,Directed,157,,2758
2053,619,birth,Directed,158,,776
619,725,degree,Directed,159,,16
725,418,degree,Directed,160,,6
418,418,degree,Directed,161,,14292
418,1478,work,Directed,162,,11
2,559,degree,Directed,163,,15
559,1274,work,Directed,164,,5
2863,2,birth,Directed,165,,18
2109,2,birth,Directed,166,,98
2,1703,work,Directed,167,,80
2126,772,birth,Directed,168,,2
772,2,degree,Directed,169,,5
1978,18,birth,Directed,170,,7566
18,2,degree,Directed,171,,219
2402,2,birth,Directed,172,,3
2,1435,work,Directed,173,,5
2024,260,birth,Directed,174,,195
260,422,degree,Directed,175,,26
422,2,degree,Directed,176,,10
18,610,degree,Directed,177,,3
610,1247,work,Directed,178,,1
2167,8,birth,Directed,179,,141
2361,2,birth,Directed,180,,76
2,1282,work,Directed,181,,122
2163,361,birth,Directed,182,,1648
361,2,degree,Directed,183,,59
27,1284,work,Directed,184,,597
2204,2,birth,Directed,185,,1
2,921,degree,Directed,186,,7
921,2,degree,Directed,187,,24
2,128,degree,Directed,188,,1
128,2,degree,Directed,189,,3
2,640,degree,Directed,190,,5
640,1255,work,Directed,191,,2
2125,488,birth,Directed,192,,1031
458,895,work,Directed,193,,319
2179,700,birth,Directed,194,,135
700,2,degree,Directed,195,,10
2,699,degree,Directed,196,,1
699,237,degree,Directed,197,,4
237,1534,work,Directed,198,,8
2,260,degree,Directed,199,,114
260,434,work,Directed,200,,18
2245,1040,birth,Directed,201,,46
1040,1040,degree,Directed,202,,15
1040,2,degree,Directed,203,,41
2058,464,birth,Directed,204,,2
2,418,degree,Directed,205,,273
418,21,work,Directed,206,,132
2,329,degree,Directed,207,,1
329,2,degree,Directed,208,,1
2058,409,birth,Directed,209,,1591
409,409,degree,Directed,210,,2211
409,2,degree,Directed,211,,62
2,777,degree,Directed,212,,54
777,1700,work,Directed,213,,1
2786,2,birth,Directed,214,,16
2832,458,birth,Directed,215,,10
458,166,degree,Directed,216,,61
166,2,degree,Directed,217,,44
2,8702,work,Directed,218,,1
2,488,degree,Directed,219,,30
2,1283,work,Directed,220,,57
2026,876,birth,Directed,221,,1
876,27,degree,Directed,222,,4
27,94,degree,Directed,223,,10
94,1420,work,Directed,224,,1
2512,458,birth,Directed,225,,59
418,1243,work,Directed,226,,72
3045,593,birth,Directed,227,,1
593,2,degree,Directed,228,,54
3280,296,birth,Directed,229,,1
296,294,degree,Directed,230,,2
294,641,degree,Directed,231,,1
2053,18,birth,Directed,232,,41
18,83,degree,Directed,233,,2
83,18,degree,Directed,234,,4
