Source,Target,Kind,Type,Id,Label,Weight
1,1,all,Directed,75,,113690
2,1,all,Directed,76,,22050
1,2,all,Directed,77,,21782
2,2,all,Directed,78,,410646
3,3,all,Directed,79,,18468
3,2,all,Directed,80,,8427
4,4,all,Directed,81,,75247
4,2,all,Directed,82,,16288
2,4,all,Directed,83,,14741
4,5,all,Directed,84,,1204
1,5,all,Directed,85,,1357
2,3,all,Directed,86,,11363
3,1,all,Directed,87,,1629
4,1,all,Directed,88,,2769
1,4,all,Directed,89,,2888
5,5,all,Directed,90,,10261
5,4,all,Directed,91,,976
5,1,all,Directed,92,,788
1,3,all,Directed,93,,2496
2,5,all,Directed,94,,5706
5,2,all,Directed,95,,4013
5,3,all,Directed,96,,586
4,3,all,Directed,97,,1843
3,4,all,Directed,98,,1191
3,5,all,Directed,99,,736
