Source,Target,Kind,Type,Id,Label,Weight
1,1,birth,Directed,0,,32746
2,2,birth,Directed,1,,97192
1,2,birth,Directed,2,,2978
3,3,birth,Directed,3,,4905
4,4,birth,Directed,4,,25085
2,1,birth,Directed,5,,3893
2,3,birth,Directed,6,,2397
5,5,birth,Directed,7,,3987
4,2,birth,Directed,8,,3113
4,1,birth,Directed,9,,378
5,1,birth,Directed,10,,177
3,2,birth,Directed,11,,2023
1,5,birth,Directed,12,,138
1,3,birth,Directed,13,,611
5,3,birth,Directed,14,,237
3,1,birth,Directed,15,,406
4,5,birth,Directed,16,,303
5,2,birth,Directed,17,,770
2,4,birth,Directed,18,,1814
1,4,birth,Directed,19,,305
5,4,birth,Directed,20,,312
2,5,birth,Directed,21,,411
4,3,birth,Directed,22,,604
3,5,birth,Directed,23,,85
3,4,birth,Directed,24,,225
