Source,Target,Kind,Type,Id,Label,Weight
1,1,degree,Directed,50,,62579
2,1,degree,Directed,51,,8785
1,2,degree,Directed,52,,17133
2,2,degree,Directed,53,,243785
3,3,degree,Directed,54,,10223
3,2,degree,Directed,55,,5975
4,2,degree,Directed,56,,12668
2,4,degree,Directed,57,,4157
4,4,degree,Directed,58,,37910
3,1,degree,Directed,59,,1027
4,1,degree,Directed,60,,2069
1,4,degree,Directed,61,,1323
5,4,degree,Directed,62,,554
4,5,degree,Directed,63,,395
5,1,degree,Directed,64,,552
1,3,degree,Directed,65,,1017
5,5,degree,Directed,66,,4681
5,2,degree,Directed,67,,3140
1,5,degree,Directed,68,,375
2,3,degree,Directed,69,,3566
2,5,degree,Directed,70,,1159
3,4,degree,Directed,71,,589
4,3,degree,Directed,72,,962
5,3,degree,Directed,73,,289
3,5,degree,Directed,74,,166
