Source,Target,Kind,Type,Id,Label,Weight,From,Destination,year
1,1,degree,Directed,3,,1854,sul,sul,2014
2,2,degree,Directed,7,,2654,sudeste,sudeste,1998
2,2,degree,Directed,14,,2356,sudeste,sudeste,1997
3,2,degree,Directed,22,,137,centro-oeste,sudeste,2011
4,4,degree,Directed,26,,1479,nordeste,nordeste,2012
1,1,degree,Directed,40,,1459,sul,sul,2008
1,2,degree,Directed,45,,7,sul,sudeste,1976
1,1,degree,Directed,57,,266,sul,sul,1998
1,1,degree,Directed,77,,2138,sul,sul,2012
1,1,degree,Directed,83,,1539,sul,sul,2010
1,1,degree,Directed,89,,1323,sul,sul,2007
1,2,degree,Directed,93,,370,sul,sudeste,2012
1,1,degree,Directed,123,,2272,sul,sul,2013
4,4,degree,Directed,127,,846,nordeste,nordeste,2008
1,2,degree,Directed,132,,187,sul,sudeste,1999
1,1,degree,Directed,141,,1615,sul,sul,2009
1,1,degree,Directed,145,,79,sul,sul,1992
2,2,degree,Directed,154,,5249,sudeste,sudeste,2006
1,2,degree,Directed,159,,292,sul,sudeste,2002
1,1,degree,Directed,163,,164,sul,sul,1996
2,2,degree,Directed,168,,3273,sudeste,sudeste,2000
2,2,degree,Directed,173,,5725,sudeste,sudeste,2010
1,1,degree,Directed,178,,1082,sul,sul,2004
4,4,degree,Directed,182,,1640,nordeste,nordeste,2013
2,2,degree,Directed,186,,4977,sudeste,sudeste,2014
2,1,degree,Directed,201,,31,sudeste,sul,1995
2,2,degree,Directed,211,,1991,sudeste,sudeste,1996
1,1,degree,Directed,220,,616,sul,sul,2001
1,1,degree,Directed,224,,1756,sul,sul,2011
2,2,degree,Directed,237,,4127,sudeste,sudeste,2002
1,2,degree,Directed,252,,177,sul,sudeste,1998
1,1,degree,Directed,257,,727,sul,sul,2002
2,1,degree,Directed,273,,126,sudeste,sul,2002
1,1,degree,Directed,278,,1195,sul,sul,2005
4,2,degree,Directed,287,,379,nordeste,sudeste,2013
1,1,degree,Directed,300,,420,sul,sul,1999
1,1,degree,Directed,325,,1058,sul,sul,2003
1,1,degree,Directed,329,,1191,sul,sul,2006
2,2,degree,Directed,344,,676,sudeste,sudeste,1988
2,2,degree,Directed,349,,1155,sudeste,sudeste,1993
2,2,degree,Directed,365,,5706,sudeste,sudeste,2008
1,1,degree,Directed,368,,13,sul,sul,1975
2,2,degree,Directed,373,,2961,sudeste,sudeste,1999
2,2,degree,Directed,377,,5984,sudeste,sudeste,2011
2,1,degree,Directed,384,,148,sudeste,sul,2006
4,1,degree,Directed,405,,38,nordeste,sul,2005
2,1,degree,Directed,413,,135,sudeste,sul,2007
1,1,degree,Directed,440,,504,sul,sul,2000
2,1,degree,Directed,472,,157,sudeste,sul,2009
5,1,degree,Directed,476,,18,norte,sul,2014
3,1,degree,Directed,555,,7,centro-oeste,sul,1999
2,1,degree,Directed,573,,57,sudeste,sul,1998
3,1,degree,Directed,578,,11,centro-oeste,sul,2005
4,1,degree,Directed,585,,73,nordeste,sul,2014
2,1,degree,Directed,593,,144,sudeste,sul,2003
2,1,degree,Directed,611,,146,sudeste,sul,2008
1,1,degree,Directed,666,,63,sul,sul,0
3,1,degree,Directed,737,,15,centro-oeste,sul,2008
1,1,degree,Directed,769,,158,sul,sul,1995
4,1,degree,Directed,831,,36,nordeste,sul,2012
4,1,degree,Directed,888,,10,nordeste,sul,1995
1,1,degree,Directed,914,,220,sul,sul,1997
4,1,degree,Directed,924,,53,nordeste,sul,2013
1,1,birth,Directed,1036,,6,sul,sul,2000
4,1,degree,Directed,1067,,25,nordeste,sul,2009
4,1,degree,Directed,1102,,30,nordeste,sul,2001
4,1,degree,Directed,1140,,30,nordeste,sul,2006
2,1,degree,Directed,1155,,196,sudeste,sul,2013
2,1,degree,Directed,1213,,139,sudeste,sul,2004
2,1,degree,Directed,1229,,60,sudeste,sul,1997
4,1,degree,Directed,1233,,39,nordeste,sul,2008
5,1,birth,Directed,1300,,2,norte,sul,2010
1,1,degree,Directed,1320,,123,sul,sul,1994
2,1,birth,Directed,1349,,5,sudeste,sul,2001
3,1,degree,Directed,1413,,33,centro-oeste,sul,2011
2,1,degree,Directed,1430,,134,sudeste,sul,2014
1,1,degree,Directed,1455,,75,sul,sul,1993
5,1,degree,Directed,1617,,8,norte,sul,2008
3,1,degree,Directed,1626,,32,centro-oeste,sul,2014
1,4,degree,Directed,1641,,28,sul,nordeste,2009
4,4,degree,Directed,1649,,1039,nordeste,nordeste,2010
2,2,degree,Directed,1654,,6425,sudeste,sudeste,2012
1,2,degree,Directed,1658,,400,sul,sudeste,2010
1,2,degree,Directed,1670,,305,sul,sudeste,2004
2,2,degree,Directed,1684,,1114,sudeste,sudeste,1992
3,3,degree,Directed,1703,,274,centro-oeste,centro-oeste,2008
1,2,degree,Directed,1708,,338,sul,sudeste,2014
1,2,degree,Directed,1735,,242,sul,sudeste,2001
2,2,degree,Directed,1742,,4622,sudeste,sudeste,2003
1,2,degree,Directed,1759,,104,sul,sudeste,1995
1,3,degree,Directed,1775,,30,sul,centro-oeste,2013
1,2,degree,Directed,1785,,338,sul,sudeste,2005
1,2,degree,Directed,1821,,384,sul,sudeste,2011
2,2,degree,Directed,1851,,3713,sudeste,sudeste,2001
1,3,degree,Directed,1861,,31,sul,centro-oeste,2014
2,2,degree,Directed,1879,,852,sudeste,sudeste,1990
2,2,degree,Directed,1952,,5843,sudeste,sudeste,2009
1,2,degree,Directed,1974,,364,sul,sudeste,2009
1,2,degree,Directed,1985,,130,sul,sudeste,1996
1,2,degree,Directed,1991,,411,sul,sudeste,2013
1,3,degree,Directed,1994,,20,sul,centro-oeste,2009
1,4,degree,Directed,2010,,48,sul,nordeste,2014
1,4,degree,Directed,2027,,51,sul,nordeste,2013
1,2,degree,Directed,2038,,334,sul,sudeste,2008
2,2,degree,Directed,2091,,223,sudeste,sudeste,1978
1,2,degree,Directed,2105,,332,sul,sudeste,2006
1,2,degree,Directed,2213,,343,sul,sudeste,2003
1,4,degree,Directed,2225,,5,sul,nordeste,1997
1,2,degree,Directed,2260,,131,sul,sudeste,1997
1,2,degree,Directed,2312,,26,sul,sudeste,1984
2,2,degree,Directed,2338,,1436,sudeste,sudeste,1994
4,4,degree,Directed,2343,,580,nordeste,nordeste,2005
5,2,degree,Directed,2427,,45,norte,sudeste,2003
4,4,degree,Directed,2433,,983,nordeste,nordeste,2009
4,4,degree,Directed,2439,,1419,nordeste,nordeste,2014
3,3,degree,Directed,2466,,292,centro-oeste,centro-oeste,2010
2,3,degree,Directed,2544,,59,sudeste,centro-oeste,2006
4,4,degree,Directed,2555,,634,nordeste,nordeste,2006
3,3,degree,Directed,2564,,147,centro-oeste,centro-oeste,2005
2,2,degree,Directed,2601,,6670,sudeste,sudeste,2013
2,2,degree,Directed,2605,,5088,sudeste,sudeste,2005
2,4,degree,Directed,2624,,130,sudeste,nordeste,2013
4,2,degree,Directed,2658,,234,nordeste,sudeste,2005
3,3,degree,Directed,2676,,302,centro-oeste,centro-oeste,2009
2,2,degree,Directed,2725,,5435,sudeste,sudeste,2007
2,4,degree,Directed,2788,,59,sudeste,nordeste,2005
2,2,degree,Directed,2841,,1659,sudeste,sudeste,1995
3,2,degree,Directed,2900,,105,centro-oeste,sudeste,2008
1,2,degree,Directed,2909,,309,sul,sudeste,2007
4,2,degree,Directed,2967,,196,nordeste,sudeste,2006
4,2,degree,Directed,3008,,264,nordeste,sudeste,2014
5,2,degree,Directed,3016,,68,norte,sudeste,2011
2,2,degree,Directed,3094,,4638,sudeste,sudeste,2004
4,2,degree,Directed,3113,,199,nordeste,sudeste,2008
3,3,degree,Directed,3190,,437,centro-oeste,centro-oeste,2012
2,4,degree,Directed,3201,,98,sudeste,nordeste,2010
3,2,degree,Directed,3205,,81,centro-oeste,sudeste,2003
4,2,degree,Directed,3249,,38,nordeste,sudeste,1993
2,3,degree,Directed,3284,,78,sudeste,centro-oeste,2011
4,2,degree,Directed,3324,,188,nordeste,sudeste,2000
4,1,degree,Directed,3341,,33,nordeste,sul,2007
2,5,degree,Directed,3364,,30,sudeste,norte,2010
2,2,degree,Directed,3401,,596,sudeste,sudeste,1987
2,4,degree,Directed,3420,,47,sudeste,nordeste,2003
2,3,degree,Directed,3429,,25,sudeste,centro-oeste,2002
2,2,degree,Directed,3488,,102,sudeste,sudeste,1970
2,2,birth,Directed,3591,,69,sudeste,sudeste,2002
2,2,degree,Directed,3618,,207,sudeste,sudeste,1976
2,2,degree,Directed,3638,,88,sudeste,sudeste,1968
1,2,degree,Directed,3678,,39,sul,sudeste,1990
2,2,degree,Directed,3742,,949,sudeste,sudeste,1991
2,1,degree,Directed,3771,,144,sudeste,sul,2010
3,3,degree,Directed,3783,,219,centro-oeste,centro-oeste,2006
2,4,degree,Directed,3827,,95,sudeste,nordeste,2014
3,2,degree,Directed,3860,,183,centro-oeste,sudeste,2013
2,2,degree,Directed,3970,,783,sudeste,sudeste,1989
2,3,degree,Directed,3996,,38,sudeste,centro-oeste,2003
2,2,degree,Directed,4062,,67,sudeste,sudeste,1967
2,3,degree,Directed,4066,,84,sudeste,centro-oeste,2012
2,2,degree,Directed,4099,,516,sudeste,sudeste,1986
1,2,degree,Directed,4103,,16,sul,sudeste,1983
1,2,degree,Directed,4179,,59,sul,sudeste,1991
2,2,degree,Directed,4186,,510,sudeste,sudeste,1985
2,2,degree,Directed,4192,,117,sudeste,sudeste,1971
1,3,degree,Directed,4260,,22,sul,centro-oeste,2007
3,2,degree,Directed,4264,,132,centro-oeste,sudeste,2010
4,4,degree,Directed,4309,,1250,nordeste,nordeste,2011
2,2,degree,Directed,4317,,310,sudeste,sudeste,1980
2,2,degree,Directed,4331,,344,sudeste,sudeste,1982
2,2,degree,Directed,4390,,326,sudeste,sudeste,1973
2,1,degree,Directed,4423,,66,sudeste,sul,1999
2,2,degree,Directed,4433,,303,sudeste,sudeste,1981
2,1,degree,Directed,4458,,5,sudeste,sul,1975
4,2,degree,Directed,4486,,209,nordeste,sudeste,2004
5,2,degree,Directed,4562,,3,norte,sudeste,1987
2,2,degree,Directed,4573,,258,sudeste,sudeste,1972
4,4,degree,Directed,4578,,751,nordeste,nordeste,2007
4,4,degree,Directed,4782,,224,nordeste,nordeste,2001
2,2,degree,Directed,4813,,17,sudeste,sudeste,1961
2,1,degree,Directed,4838,,4,sudeste,sul,1976
2,2,degree,Directed,4920,,152,sudeste,sudeste,1975
2,2,degree,Directed,5052,,394,sudeste,sudeste,1984
2,2,degree,Directed,5122,,248,sudeste,sudeste,1979
2,1,degree,Directed,5262,,63,sudeste,sul,2000
2,2,degree,Directed,5301,,360,sudeste,sudeste,1983
2,2,degree,Directed,5446,,82,sudeste,sudeste,1969
2,2,degree,Directed,5490,,184,sudeste,sudeste,1977
2,2,degree,Directed,5677,,192,sudeste,sudeste,1974
