Source,Target,Kind,Type,Id,Label,Weight
1,1,work,Directed,25,,18365
2,2,work,Directed,26,,69669
4,5,work,Directed,27,,506
2,1,work,Directed,28,,9372
1,5,work,Directed,29,,844
2,4,work,Directed,30,,8770
4,4,work,Directed,31,,12252
1,4,work,Directed,32,,1260
2,3,work,Directed,33,,5400
2,5,work,Directed,34,,4136
1,2,work,Directed,35,,1671
1,3,work,Directed,36,,868
4,1,work,Directed,37,,322
3,1,work,Directed,38,,196
4,3,work,Directed,39,,277
4,2,work,Directed,40,,507
5,1,work,Directed,41,,59
3,3,work,Directed,42,,3340
3,5,work,Directed,43,,485
5,5,work,Directed,44,,1593
3,2,work,Directed,45,,429
3,4,work,Directed,46,,377
5,4,work,Directed,47,,110
5,3,work,Directed,48,,60
5,2,work,Directed,49,,103
