Source,Target,Kind,Type,Id,Label,Weight
1,1,birth,Directed,1,,32746
1,1,degree,Directed,2,,62579
1,1,work,Directed,3,,18365
2,1,degree,Directed,4,,8785
1,2,degree,Directed,5,,17133
2,2,degree,Directed,6,,243785
2,2,birth,Directed,7,,97192
2,2,work,Directed,8,,69669
1,2,birth,Directed,9,,2978
3,3,birth,Directed,10,,4905
3,3,degree,Directed,11,,10223
3,2,degree,Directed,12,,5975
4,4,birth,Directed,13,,25085
4,2,degree,Directed,14,,12668
2,4,degree,Directed,15,,4157
4,4,degree,Directed,16,,37910
4,5,work,Directed,17,,506
2,1,work,Directed,18,,9372
2,1,birth,Directed,19,,3893
1,5,work,Directed,20,,844
2,4,work,Directed,21,,8770
2,3,birth,Directed,22,,2397
3,1,degree,Directed,23,,1027
4,1,degree,Directed,24,,2069
1,4,degree,Directed,25,,1323
4,4,work,Directed,26,,12252
1,4,work,Directed,27,,1260
5,5,birth,Directed,28,,3987
5,4,degree,Directed,29,,554
4,5,degree,Directed,30,,395
5,1,degree,Directed,31,,552
2,3,work,Directed,32,,5400
4,2,birth,Directed,33,,3113
4,1,birth,Directed,34,,378
5,1,birth,Directed,35,,177
1,3,degree,Directed,36,,1017
5,5,degree,Directed,37,,4681
2,5,work,Directed,38,,4136
3,2,birth,Directed,39,,2023
1,2,work,Directed,40,,1671
1,3,work,Directed,41,,868
5,2,degree,Directed,42,,3140
1,5,degree,Directed,43,,375
4,1,work,Directed,44,,322
2,3,degree,Directed,45,,3566
1,5,birth,Directed,46,,138
1,3,birth,Directed,47,,611
5,3,birth,Directed,48,,237
3,1,work,Directed,49,,196
3,1,birth,Directed,50,,406
4,5,birth,Directed,51,,303
5,2,birth,Directed,52,,770
2,4,birth,Directed,53,,1814
4,3,work,Directed,54,,277
4,2,work,Directed,55,,507
2,5,degree,Directed,56,,1159
5,1,work,Directed,57,,59
3,3,work,Directed,58,,3340
1,4,birth,Directed,59,,305
5,4,birth,Directed,60,,312
3,4,degree,Directed,61,,589
3,5,work,Directed,62,,485
5,5,work,Directed,63,,1593
4,3,degree,Directed,64,,962
2,5,birth,Directed,65,,411
4,3,birth,Directed,66,,604
5,3,degree,Directed,67,,289
3,5,degree,Directed,68,,166
3,5,birth,Directed,69,,85
3,2,work,Directed,70,,429
3,4,work,Directed,71,,377
3,4,birth,Directed,72,,225
5,4,work,Directed,73,,110
5,3,work,Directed,74,,60
5,2,work,Directed,75,,103
