source,target,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
sul,sul,2,0,1,1,1,0,1,1,1,2,4,1,2,3,2,3,1,4,7,3,2,4,1,4,11,13,18,24,2,12,3,9,10,13,12,8,16,12,30,30,29,43,79,75,123,158,164,220,266,420,504,616,727,1058,1082,1195,1191,1323,1459,1615,1539,1756,2138,2272
sul,sudeste,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,3,10,11,3,6,7,2,9,10,11,9,13,16,26,32,36,22,20,36,39,59,85,77,81,104,130,131,177,187,217,242,292,343,305,338,332,309,334,364,400,384,370,411
sul,centro-oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,3,5,4,9,11,9,6,9,15,22,14,20,29,24,34,30
sul,nordeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,5,1,4,8,15,15,13,18,17,19,23,27,28,21,37,52,51
sul,norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,4,1,2,3,3,1,8,3,3,5,3,5,4,9,9,16
sudeste,sul,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,2,5,4,2,0,1,0,1,0,1,0,1,4,5,6,5,10,13,16,10,23,31,54,60,57,66,63,99,126,144,139,124,148,135,146,157,144,158,163,196
sudeste,sudeste,1,4,3,4,8,2,3,7,14,9,21,17,19,21,25,21,34,67,88,82,102,117,258,326,192,152,207,184,223,248,310,303,344,360,394,510,516,596,676,783,852,949,1114,1155,1436,1659,1991,2356,2654,2961,3273,3713,4127,4622,4638,5088,5249,5435,5706,5843,5725,5984,6425,6670
sudeste,centro-oeste,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,1,2,3,5,3,5,7,17,20,27,22,25,38,39,40,59,62,78,74,63,78,84,107
sudeste,nordeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,2,1,1,1,0,3,0,1,0,3,3,2,1,1,2,2,5,4,16,6,20,32,33,37,47,60,59,74,80,84,81,98,97,103,130
sudeste,norte,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,2,4,2,2,6,3,4,9,9,9,6,12,12,11,18,15,19,20,30,26,33,25
