Source,Target,Kind,Type,Id,Label,Weight
5,1,all,Directed,1860,,7.51479976048867
1,5,all,Directed,1861,,7.566311014772463
7,1,all,Directed,1862,,6.679599185844383
1,2,all,Directed,1863,,7.714677473800927
2,2,all,Directed,1864,,12.33510769473612
8,8,all,Directed,1865,,10.981029410584947
7,7,all,Directed,1866,,11.274858613060642
8,7,all,Directed,1867,,7.517520850603031
11,14,all,Directed,1868,,4.219507705176107
14,14,all,Directed,1869,,8.581669210600602
14,2,all,Directed,1870,,7.228388451573604
16,15,all,Directed,1871,,7.037905963447182
15,7,all,Directed,1872,,6.795705775173514
7,15,all,Directed,1873,,6.452048954437226
15,15,all,Directed,1874,,9.7277641797704
15,25,all,Directed,1875,,2.302585092994046
1,1,all,Directed,1876,,9.628721705350893
2,1,all,Directed,1877,,7.808729306744399
8,1,all,Directed,1878,,8.019941687677365
8,2,all,Directed,1879,,8.519989278718239
1,8,all,Directed,1880,,7.642524134232902
5,27,all,Directed,1881,,2.772588722239781
3,3,all,Directed,1882,,10.910331714250969
3,1,all,Directed,1883,,6.302618975744905
1,3,all,Directed,1884,,6.148468295917647
3,2,all,Directed,1885,,9.247925132303454
2,3,all,Directed,1886,,9.0583540149783
5,5,all,Directed,1887,,10.23942393132546
3,23,all,Directed,1888,,4.68213122712422
2,4,all,Directed,1889,,7.785720896534624
4,1,all,Directed,1890,,5.262690188904886
21,21,all,Directed,1891,,8.67368398817567
21,1,all,Directed,1892,,4.07753744390572
1,21,all,Directed,1893,,4.430816798843313
5,2,all,Directed,1894,,8.931684110731714
2,8,all,Directed,1895,,8.13739583005665
10,10,all,Directed,1896,,7.7651449029361315
10,16,all,Directed,1897,,3.871201010907891
18,18,all,Directed,1898,,9.41987169587053
18,24,all,Directed,1899,,2.4849066497880004
24,1,all,Directed,1900,,2.3978952727983707
1,7,all,Directed,1901,,6.54965074223381
2,14,all,Directed,1902,,7.285506548522785
16,3,all,Directed,1903,,5.697093486505405
6,6,all,Directed,1904,,9.421168397567744
6,1,all,Directed,1905,,4.912654885736052
20,1,all,Directed,1906,,3.2188758248682006
