Source,Target,Kind,Type,Id,Label,Weight
5,1,all,Directed,1860,,42.83689998120779
1,5,all,Directed,1861,,43.95452195167182
7,1,all,Directed,1862,,28.21347195933177
1,2,all,Directed,1863,,47.3392015141785
2,2,all,Directed,1864,,477.0178193736582
8,8,all,Directed,1865,,242.3819300195458
7,7,all,Directed,1866,,280.74009332476896
8,7,all,Directed,1867,,42.89522117905443
11,14,all,Directed,1868,,8.246211251235321
14,14,all,Directed,1869,,73.02739212103907
14,2,all,Directed,1870,,37.12142238654117
16,15,all,Directed,1871,,33.74907406137241
15,7,all,Directed,1872,,29.899832775452108
7,15,all,Directed,1873,,25.179356624028344
15,15,all,Directed,1874,,129.52605915413315
15,25,all,Directed,1875,,3.1622776601683795
1,1,all,Directed,1876,,123.26800071389168
2,1,all,Directed,1877,,49.61854492022111
8,1,all,Directed,1878,,55.14526271584895
8,2,all,Directed,1879,,70.80960386840192
1,8,all,Directed,1880,,45.661800227323496
5,27,all,Directed,1881,,4.0
3,3,all,Directed,1882,,233.96367239381416
3,1,all,Directed,1883,,23.366642891095847
1,3,all,Directed,1884,,21.633307652783937
3,2,all,Directed,1885,,101.89700682551965
2,3,all,Directed,1886,,92.68225288586807
5,5,all,Directed,1887,,167.28717822953436
3,23,all,Directed,1888,,10.392304845413264
2,4,all,Directed,1889,,49.05099387372289
4,1,all,Directed,1890,,13.892443989449804
21,21,all,Directed,1891,,76.46567857542362
21,1,all,Directed,1892,,7.681145747868608
1,21,all,Directed,1893,,9.16515138991168
5,2,all,Directed,1894,,86.99425268372619
2,8,all,Directed,1895,,58.48076606885378
10,10,all,Directed,1896,,48.54894437575342
10,16,all,Directed,1897,,6.928203230275509
18,18,all,Directed,1898,,111.04503590885997
18,24,all,Directed,1899,,3.4641016151377544
24,1,all,Directed,1900,,3.3166247903554
1,7,all,Directed,1901,,26.43860813280457
2,14,all,Directed,1902,,38.19685850956856
16,3,all,Directed,1903,,17.26267650163207
6,6,all,Directed,1904,,111.11705539655017
6,1,all,Directed,1905,,11.661903789690601
20,1,all,Directed,1906,,5.0
9,9,all,Directed,1907,,41.47288270665544
9,1,all,Directed,1908,,5.291502622129181
1,9,all,Directed,1909,,4.898979485566356
9,3,all,Directed,1910,,11.313708498984761
3,9,all,Directed,1911,,9.695359714832659
12,8,all,Directed,1912,,12.84523257866513
1,4,all,Directed,1913,,15.198684153570664
12,12,all,Directed,1914,,80.95677859203639
12,1,all,Directed,1915,,10.246950765959598
2,12,all,Directed,1916,,34.14674215792775
8,5,all,Directed,1917,,40.24922359499622
22,9,all,Directed,1918,,7.211102550927978
9,7,all,Directed,1919,,15.874507866387544
1,17,all,Directed,1920,,4.47213595499958
20,15,all,Directed,1921,,18.734993995195193
15,16,all,Directed,1922,,32.58834147360065
16,1,all,Directed,1923,,12.68857754044952
7,5,all,Directed,1924,,57.56735185849702
10,7,all,Directed,1925,,14.730919862656235
1,10,all,Directed,1926,,8.831760866327848
13,13,all,Directed,1927,,53.75872022286245
13,2,all,Directed,1928,,29.444863728670914
1,13,all,Directed,1929,,7.937253933193772
6,20,all,Directed,1930,,8.54400374531753
10,1,all,Directed,1931,,8.602325267042627
3,4,all,Directed,1932,,36.9729630946723
8,3,all,Directed,1933,,30.643106892089126
3,5,all,Directed,1934,,34.292856398964496
7,4,all,Directed,1935,,37.93415347678132
1,6,all,Directed,1936,,12.0
11,11,all,Directed,1937,,37.97367509209505
11,1,all,Directed,1938,,8.306623862918075
1,11,all,Directed,1939,,8.888194417315589
15,6,all,Directed,1940,,18.867962264113206
4,2,all,Directed,1941,,42.89522117905443
1,16,all,Directed,1942,,11.357816691600547
5,4,all,Directed,1943,,17.549928774784245
2,13,all,Directed,1944,,28.861739379323623
13,1,all,Directed,1945,,7.483314773547883
1,18,all,Directed,1946,,9.486832980505138
4,4,all,Directed,1947,,88.76936408468859
10,8,all,Directed,1948,,7.483314773547883
24,24,all,Directed,1949,,13.74772708486752
1,24,all,Directed,1950,,3.4641016151377544
1,19,all,Directed,1951,,9.327379053088816
16,16,all,Directed,1952,,100.34440691936945
5,8,all,Directed,1953,,35.32704346531139
1,22,all,Directed,1954,,4.358898943540674
18,1,all,Directed,1955,,11.090536506409418
23,23,all,Directed,1956,,37.107950630558946
23,1,all,Directed,1957,,4.898979485566356
18,15,all,Directed,1958,,23.108440016582687
15,1,all,Directed,1959,,10.954451150103322
1,15,all,Directed,1960,,10.862780491200215
1,25,all,Directed,1961,,4.358898943540674
1,26,all,Directed,1962,,3.4641016151377544
2,5,all,Directed,1963,,89.25245094673872
18,16,all,Directed,1964,,21.330729007701542
10,5,all,Directed,1965,,10.392304845413264
14,1,all,Directed,1966,,8.12403840463596
18,2,all,Directed,1967,,41.701318923986086
1,14,all,Directed,1968,,7.937253933193772
6,7,all,Directed,1969,,29.647934160747187
27,1,all,Directed,1970,,2.0
1,20,all,Directed,1971,,5.477225575051661
20,20,all,Directed,1972,,38.82009788756334
2,19,all,Directed,1973,,38.34057902536163
19,7,all,Directed,1974,,13.30413469565007
