Source,Target,Kind,Type,Id,Label,Weight
5,1,all,Directed,1860,,1835
1,5,all,Directed,1861,,1932
7,1,all,Directed,1862,,796
1,2,all,Directed,1863,,2241
2,2,all,Directed,1864,,227546
8,8,all,Directed,1865,,58749
7,7,all,Directed,1866,,78815
8,7,all,Directed,1867,,1840
11,14,all,Directed,1868,,68
14,14,all,Directed,1869,,5333
14,2,all,Directed,1870,,1378
16,15,all,Directed,1871,,1139
15,7,all,Directed,1872,,894
7,15,all,Directed,1873,,634
15,15,all,Directed,1874,,16777
15,25,all,Directed,1875,,10
1,1,all,Directed,1876,,15195
2,1,all,Directed,1877,,2462
8,1,all,Directed,1878,,3041
8,2,all,Directed,1879,,5014
1,8,all,Directed,1880,,2085
5,27,all,Directed,1881,,16
3,3,all,Directed,1882,,54739
3,1,all,Directed,1883,,546
1,3,all,Directed,1884,,468
3,2,all,Directed,1885,,10383
2,3,all,Directed,1886,,8590
5,5,all,Directed,1887,,27985
3,23,all,Directed,1888,,108
2,4,all,Directed,1889,,2406
4,1,all,Directed,1890,,193
21,21,all,Directed,1891,,5847
21,1,all,Directed,1892,,59
1,21,all,Directed,1893,,84
5,2,all,Directed,1894,,7568
2,8,all,Directed,1895,,3420
10,10,all,Directed,1896,,2357
10,16,all,Directed,1897,,48
18,18,all,Directed,1898,,12331
18,24,all,Directed,1899,,12
24,1,all,Directed,1900,,11
1,7,all,Directed,1901,,699
2,14,all,Directed,1902,,1459
16,3,all,Directed,1903,,298
6,6,all,Directed,1904,,12347
6,1,all,Directed,1905,,136
20,1,all,Directed,1906,,25
9,9,all,Directed,1907,,1720
9,1,all,Directed,1908,,28
1,9,all,Directed,1909,,24
9,3,all,Directed,1910,,128
3,9,all,Directed,1911,,94
12,8,all,Directed,1912,,165
1,4,all,Directed,1913,,231
12,12,all,Directed,1914,,6554
12,1,all,Directed,1915,,105
2,12,all,Directed,1916,,1166
8,5,all,Directed,1917,,1620
22,9,all,Directed,1918,,52
9,7,all,Directed,1919,,252
1,17,all,Directed,1920,,20
20,15,all,Directed,1921,,351
15,16,all,Directed,1922,,1062
16,1,all,Directed,1923,,161
7,5,all,Directed,1924,,3314
10,7,all,Directed,1925,,217
1,10,all,Directed,1926,,78
13,13,all,Directed,1927,,2890
13,2,all,Directed,1928,,867
1,13,all,Directed,1929,,63
6,20,all,Directed,1930,,73
10,1,all,Directed,1931,,74
3,4,all,Directed,1932,,1367
8,3,all,Directed,1933,,939
3,5,all,Directed,1934,,1176
7,4,all,Directed,1935,,1439
1,6,all,Directed,1936,,144
11,11,all,Directed,1937,,1442
11,1,all,Directed,1938,,69
1,11,all,Directed,1939,,79
15,6,all,Directed,1940,,356
4,2,all,Directed,1941,,1840
1,16,all,Directed,1942,,129
5,4,all,Directed,1943,,308
2,13,all,Directed,1944,,833
13,1,all,Directed,1945,,56
1,18,all,Directed,1946,,90
4,4,all,Directed,1947,,7880
10,8,all,Directed,1948,,56
24,24,all,Directed,1949,,189
1,24,all,Directed,1950,,12
1,19,all,Directed,1951,,87
16,16,all,Directed,1952,,10069
5,8,all,Directed,1953,,1248
1,22,all,Directed,1954,,19
18,1,all,Directed,1955,,123
23,23,all,Directed,1956,,1377
23,1,all,Directed,1957,,24
18,15,all,Directed,1958,,534
15,1,all,Directed,1959,,120
1,15,all,Directed,1960,,118
1,25,all,Directed,1961,,19
1,26,all,Directed,1962,,12
2,5,all,Directed,1963,,7966
