Source,Target,Kind,Type,Id,Label,Weight
5,1,birth,Directed,0,,5.910796644040527
8,8,birth,Directed,1,,9.780698256443507
7,7,birth,Directed,2,,9.895556182209848
8,7,birth,Directed,3,,6.030685260261263
11,14,birth,Directed,4,,3.4965075614664802
16,15,birth,Directed,5,,5.579729825986222
1,1,birth,Directed,6,,8.25088114470065
2,1,birth,Directed,7,,5.877735781779639
3,3,birth,Directed,8,,9.71057005652877
5,5,birth,Directed,9,,9.041921720351219
2,4,birth,Directed,10,,5.929589143389895
1,8,birth,Directed,11,,6.338594078203183
21,21,birth,Directed,12,,7.494430215031565
7,1,birth,Directed,13,,5.0238805208462765
8,1,birth,Directed,14,,6.282266746896006
2,2,birth,Directed,15,,10.806206604380188
10,10,birth,Directed,16,,6.672032945461067
18,18,birth,Directed,17,,8.361007108226909
14,14,birth,Directed,18,,7.602900462204755
16,3,birth,Directed,19,,2.995732273553991
6,6,birth,Directed,20,,8.392989587956931
20,1,birth,Directed,21,,0.0
9,9,birth,Directed,22,,6.872128101338986
12,8,birth,Directed,23,,3.332204510175204
12,12,birth,Directed,24,,7.875499292445208
1,5,birth,Directed,25,,6.434546518787453
8,5,birth,Directed,26,,5.918893854273146
14,2,birth,Directed,27,,5.8664680569332965
22,9,birth,Directed,28,,3.6635616461296463
20,15,birth,Directed,29,,4.9344739331306915
7,5,birth,Directed,30,,5.631211781821365
13,13,birth,Directed,31,,7.1785454837637
6,20,birth,Directed,32,,3.258096538021482
3,4,birth,Directed,33,,6.129050210060545
7,4,birth,Directed,34,,6.19644412779452
11,11,birth,Directed,35,,6.175867270105761
15,6,birth,Directed,36,,4.0943445622221
1,2,birth,Directed,37,,5.402677381872279
2,13,birth,Directed,38,,4.820281565605037
4,4,birth,Directed,39,,7.017506142941256
10,8,birth,Directed,40,,2.3978952727983707
24,24,birth,Directed,41,,4.804021044733257
16,16,birth,Directed,42,,8.138564737261632
18,1,birth,Directed,43,,2.6390573296152584
23,23,birth,Directed,44,,6.410174881966167
3,1,birth,Directed,45,,4.219507705176107
15,15,birth,Directed,46,,8.529319371214077
2,5,birth,Directed,47,,7.629489916393995
18,16,birth,Directed,48,,4.9344739331306915
18,2,birth,Directed,49,,5.2832037287379885
27,1,birth,Directed,50,,0.6931471805599453
2,19,birth,Directed,51,,5.720311776607412
8,25,birth,Directed,52,,1.3862943611198906
12,1,birth,Directed,53,,2.8903717578961645
5,2,birth,Directed,54,,7.007600613951853
9,18,birth,Directed,55,,4.02535169073515
1,11,birth,Directed,56,,3.5263605246161616
26,14,birth,Directed,57,,3.8918202981106265
6,1,birth,Directed,58,,2.772588722239781
18,5,birth,Directed,59,,3.091042453358316
13,7,birth,Directed,60,,5.7899601708972535
7,14,birth,Directed,61,,3.871201010907891
5,13,birth,Directed,62,,3.1780538303479458
10,1,birth,Directed,63,,1.791759469228055
14,1,birth,Directed,64,,2.5649493574615367
5,8,birth,Directed,65,,5.739792912179234
18,12,birth,Directed,66,,3.5553480614894135
25,2,birth,Directed,67,,3.1780538303479458
3,7,birth,Directed,68,,6.960347729101308
3,2,birth,Directed,69,,7.754481547470383
7,16,birth,Directed,70,,4.6443908991413725
2,3,birth,Directed,71,,7.6953031349635665
8,19,birth,Directed,72,,3.828641396489095
8,2,birth,Directed,73,,6.163314804034641
5,7,birth,Directed,74,,5.3230099791384085
18,22,birth,Directed,75,,2.9444389791664403
18,9,birth,Directed,76,,3.1780538303479458
13,3,birth,Directed,77,,5.963579343618446
2,14,birth,Directed,78,,4.983606621708336
8,18,birth,Directed,79,,3.1780538303479458
19,5,birth,Directed,80,,4.709530201312334
9,16,birth,Directed,81,,3.258096538021482
7,3,birth,Directed,82,,6.811244378601294
26,18,birth,Directed,83,,1.0986122886681098
5,11,birth,Directed,84,,4.852030263919617
6,3,birth,Directed,85,,5.598421958998375
19,19,birth,Directed,86,,6.565264970035361
21,3,birth,Directed,87,,4.174387269895637
14,3,birth,Directed,88,,5.8888779583328805
9,10,birth,Directed,89,,2.3978952727983707
6,23,birth,Directed,90,,4.499809670330265
3,11,birth,Directed,91,,4.1588830833596715
3,14,birth,Directed,92,,5.37989735354046
4,3,birth,Directed,93,,5.1647859739235145
